"Nama dan Tanggal","Nama","Tanggal","Rating","Review"
"Bang Halim 19 April 2021 	","Bang Halim","19 April 2021","Diberi rating 1 bintang dari 5 bintang","Udah 2 kali di telepon mengatas nama kan halodoc, aneh nya penelpon bisa tau email kita selalu bilang kita dapat uang 2 juta rupiah, apa aplikasi halodoc tidak memprivasi email sehingga ada saja pihak yg ingin mengambil keuntungan dgn menipu,tolong privasi lbh d perketat"
"christian eko 9 April 2021 	","christian eko","9 April 2021","Diberi rating 5 bintang dari 5 bintang","Keren .. cepat..bagus..sangat membantu....hanya dari rumah kita bisa cek kesehatan ...Aman dimasa PANDEMIK COVID 19...."
"Berliana Manalu 16 April 2021 	","Berliana Manalu","16 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu di jam 23:53. Anak sakit dan harus segera konsultasi ke dokter. Terima kasih Halodoc & dr. Adi Suryadinata Sp. A. Sangat membantu sekali"
"rizki aprizal stones 13 April 2021 	","rizki aprizal stones","13 April 2021","Diberi rating 5 bintang dari 5 bintang","sangat membantu, mempermudah mencari obat""an ... respon sangat cepat pesan gk sampe 30mnt sudah sampai .. terimakasih"
"Sutomo 9 April 2021 	","Sutomo","9 April 2021","Diberi rating 1 bintang dari 5 bintang","Tidak usah lagi, saya sudah pulang, sudah saya hapus juga aplikasi halodoc nya, saya sangat kecewa, tidak profesional dibagian chat customer nya.. Terima Kasih.."
"Efzan Mukhsonif 5 April 2021 	","Efzan Mukhsonif","5 April 2021","Diberi rating 2 bintang dari 5 bintang","Saya mau konsul pembayaran pake CC 3x gagal, walopun keterangannya dana akan dikembalikan tp saya jd gak bisa konsul. Mau coba lagi males.. tolong sistem pembayaran diperbaiki!"
"ELLEN MULYANI 7 April 2021 	","ELLEN MULYANI","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Ngebantu banget,,disaat saya tidak bs pergi k rumah sakit karena antrian panjang dan waktu yg mepet,, aplikasi ini sangattttttt ngebantu bangettttt,,,praktis dan tidak takut karena lgsg konsul sama dokternya dan dikasii resep pula,,makasiii"
"Yoseph Yulianto 20 April 2021 	","Yoseph Yulianto","20 April 2021","Diberi rating 1 bintang dari 5 bintang","Ralat : kembalikan yang seperti dulu.. sekarang bayar semua !!!! Aplikasi yang gak membantu lagiiiii !!"
"Dian 17 April 2021 	","Dian","17 April 2021","Diberi rating 1 bintang dari 5 bintang","Jujur sy puas dengan nasihat2 dan penjelasan dokternya,nmun sgt disayangkan sekali konsul dr apk nya 30 menit saja dan otomatis berhenti, padahal saya msh ingin bertanya lgi."
"Kenzi tta 21 April 2021 	","Kenzi tta","21 April 2021","Diberi rating 5 bintang dari 5 bintang","Membantu sekali ketika obat yg dicari dibeberapa apotek sedang kosong di app ini lengkap. Pemakaian app juga gampang.tks"
"Goodie Merie 8 April 2021 	","Goodie Merie","8 April 2021","Diberi rating 5 bintang dari 5 bintang","Aplikasi ini sangat membantu saya dlm masalah kesehatan & produk kesehatan, saya selalu menggunakan aplikasi ini untuk konsultasi penyakit, beli obat2an serta produk kesehatan lainnya. Walau bnyk aplikasi lain yg serupa tp sy lebih memilih Halodoc ini krn bs lgsg konek ke akun Gojek sy. Terimakasih atas pelayanan nya, sukses terus Halodoc 👍👍👍"
"Sekar Ayu Saraswati 8 April 2021 	","Sekar Ayu Saraswati","8 April 2021","Diberi rating 1 bintang dari 5 bintang","Tolong ya ditindaklanjuti ... Di respon email dan chat sy mengenai sy transaksi sdh 2 kali by gopay tp tidak ada kurir yg mengantar. Sangat kecewa. Sy minta refund"
"Muhammad Dias 17 April 2021 	","Muhammad Dias","17 April 2021","Diberi rating 5 bintang dari 5 bintang","Aplikasinya udah bagus menurut saya, cuman saran aja, adain opsi pembayaran lewat gerai kaya alfamart/indomart dong, itu bakalan ngebantu bgt buat remaja atau orang2 yang gapunya gopay/cc/debit/etc"
"Trisa Agustina 12 April 2021 	","Trisa Agustina","12 April 2021","Diberi rating 5 bintang dari 5 bintang","Oke banget apk nya sejauh ini. Belum ketemu kurangnya dimana 👍. Respon dokternya juga cepet. Apik lah semuanya. Pertahankan, sangat membantu 👍"
"allanm nugroho 5 April 2021 	","allanm nugroho","5 April 2021","Diberi rating 5 bintang dari 5 bintang","Ini aplikasi no ribet. Sangat membantu kita tdk perlu keliling apotik. Apalagi utk ubat2 yang jarang tersedia diapotik. Untuk konsultasi dengan dokter juga sangat mudah dan pelayanannya sangat2 ramah."
"Nia Riani 19 April 2021 	","Nia Riani","19 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu saya aplikas ini,saya ga perlu khawatir lagi kalo mendadak tengah malam butuh obat karna ada halodoc yg siap membantu"
"Irvan ferry Aditya 9 April 2021 	","Irvan ferry Aditya","9 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangan membantu sekali di saat isoman, jd tidak perlu keluar untuk membeli obat, sehingga mencegah penularan virus ke orang lain 🙏🙏🙏"
"Dina Nur Azizah 16 April 2021 	","Dina Nur Azizah","16 April 2021","Diberi rating 5 bintang dari 5 bintang","Halo kakak,kakak kenapa saya tidak bisa daftar ya?sama sudah masukan email dan nomor telepon tetap gak bisa masuk,padahal nunggu lama bangettt,kenapa yaa"
"Ajie Nova 9 April 2021 	","Ajie Nova","9 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat, sangat membantu utk org sprti sy yg mls kluar rmh, aplgi nunggu antri di dokter..👍👍👍 pelayanax cepat, resep akurat"
"Ferry Ferdiand 17 April 2021 	","Ferry Ferdiand","17 April 2021","Diberi rating 5 bintang dari 5 bintang","Baru pertama kali coba. Membantu banget, apalagi di saat pandemi covid seperti sekarang, jadi tidak perlu keluar rumah untuk diagnosa dan beli obat."
"liz juwita 20 April 2021 	","liz juwita","20 April 2021","Diberi rating 5 bintang dari 5 bintang","Halodoc memudahkan banget. G perlu antri di rumah sakit. Bs konsultasi lwt aplikasi dan obat nya diantar ke rumah. So helpful"
"rizky aulia putri 11 April 2021 	","rizky aulia putri","11 April 2021","Diberi rating 5 bintang dari 5 bintang","Alhamdulillah halodoc sangat membantu saya, apalagi saat pandemic seperti ini 🙏🏻 dokter spesialisnya juga juara2, semoga bisa di pertahankan dan lebih bagus lagi halodoc 🙏🏻"
"Fransisco Eka Riyanta 11 April 2021 	","Fransisco Eka Riyanta","11 April 2021","Diberi rating 5 bintang dari 5 bintang","Min Saya suntik vaksin dosis pertama tgl 9 .nah sekarang tgl 11 teman saya sudah pada dapat sms untuk suntik vaksin dosis ke 2 . Tetapi kok saya belum min? Mohon pencerahannya"
"Aprita Rahmawaty 6 April 2021 	","Aprita Rahmawaty","6 April 2021","Diberi rating 5 bintang dari 5 bintang","Bisa konsultasi untuk sekedar pertanyaan2 kecil untuk antisipasi dari rumah sangat membantu... Terima kasih sudh menyediakam apliksi ini.."
"rayi seviola 13 April 2021 	","rayi seviola","13 April 2021","Diberi rating 5 bintang dari 5 bintang","terbantu bgt SM aplikasi ini..kemarin cari resep dr dokter muter2 apotik terdekat GK ktmu..inget aplikasi ini..jd terbantu..bgt ..gk perlu cape2 muter2 .."
"Akbar Stays09 16 April 2021 	","Akbar Stays09","16 April 2021","Diberi rating 3 bintang dari 5 bintang","umur saya 16 tahun saya gak punya uang terus saya mau konsultasi dengan dokter, ternyata konsultasi nya di bayar gimana solosi untuk pertanyaan saya it .. tolong di jawab!!!!!"
"Kelvin Wijaya 11 April 2021 	","Kelvin Wijaya","11 April 2021","Diberi rating 5 bintang dari 5 bintang","Aplikasinya cukup bagus. Saya chat dengan psikiatris karena lebih mudah kalau secara online, dan dokternya begitu ramah, tidak menghakimi, dan sangat mengerti keadaan saya. Terima kasih halodoc."
"Nurul Rohman 21 April 2021 	","Nurul Rohman","21 April 2021","Diberi rating 5 bintang dari 5 bintang","Terimakasih...bermanfaat sekali aplikasi ini untuk konsultasi dengan dokter jadi lebih mudah"
"Joko Mulyono 20 April 2021 	","Joko Mulyono","20 April 2021","Diberi rating 5 bintang dari 5 bintang","Alhamdulillah vaksin I tidak ada masalah dan kendala serta efek samping hanya timbul rasa ngantuk selama 2 hari setelah divaksin"
"Endah Hapsari 16 April 2021 	","Endah Hapsari","16 April 2021","Diberi rating 5 bintang dari 5 bintang","Kecepatan pengiriman kilat sekali... harga obat obatan sedikit berbeda jika dr apotik langsung. Over all i proud halodoc"
"wella suhartika 11 April 2021 	","wella suhartika","11 April 2021","Diberi rating 1 bintang dari 5 bintang","aplikasinya jelek banget, pertama kali psn di apotek obatny ga ada jdi di suruh cancel, cancelnya lgi bermslh hrus tlpn ke cs dulu bru bisa di batalin, tgg hmpr 1 jam cuma buat batalinnya, pas udh btl saldo di halo doc nya ga balik, hrs tgg 3-5 hari kerja"
"Azib Wahyumoro 15 April 2021 	","Azib Wahyumoro","15 April 2021","Diberi rating 5 bintang dari 5 bintang","Bagus untuk konsultasi ke dokter dan tidak perlu ke rumah sakit dan khawatir kena covid juga murah harganya untuk berkonsultasi"
"Lprabowo Lulu 10 April 2021 	","Lprabowo Lulu","10 April 2021","Diberi rating 3 bintang dari 5 bintang","Pelayanan cepat,tapi aneh tiba tiba pembayaran tidak bisa memakai kartu kredit. Padahal semua kartu yg tersedia, available utk digunakan"
"aisyi rasyi 4 April 2021 	","aisyi rasyi","4 April 2021","Diberi rating 2 bintang dari 5 bintang","Ga tau knp aplikasi ini sering banget ngelag. Padahal udah coba uninstall banyak app di hp tetep sama. Bahkan aplikasi yg berat pun di hp aku masih jalan tapi halodoc ga😂"
"Haryanto BW 24 April 2021 	","Haryanto BW","24 April 2021","Diberi rating 5 bintang dari 5 bintang","Dokternya hebat2...Jelas dan fokus kepada keluhan yang saya derita. Terima kasih Halodoc"
"Teguh Santoso 17 April 2021 	","Teguh Santoso","17 April 2021","Diberi rating 5 bintang dari 5 bintang","Sy br pertama kali ini menggunakan halodoc... tapi ini menurut saya sangat efektif .... dan murah .... 😅😅😅🙏🙏🙏"
"Tika Hardi 4 April 2021 	","Tika Hardi","4 April 2021","Diberi rating 5 bintang dari 5 bintang","Good app. Sangat membantu bagi yg tidak punya banyak waktu luang. Dokter dokternya bagus semua. Layanan kesehatan juga sangat beragam."
"rio ginza 15 April 2021 	","rio ginza","15 April 2021","Diberi rating 5 bintang dari 5 bintang","Belum ada respon utk keluhan saya di team CS, saat sudah ada respon saya lanjut 🌟 5 -update, respon team CS nya cepat"
"Roy Martin 6 April 2021 	","Roy Martin","6 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu sekali, bisa konsultasi dgn dokter nya lgsg, tanpa perlu repot ke rumah sakit atau ke faskes. Terima kasih Halodoc"
"Syaharuddin Kmrc 22 April 2021 	","Syaharuddin Kmrc","22 April 2021","Diberi rating 1 bintang dari 5 bintang","Apakah betul yang menelpon ada dari agen hellodoc kerna dia meminta nomor. Rekening."
"Mr. Em 13 April 2021 	","Mr. Em","13 April 2021","Diberi rating 1 bintang dari 5 bintang","Saya beri bintang 1. Kalau kode voucher vaksinasi kedua diberikan akan saya kasih bintang 5. Ini sudah seminggu."
"Midia Fujiani 19 April 2021 	","Midia Fujiani","19 April 2021","Diberi rating 5 bintang dari 5 bintang","Bagus..dokternya responsif lumayan enak diajak diskusinya logis dan analisis..saat masih deg2an ke dokter diRS akhirnya ketemu ini...seneng bangettt"
"Falinda Wahyuni 10 April 2021 	","Falinda Wahyuni","10 April 2021","Diberi rating 5 bintang dari 5 bintang","Jadi lebih enak ga perlu antri disaat sakit,,chat lgsung dibls,,obat jg diantar,,terima kasih holodoc🙏"
"Helda Diana 15 April 2021 	","Helda Diana","15 April 2021","Diberi rating 5 bintang dari 5 bintang","Puas sekali konsul disini,apalagi di saat pandemi seperti sekarang,Dokter nya juga ramah,"
"Intan Asri Larasati 13 April 2021 	","Intan Asri Larasati","13 April 2021","Diberi rating 4 bintang dari 5 bintang","Memuaskan, di bales dengan cepat dan banyak pilihan dokternya, meresepkan obat juga tidak yg mahal. Semoga saya cocok"
"fahmi Firmino 6 April 2021 	","fahmi Firmino","6 April 2021","Diberi rating 3 bintang dari 5 bintang","Selamat sore min, apakah aplikasi Halodoc sudah tidak bekerjasama lagi dengan MEDICILLIN.. mohon dijawab min.. terima kasih"
"tini aditya 7 April 2021 	","tini aditya","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu pada saat urgent, jadi langsung tau apa tindakan selanjutnya Dokternya ramah Trimakasih halodoc"
"Zagoto's Motivation 19 April 2021 	","Zagoto's Motivation","19 April 2021","Diberi rating 4 bintang dari 5 bintang","Pertama konsul dgn Dr. Putri Farissa Sp. PD. Konsul sampai selesai dan dapat resep obat. Terima kasih"
"Fadtheland Mustofa 16 April 2021 	","Fadtheland Mustofa","16 April 2021","Diberi rating 5 bintang dari 5 bintang","Suka banget dg menu konsultasi dokternya, memudahkan kita untuk bisa mencari info tg kesehatan tubuh."
"Glen Dewi93 20 April 2021 	","Glen Dewi93","20 April 2021","Diberi rating 4 bintang dari 5 bintang","Aplikasi ini sangat membantu🙏dokternya ramah"" dan profesional. Sukses selalu Halodoc!!"
"Ria Apriani 4 April 2021 	","Ria Apriani","4 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu ketika posisi sedang diluar kota kondisi badan kurang fit,susah cari dokter,butuh obat yg sesuai dosis,jd terbantu sekali dengan aplikasi ini. Super Thanks To Halodoc 😀"
"tulus ana 23 April 2021 	","tulus ana","23 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membatu.saya merasa terbantu saat tidak bisa datang ke dokter bisa konsul disini"
"Boedhie The 16 April 2021 	","Boedhie The","16 April 2021","Diberi rating 5 bintang dari 5 bintang","Baru pertama kali coba gomed, ternyata cukup cepat respon dan pengiriman, luar biasa tingkatkan terus"
"Luqmaan Cahyo Nugroho 19 April 2021 	","Luqmaan Cahyo Nugroho","19 April 2021","Diberi rating 5 bintang dari 5 bintang","Alhamdulillah. Setelah saya konsultasi dengan psikologi di Halodoc, saya merasa sedikit lebih baik"
"Lala Karamoy 12 April 2021 	","Lala Karamoy","12 April 2021","Diberi rating 5 bintang dari 5 bintang","Dokternya bagus, Penjelasannya detail. Saran2nya pas. obat yang diresepkan juga oke."
"Ernelly Burzah 9 April 2021 	","Ernelly Burzah","9 April 2021","Diberi rating 5 bintang dari 5 bintang","Pelayanannya baik, konsultasi ya enak...., Puas banget, trims dokter iman, trims halodoc"
"Ayu Apriliana 10 April 2021 	","Ayu Apriliana","10 April 2021","Diberi rating 5 bintang dari 5 bintang","membantu sekali aplikasi ini disaat kita sendirian lelah keluar rumah bisa dibantu hanya dengan aplikasi aja wowww"
"Amanatul Firdausya 16 April 2021 	","Amanatul Firdausya","16 April 2021","Diberi rating 1 bintang dari 5 bintang","Tanggapan nya Lambat . Saya sudah mengetik keluhan tp di sokternya chat saya tidak masuk, saya pakai panggilan suara tidak ada suaranya perbaiki dong. Kan pemakaian nya berbayar bukan gratis"
"Asti Siti Pratiwi 18 April 2021 	","Asti Siti Pratiwi","18 April 2021","Diberi rating 5 bintang dari 5 bintang","Canggih bisa berobat kapan saja dan dimana saya keren banget dlu pas cobain ini masih free skrng kudu bayar ehehe"
"Zya Jamaluddin Al Rasyid AR 1 April 2021 	","Zya Jamaluddin Al Rasyid AR","1 April 2021","Diberi rating 5 bintang dari 5 bintang","Awalnya ada kendala ketika booking untuk tes swab antigen, karena ternyata kliniknya tutup operasial mulai dengan hari dimana saya booking tes swab antigen. Namun tim halodoc cukup cepat responnya, termasuk menelpon saya untuk konfirmasi dan kemudian melakukan refund pada hari yang sama. Masukannya agar kordinasi dengan klinik atau rs rekanan lebih ditingkatkan, sisanya sudah bagusss. Terima kasih."
"yoko ridho 11 April 2021 	","yoko ridho","11 April 2021","Diberi rating 5 bintang dari 5 bintang","Baru pertama kali pake, langsung merasakan puasnya.. Semoga layanannya bisa konsisten & prima selalu sehingga dpt menambah kepercayaannya.. tks ya Halodoc"
"Agung Setiabudi Saputra 10 April 2021 	","Agung Setiabudi Saputra","10 April 2021","Diberi rating 4 bintang dari 5 bintang","Pelayanan ok hanya masalah pembayaran menggunanakan debit card menjadi kendala walopun ada opsi pembayaran lain"
"Thitsya Nahuway 16 April 2021 	","Thitsya Nahuway","16 April 2021","Diberi rating 1 bintang dari 5 bintang","Aku dengar sih apk nya bagus, trus aku instal eh tiba saat masuk apknya malah nggak ngerespon gimana sih"
"Anisa Ilahi 7 April 2021 	","Anisa Ilahi","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Lumayan lengkap, dan pelayanan cepat, aplikasinya sangat mudah dan sangat membantu sekali"
"Thalia Winda Apriana 7 April 2021 	","Thalia Winda Apriana","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Trima kasih Dr Silfia Mandasari Sp. DV untuk respon nya yg cepat dan arahan serta resep yg di berikan 🙏🙂"
"sanjaya aya 20 April 2021 	","sanjaya aya","20 April 2021","Diberi rating 5 bintang dari 5 bintang","Good sangat baik respon nya, dan cepat, dan akurat...sukses buat halodoc"
"Nita Yohanna 7 April 2021 	","Nita Yohanna","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat memberikan kemudahan, hanya di rumah saja...sakit bisa ter obati."
"Gunawan Erni 14 April 2021 	","Gunawan Erni","14 April 2021","Diberi rating 5 bintang dari 5 bintang","Pelayanan dokternya ramah .baik dan cepat balasnya.ini br pertama kali uda sangat terkesan"
"Risma Daniyati 13 April 2021 	","Risma Daniyati","13 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat terbantu ...... apalagi sikon nya masih seperti sekarang. Sukses untuk Halodoc 🤗"
"andini khoir 20 April 2021 	","andini khoir","20 April 2021","Diberi rating 1 bintang dari 5 bintang","Pesan obat udah dibayar tiba2 dibatalkan sepihak, mana uda bayar, obatnya ratusan ribu lagi"
"Yuni Isdiyanti 6 April 2021 	","Yuni Isdiyanti","6 April 2021","Diberi rating 1 bintang dari 5 bintang","Bagaimana cara refund uangnya . Saya tlp customer servicenya tidak pernah bisa ..."
"edward 1 April 2021 	","edward","1 April 2021","Diberi rating 1 bintang dari 5 bintang","pertama kali konsul dg dr umum baik & bagus.kedua kali konsul dg Drh servicenya PARAH.blsin chat luama bangettttt smpai wktu 30 menit habis cm menyarankan ke klinik Drh scara langsung & malah curhat tentang kucing nya dia bla..blaa..bla..!! sy konsul ke Drh utk mencari solusi tentang kucing sy bkn utk dpt jwbn ANDA yg mencla mencle!!! bahasanya jg gk SOPAN!!! gk manggil bpk/saudara atau apa lah!!!!!! tlg di seleksi dl klo mau rekrut dokter!!!! BAD SERVICE DAN KUAPOKKK DEH!!!!!!!"
"Avely Djong 6 April 2021 	","Avely Djong","6 April 2021","Diberi rating 4 bintang dari 5 bintang","apakah CS halodoc hari ini mengalami kendala sehingga sy tidak be menelpon/chat ke tim help halodoc?"
"khoirunnisa nisa 11 Maret 2021 	","khoirunnisa nisa","11 Maret 2021","Diberi rating 2 bintang dari 5 bintang","Saat selesai melakukan pembayaran dan sukses terpotong saldo saya, eh dokternya malah sibuk. Pengembalian dana katanya butuh waktu hingga 14 hari, sudah terhitung 14 hari kok belum masuk,, ternyata harus konfirmasi ke pihak bank terkait. Duh kirain otomatis dana dikembalikan dan masuk ke rekening, ternyata harus konfirmasi ke bank dulu. Ribet. Tolong permudah dong klo refund. Soalnya tidak semua orang dekat rumahnya dengan bank🙏"
"Dhillah Fadlilah 19 April 2021 	","Dhillah Fadlilah","19 April 2021","Diberi rating 5 bintang dari 5 bintang","Simple aplikasi untuk semua kebutuhan medis, pesannya mudah sampainya cepat .."
"Erwin Fahri 29 Maret 2021 	","Erwin Fahri","29 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Memgecewakan.. 3x daftar vaksin C19 untuk lansia ditolak, dengan alasan mesti pakai KTP setempat (padahal sudah ada suket domisili setempat). Sebenarnya sebagian besar vaksinasi C19 itu bisa menggunakan suket domisili, namanya juga vaksin gratis ya semua bisa asal masih warga negara Indonesia. Semoga ulasan ini tidak dihapus lg sama admin halodoc."
"Wuri Ramawati 9 April 2021 	","Wuri Ramawati","9 April 2021","Diberi rating 5 bintang dari 5 bintang","Terima kasih sudah bekerja sama dengan gojek ...vaksinasi di prambanan sgt bagus sekali pelayanannya...le nyuntik blas ra loro"
"Henny Octovia 11 April 2021 	","Henny Octovia","11 April 2021","Diberi rating 5 bintang dari 5 bintang","Halodoc profesional bgt. Gak ada yg sebaik Halodoc. Saya sangat sangat terbantu."
"Naili Rachmasari 23 April 2021 	","Naili Rachmasari","23 April 2021","Diberi rating 5 bintang dari 5 bintang","Alhamdulillah seperti konsultasi dengan dokter secara tatap muka"
"Julaiha Paokuma 7 April 2021 	","Julaiha Paokuma","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Baru pertama kali konsultasi dan puas sama jawaban dokter nya, sangat membantu 🙏"
"Aryow Sunindyo 9 April 2021 	","Aryow Sunindyo","9 April 2021","Diberi rating 5 bintang dari 5 bintang","Halodoc sangat berfaat buat saya. Terutama Fast respon. Jempolan utk Halodoc."
"Muhammad Aristan 4 April 2021 	","Muhammad Aristan","4 April 2021","Diberi rating 4 bintang dari 5 bintang","#temanhidupsehat# sangat membantu dalam konsultasi dan informasi terkait kesehatan,"
"Mega Utami 14 April 2021 	","Mega Utami","14 April 2021","Diberi rating 5 bintang dari 5 bintang","Dokter anaknya fast respon aplikasinya sangat membantu saat kondisi seperti sekarang"
"Emma Rahmawati 19 April 2021 	","Emma Rahmawati","19 April 2021","Diberi rating 5 bintang dari 5 bintang","Apliaksi yang sangat membantu saat darurat, tengkyu halodoc ditunggu promo menarik nya"
"Eva Yuliana 16 April 2021 	","Eva Yuliana","16 April 2021","Diberi rating 5 bintang dari 5 bintang","Alhamdulillah, sangat memudahkan untuk konsultasi dengan dokter spesialis nya"
"nona hiskia 20 Februari 2021 	","nona hiskia","20 Februari 2021","Diberi rating 5 bintang dari 5 bintang","Aplikasi ini membuat dokter spt keluarga, sahabat yg dekat, bisa dijangkau, tidak lagi berjarak. Harus bgt punya aplikasi ini,krn sakit dtg spt pencuri tiba². Jgn panik, pastikan saldo gopay cukup (yg simple buat saya), hub dokter, infokan scr benar keluhannya agar bisa dibantu utk obati. Lalu tunggu obat segera dikirim instant by Gojek. Sungguh terobosan yg sgt bermanfaat trutama di era pandemi, ketika semua hal mjd sangat berjarak Halodoc mendekatkn kita dgn dokter. Sukses utk halodoc 👍❤️"
"Ryeonmi Tuan 7 April 2021 	","Ryeonmi Tuan","7 April 2021","Diberi rating 1 bintang dari 5 bintang","Gimana sih ini. Masa dokter nya yg ngelewatin chat gtu aja ga di terima sama sekali ajuan dari aku tapi saldo nya ttp diambil. Gimana ini uang udh diambil tapi konsultasi ngga sama sekali tolong dong ada customer servicenya ga sih. Pengen komplain amat! Rugi tau ga jelas mengecewakan banget nih halodoc sekarang!!! 🤬🤬🤬🤬"
"User Gaming 5 Maret 2021 	","User Gaming","5 Maret 2021","Diberi rating 2 bintang dari 5 bintang","Kemaren tepatnya hari kamis tgl 04-maret-2021 jam 12.53 wita sy mendapat telp yang mengatasnamakan sebagai Call Center Halo dokter(halodoc), dia menginfokan beberapa Fitur yang ada di Halodoc, dan menyuruh sy buat aktivasi biaya paket bulanan sebesar Rp.39.000 dengan auto debet dari bank sy. dan akan di infokan ke email aktif sy jika sudah terdaftar,karna sy merasa percaya dengan Halodoc saya menyetujuinya, tp sampai kini sy tak mendapat informasi apa dr gmail/email, Tp dana sy sudah terpotong."
"itaa Kaylaric 11 April 2021 	","itaa Kaylaric","11 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membant untuk konsultasi dari rumah saja, apalagi sedang kondisi covid begini"
