rating,review
5,"Baru sempet review disini, pesan tgl 19, sampai 21, packing Best dengan bubblewrap, dan dapat harga murah dari yg lain dengan spek yg sama. Barang original, made in thailand. Thanks Kenkez n lazada"
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
1,kenapa blm sampai juga dari tanggal 15 desember pemesanan nya???
5,Barang berfungsi dengan baik
5,Tidak ada review
5,Barang ok
5,Tidak ada review
5,Tidak ada review
4,Berfungsi baik
5,Tidak ada review
4,Kok lama ya
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,rekomen
5,Tidak ada review
5,cocok banget
5,"Product:  HGST drive inside (model WD80EZZX), 5400RPM 3.5″ drive. Western Digital bought HGST (Hitachi Global Storage Technologies) back in 2012, combining the two companies technologies together. You get everything you need inside the box. The drive, power cable and USB. The drive comes with Acronis True Image WD Edition software which gives you need for making system and file backups with, including scheduled maintenance. It has USB3 connection, which is compatible with USB2.  Seller: Very prompt response, shipped next day with Lazada Express"
5,"Barang diterima dalam keadaan baik, berfungsi dengan bagus."
5,"Punyaku kok gak ada kartu garansinya dan segelnya gan, nanti buat ngeklaim garansi gimana caranya ya ?"
5,"barang baguss, sampai nya jg cepet"
4,Tidak ada review
5,Tidak ada review
4,Tidak ada review
1,dibanding dgn harganya...kualitasnya jauh sekali...dengan harga 150 rb dan kualitas yang kurang memadai harga tersebut kemahalan....
4,Bagus dan pengiriman cepat
5,Tidak ada review
5,"Pesan dari luar negeri, 5 hari kemudian sampai, Barang bagus tapi berharap ada isinya dalam kotaknya"
4,Barang lumayan bagus. Tebal jadi aman untuk harddisk. Harga sesuai
1,"Gimana nih barang udah sebulan lebih gak datang2....status di lazada pun belum di proses di kirim....please follow up, lazada team..."
4,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Ok sesuai sm deksripsi
3,Tidak ada review
5,Tidak ada review
4,Tidak ada review
5,Tidak ada review
5,"Maaf baru sempat review.  Secara umum cukup puas dengan layanan penjual. Packing bagus, rapih dan aman. Fisik barang sesuai gambar dan ulasan yang ada di website, hanya saya mis-informasi aja karena ternyata HD External WD ini gak dapat sarungnya.  Overall, saya rekomendasi sellernya. Thanks dan tingkatkan selalu pelayanannya, Sukses!!"
4,barang diantar dengan cepat dan sesuai dengan penjelasan yang ada. penjual merespondengan cepat.
5,Tidak ada review
4,Tidak ada review
5,Tidak ada review
1,"Kami menggunakan windows 10 sedangkan  yang dikirim adalah produk untuk windows dibawahnya, dan kamipun sudah mencoba untuk masuk ke windows 7 namun tetap tidak bisa digunakan, kami minta pengembalian dana saja. karna ternyata produk ini tidak sesuai harapan kami."
5,produk sesuai yg di gambar. bagus
5,barang sesuai pesanan
5,"Barang sampenya cepet banget, sesuai juga. Puasss"
5,Tidak ada review
5,Tidak ada review
5,"kualitas bagus , bahan aluminium dan akhirnya bisa digunakan HDD SSD saya sbg eksternal"
4,"Produknya bagus, pengirimannya cukup cepat beli tanggal 29 maret diterima tgl 1 april.  Namun untuk aktivasi antivirusnya tidak bisa. Saran, sebaiknya untuk pengiriman dikasih bubble wrap untuk menjaga kualitas produk saat pengiriman."
4,Tidak ada review
5,Tidak ada review
5,"Barang sudah diterima dan bekerja dengan baik, packing rapi, sesuai dengan harapan, pengiriman juga cepat, tapi bonusnya kurang menarik, tapi ngak apalah, puas deh... :D"
3,Kenapa di laptop Macbook Pro Retina saya ngga bisa dibuka ya?
4,Tidak ada review
1,"Masa 3 Go Jek sdh kesana tutup terus tokonya, order tgl 31 Mei 2017 sampai dg detik ini barang blm terkirim..."
5,Tidak ada review
3,"Packing bagus, pengiriman cepat...cuman hardcase ternyata tdk sesuai dgn gambar produk. Harapan sy dapatnya warna sesuai hard disk dan ukuran lbh besar dikit."
5,Tidak ada review
5,Tidak ada review
1,Baru pakai 3 hari hdd sudah rusak data hilang!  Jangan di beli ! Tidak di rekomendasi
5,Tidak ada review
5,"Respon Chat Oke, Pengiriman Oke, Barang Sesuai. Mdh2an Sukses"
5,"ok, packing rapi, barang OK"
5,"barang sesuai gambar, overall sangat bagus... thanks"
1,"Ada yg penyok pada casenya di bagian antena, mungkin pengiriman kurang aman dan hati2, tp untungnya masih fungsi baik. Deskripsinya ada yg gak sesuai, gak ada batre/powerbank tuh. Buku manualnya bahasa cina, ga ngerti. Coba2 sendiri akhirnya bisa, di bantu google."
3,Tidak ada review
5,Barang sampai dengan cepat dan sesuai deskripsi
5,Tidak ada review
4,"Barang cepat sampai, dan bagus"
5,Tidak ada review
5,Tidak ada review
5,Good and practical product with cheap price. thanks.
1,lebih baik cari yg lain
5,Tidak ada review
5,Tidak ada review
4,Tidak ada review
5,Mantap gan
1,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,"Sesuai dengan apa yang dipromosikan bonusnya, belum dicoba tapi mudah mudahan ok"
5,"Sesuai judul, produknya recommended degh :) Gampang juga untuk penggunaannya."
4,Tidak ada review
1,Saya sudah memesan dan menunggu sebulan untuk produk ini namun saat seseharusn sampai tiba tiba dibatalkan dan tertera alamat tidak ditemukan padahal di google map pun alamat ini muncul.
4,"Kemasan rapi dan aman, pengiriman lebih cepat dri estimasi, tpi minus sekrup pengunci nya."
5,sdh saya terima dan trima kasih
5,Barang sesuai.. Pengiriman Sangat Cepat.. Mantap jiwa...
5,Tidak ada review
1,Sdh 2 minggu barang blom di kirim juga..bagaimana ini gan .ada barang ngak sih?
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,makasih barangnya dah sampai barang bagus sesuai pesanan
1,"barang tidak sesuai dengan di deskripsi, dan yg ada di gambar."
5,packing bagus...barang ok lah..
4,Tidak ada review
5,Tidak ada review
5,Tidak ada review
4,Tidak ada review
5,"respon nya bagus,barang nya jg,sama pengemasan baik,bagus lah intinya"
1,"Aq sdh nunggu lama, barang ga dateng jg, kerjaan ku jadi kehambat gara2 seller ini"
5,Tidak ada review
5,Tidak ada review
5,Packing rapi Proses pengiriman cepat Bonus serta kualitas sesuai dengan yang diharapkan
1,Tidak ada review
5,"Pengiriman cepat , respon penjual bagus dan barang sesuai gambar"
5,Tidak ada review
2,"Pelayanannya bagus sih, cuman produknya yang gak bagus.."
5,packing nya rapi
5,ok
5,Bagus dus masih segel void
4,Tidak ada review
5,Tidak ada review
5,"Makasih seller dan lazada, barang yang aku pesen sesuai sama yang ada di gambar...... puas deh pokonya (y)"
1,"Sudah blanja, malah minta uang dibelakang. yaudah mending dibatalkan aja."
5,Tidak ada review
5,Tidak ada review
4,Trm.kasih barang sdh keterima dgn kemasan yg baik dan tdk terlalu lama
1,Tidak ada review
5,"Kualitas barang sangat baik, packing pengiriman barang sangat baik, kecepatan pengiriman barang sangat cepat, respon penjual sangat cepat. Recommended Seller"
5,Tidak ada review
1,"Saya pesan warna hitam, yang datang warna putih. kecewa. gak sesuai ekspektasi"
5,Ini Yang Belum Tau Karena Barang Belum Sampai..Tak Terkirim Tpi seller dengan respon baik bakalan dikirim dengan pesan selanjutnya..terima kasih
5,Tidak ada review
4,Its fast and strongly build.
5,"Barang Oke, Waktu kirimnya cepat, respon penjual cepat"
4,Tidak ada review
5,Tidak ada review
5,Tidak ada review
4,Tidak ada review
5,Penyimpanan berkapasitas besar. Okelaaah
5,very trust. walaupun sempat free barangnya tidak lengkap tapi adminnya bertanggung jawab utk kirim lagi. pelayanannya oke banget.. thankyou.
3,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
4,puas barangnya.. sesuai dengan spesifikasi dan gambar. hanya saja pengirimannya telat lama sekali. sampai sudah lewat tanggl estimasinya.😟 udh gitu saya cek flasdiknya liat di propertiles nya katanya flasnyadiknya 14 GB kok aneh ya😞 tpi gpp yg penting bisa di pakai..
5,Tidak ada review
5,Tidak ada review
1,Gak usah beli
4,Tidak ada review
5,Tidak ada review
5,"fast respon,seller ramah pengiriman cepat sampai thx gan"
5,Tidak ada review
4,Barangnya sudah sampai kemarin Dan sesuai pesanan  terima kasih 😙
5,"Paket rapi, Barang sesuai pesanan, pengiriman sesuai layanan, produk original dan mudah²an awet"
2,Pesanan saya #3688151466 ga dikirim kirim padahal statusnya diproses uda lama. Barang lain dr toko lain dengan no pesanan sama uda smpe 3 hari. Gmana cara batalin pemesanan saya?
4,Tidak ada review
5,Tidak ada review
4,Tidak ada review
1,"harga mahal barang tidak berfungsi biruk sekali,its so bad not recomended."
5,thx ..
5,Tidak ada review
5,Tidak ada review
4,barang d terima dg baik.. tapi dompet hardisknya gk ada tulisan canvionya..
4,kualitas barang bagus sesuai gambar
5,Tidak ada review
5,"barang sudah sampai,fast respon, produk real pick tidak mengecawakan lah pokoknya mantap gan"
5,Tidak ada review
5,mantap
5,Tidak ada review
1,kok barangnya saya beli mahal2 pas mau digunakan ternyata tidak bisa menyala...mohon diganti dong barang yang saya beli ini
5,mantap
4,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Barang datang dengan kondisi baik dan sesuai.
5,Barang datang dengan kondisi baik dan sesuai.
5,barang ori tersegel rapi. sesuai deskripsi dan ekspektasi. auto *5. thx
1,Kalau di awal gak jelas jadi takut mau beli
3,Tidak ada review
5,Tidak ada review
4,Tidak ada review
3,Tidak ada review
5,brg sesuai deskripsi dan pengiriman cepat
5,nice
5,Tidak ada review
5,Mantap jiwaa bisa bayar ditempat bareng sama bonusnya ok banget
2,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,"WD MyCloud EX2 12 TB termurah di semua toko offline dan online, barang original, udah dipasang dan ditest berfungsi baik, instalasi dan setting server mudah, upload speed rate cukup tinggi, langsung terdeteksi oleh media player, smart tv dan gadget."
5,Tidak ada review
5,Thx kk sesuai pesanan dpt bonus lagi sukses ya
5,"Barang bagus + sesuai spek... Tapi, barang yang saya inginkan sesuai dengan gambar..."
5,bagus
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
2,kami kecewa flsdisnya tudak bisa digunakan hanya bisa menyimpan dataa namun  tidak dapat membaca kembali.
5,barang bagus dan berfungsi normal
5,"Baru order sebelum jam 3, pas esok siang barang sampai dengan selamat tanpa kurang cacat satupun. padahal alamat diluar Jakarta"
5,Tidak ada review
5,"Barang sesuai pesanan, sudah di test dan berfungsi dengan baik"
3,Tidak ada review
5,"barang pesanan sdh diterima, namun sedikit kendala di pengiriman, biasa umum pengiriman sekitar 2-3 hari,  ini barang diterima lebih lama... btw thanks boss"
1,brngny sudah nympe. pas di buka. sangattt kecewaa.. tidak sesuai dgn pesann. banyak kurngnya.    kabel usb sonk.   driver IDE sonk.  pastinya kecewa bgettt..
5,Tidak ada review
5,Tidak ada review
3,FD kurang baik cash nya karena ada yg retak2...
5,"Produk diterima dengan baik. Hingga saat ini, produk berfungsi dengan baik."
5,Tidak ada review
4,pengiriman sesuai jadwal. semoga awet.
5,Barang mendarat dengan mulus... hadiahnya juga lengkap..keren!!! Semoga Awet.
5,"walaupun datangnya lama banget tapi nggak pa pa maklum J&E mungkin overload, terobati juga dgn barangnya yang mantap dan moga aja awet, soalnya saya sudah punya 3 untuk anak anak Hardisk model ini dan semuanya keren, trimakasih"
5,👍
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
3,cuma kabel buat volokan ke laptopnya kok gak ada gan?  gmn ini
5,Tidak ada review
5,Tidak ada review
5,Barang datang sesuai dengan yang disampaikan :D
5,Tidak ada review
2,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Produk INI bagus.yg butuh penyimpanan data eksternal saya rekomendasikan beli produk INI. Fast respons Dan pengiriman cepat.packingnya juga bagus.tampilan produk juga keren...
5,Tidak ada review
5,Tidak ada review
3,"belum terima barangnya, kok di keteranganx sdh terima,,, spa yg nerima?"
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,pengiriman cepet..packing jg mantap aman..lsg dpke brfungsi dg baik..good product
4,Tidak ada review
5,"Sesuai pesanan, dan pengiriman tepat waktu."
5,Tidak ada review
5,joss.....packing rapi
5,Barang sudah diterima packing rapi semoga awet
5,Tidak ada review
1,Tidak ada review
4,tp brgnya lama sampainya...
4,Tidak ada review
5,Mantaaap gan...... New and Ori
5,Tidak ada review
5,Lumayan...pesen 80gb yang Dateng kok 111gb Bonuss
5,Tidak ada review
1,Tidak ada review
1,"Barang tidak dibungkus aman,pakai bubble hitam tipis jelek mudah sobek,wajar saja kalau banyak hardisk yang rusak,karena penjual tidak bungkus aman,di gudang kurir barang pasti dilempar2 tidak mungkin disayang2 taruh pelan2 ,karena barang ribuan, hardisk barang yang gampang rusak jika terkena guncangan, jika penjual tidak mau rugi, jual saja bubble ,agar aman,tapi bubble putih ya,jangan bubble hitam"
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Terimakadih lazada Barang nya bagus
4,bagus
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,WD my passport sesuai pesanan dan dapat free hard case
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,bagua
5,"barang sesuai deskripsi. bagus. minusnya hanya masalah pengiriman yang agak lama. tidak seperti biasanya, walaupun barang dari LN."
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,baik
5,berfungsi baikk
5,Tidak ada review
5,Tidak ada review
5,Mantul kalau udah di bhinneka
5,bagus+pas
5,"cs ramah, cepat sampe, barang mantap"
5,Tidak ada review
5,Tidak ada review
1,Sangat kecewa pesan nya hello kitty yg datang malah hulk padahal sebelum nya udh chat dan bilang kalo hello kitty nya ready😭eeh pas datang malah beda😭
5,Tidak ada review
5,Tidak ada review
5,sip.barang cepat sekali sampai.hanya butuh 2 hari untuk sampai k balikpapan.thanks
5,"mantap, dicek berfungsi normal. mudah2an awet."
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,baguuuus oriiiii harga bersaing plus belinketika mid year.sales jadi lebiiih muraaah namun oriii thanks lazada
5,Tidak ada review
5,Tidak ada review
5,Barang sdh saya terima bagus sesuai dg iklannya
2,barangnya rusak ga bisa d pake
5,"Pengiriman cukup cepat, sesuai gambar dan kapasitas 2 TB, kualitas (sedang dicoba)"
5,Tidak ada review
3,Tidak ada review
4,sesuai dgn pesanan n cepat
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,sangat puas
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
4,suka amat model hello kitty bling-bling nya.bisa dipakai .makasih
5,Tidak ada review
5,Barang cepat diterima dan dalam keadaan baik. Recommended Seller
5,Tidak ada review
4,Tidak ada review
5,untuk pemakaian darurat lumayan bisa bantu..nyalain sebatang mah
4,Barangnya sampai dengan selamat dan berfungsi dengan sempurna...
5,Barang sesuai deskripsi & pesanan
5,Tidak ada review
3,Tidak ada review
4,sesuai pesanan
5,Tidak ada review
5,Barangnya bagus packingnya rapi sayaa senang sekali thank you
5,Excellent
5,Tidak ada review
5,Tidak ada review
4,Tidak ada review
5,Tidak ada review
5,usb diterima lebih cepat dari info yang ada.. barang nya ok dan sesuai dengan spek yang dicantumkan di lazada.. tks
5,"The product is good and affordable. Nevertheless, thanks Lazada..."
3,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,so far so good  Enough Capacity and working good
5,"You won't regret if you buy it, it's durable .Thanks Lazada !"
1,USB 8GB ini ga bisa di pakai
5,Tidak ada review
5,sesuai gambar sesuai harapan
2,Tidak ada review
5,"Satisfied with the product, the item was good.and so fast delivery"
5,"Barang sudah sampai dan bekerja dengan baik, trimakasih lazada"
5,Tidak ada review
5,Tidak ada review
5,bagus
5,Cheap price but high quality    ，，Working not bad
3,Status sudah dikirim tapi kok belum sampai ya
2,"semoga cepet sampai, dan semoga bener² real 32gb"
1,Produk tidak sesuai dengan gambar.. Yang diterima LCD maupun menu berbeda 100%
4,Tidak ada review
4,Tidak ada review
2,Tidak ada review
5,Tidak ada review
3,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,"You won't regret if you buy it, it's durable .Thanks Lazada !"
5,Tidak ada review
3,Tidak ada review
5,barang bagus mantap
4,Tidak ada review
3,"Barang diterima dgn baik, overall berfungsi baik.  Tapi kok capacity storage nya cuma 57 Gb, gk sesuai tulisan 64 Gb."
5,Tidak ada review
1,Barang masih ada gk...????
4,Tidak ada review
5,Mohon di cek kembali sudah benar untuk harganya apa belum ?
5,Tidak ada review
4,Tidak ada review
5,Tidak ada review
5,ori.
1,Pesan tanggal 9 mei 2017. Maksimal pengiriman tanggal 12 mei 2017. Tanggal 12 mei 2017 jam 8 malam baru ada email bahwa pesanan saya dibatalkan oleh seller tanpa alasan apapun. Padahal barangnya ready tuh masih jualan? Buang-buang waktu orang aja. Seller yang gak niat jualan atau toko palsu ini kayaknya.
5,Tidak ada review
4,Untung dlu gw beli sisa 1 unit cuma 96ribu
4,"barang berfungsi dengan baik,hanya ujungnya agak bengkok"
3,ok
5,harganya saat itu lagi diskon terus juga ori. pengiriman cepat
3,"Sempet lama sih kemarin dilayaninnya hampir 2 hari,  Pertama liat kaget kerdusnya peyot peyot dan sempat khawatir juga kalau isinya bakal berabe, pas dibuka dan cek kondisi barang untungnya barang aman cuman packingan yang rusak, mungkin lain kali seller kasih perlindungan lebih untuk barang yang dikirim  Makasih lazada pelayanan cukup baik, lebih percaya belanja di sini"
5,barangnya bagus tidak mengecewakan barangnya cepat sampai terima kasih lazada pokoknya lazada yang terbaik
1,Sering error
4,"trims lazada,paket sudah diterima..."
3,Tidak ada review
5,Tidak ada review
5,Flasdisk ok
1,kapasitas 64 GB tidak sesuai dengan barang yang saya terima.. kapasitas flasdsik yang saya terima hanya 59 GB.. saya tidak merekomendasikan barang ini untuk dibeli krna tidak sesuai
1,Tidak ada review
5,so far so good  Enough Capacity and working good
5,"Sudah diterima beberapa hari yg lalu,, maaf baru review. Barang bagus sesuai gambar."
5,"Good quality of item ,,,fast delivery"
2,jujur gak ya ..... jangan ngarep hrga murah kualitas ok
1,"Barang jelek sekali. Harus nya 32GB, baru di isi sekitar 4 - 5 GB mulai jadi lambat, makin lama makin lambat.  Kalau di isi photo total dibawah 5GB masih ok, selebih nya error, tapi gak ada error notification, hanya waktu photo di buka, ""error opening"" Beli 5 unit, semua nya sama. Kapok."
5,barang goooood
1,"barang datang dicoba langsung off,ga usah deh beli produk ini"
4,barang bagus...semoga awet
5,Tidak ada review
3,Ini flashdisknya bisa buat apa aja kan
1,Setelah kami terima flashdisk 64 GB yg datang je tempat kami cukup lama .dan setelah dicoba tidak bisa digunakan atau rusak
5,"Satisfied with the product, the item was good.and so fast delivery"
5,barang goood
1,kecewa tapi saya ga bisa nyalahin selain diri sendiri.karena bali usb yg saya kira 64 giga ternyata 64 mb. diisi apaan? lagu2 aja ga muat. parah!!
5,Tidak ada review
1,hanya bs digunakan sebentar. udh itu gak tau jd gak bs dipakek.  trus tdk bs menyimpan semua file. hanya file2 tertentu yg bs disave dan diibuka kembali. kenbanyakan tdk bisa dibuka.
1,Masih jual 64mb
4,"Barang bagus, sesuai dengan yg di foto, suka :)"
1,Tidak ada review
2,"kapasitas tidak sesuai, paling cuma bisa nyimpan 16 gigaan"
1,Bad product
5,Tidak ada review
1,"Barang ini palsu, karena aslinya muatannya hanya 8 gb."
5,Tidak ada review
5,barang sesuai pesanan
1,mending jangan
3,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,datang cepat paket hemat rekomeded
5,Tidak ada review
5,flshdisk ajaib. sering hilang tp selalu blik. 😂
5,Barang sampe dengan selamat
1,penjual ini parah...pesanan saya dibatalkan sepihak...pengembalian dananya lama sekali...sy pesan 5buah cod ga ada masalah...ini sdh tidak bisa cod...dibatalkan...lama lg pengembalian uang saya...
5,"Barang asli, ada hologramnya. Packing bagus. Fast respons. Recommended seller."
3,"saya sangat puas, barang juga oke ...  makasih lazada"
5,Tidak ada review
4,Tidak ada review
5,thank youuu
4,Tidak ada review
4,Mantaapp sesuaii
5,"barang bagus, sesuai dengan gambar dan deskripsi produk"
3,Tidak ada review
5,"pake gojek langsung nyampe... sudah dicoba, di dalamnya ada aplikasi sandisk untuk mengamankan file gitu.. ngopy file juga cepat, jadi yakin ini ori.. dapat stiker NO SMOKING juga, mantap.."
5,"Barang sudah diterima, kondisi OK sesuai dengan pesanan..  thanks.."
5,Tidak ada review
4,Barang bisa digunakan dan dalam kondisi ok.
4,Barang nya sudah sampai...lumayan sih.. Thanks lazada
5,Tidak ada review
1,Udah 2 minggu pesan tapi blm sampe2 jg..... Telat banget
1,Yg dikirim malah newblack touch screen for samsung!
5,barang bagus ... berfungsi baik ... terimakasih ..
5,Tidak ada review
3,Tidak ada review
5,"pesanan sudah sampai, terimakasih banyak .."
1,"Barang belum di terima, tapi ada notifikasi barang sudah diterima. coba cek dulu baik2 sebelum send notifikasi. Dulu pesan tas anak merk onlan, jasa pengiriman lewat LEX, alhasil barang di send balik ke pusat, alasan katanya kantor gak ditemukan ( Buset, Hotel Besar di Pusat Kota Makassar Gak ketemu). sekarang pesan FD,jasa pengiriman LEX, barang belum di terima, tapi ada notifikasi sudah diterima. hadehhhh...."
5,"Nice ,,I like"
2,Ini asli 32 GB gan?
1,Tidak ada review
5,bagus
5,"Nice design , Engough 256MB,,,just what I want ."
3,Tidak ada review
3,Tidak ada review
5,Tidak ada review
1,Saya ingin membatalkan pesanan produk ini.
5,Brg sdh dtrima on time. Lbh baik dr pd yg kabel krn lbh praktis. Thx lazada...
2,Murah meriah
3,"murah, tpi kuningannya sering lepas...lemnya kurang kuat"
2,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
1,jelek.. ilang2 terus data dibuatnya
4,Tidak ada review
3,Tidak ada review
2,Tidak ada review
