review,sentiment
'kami' 'mengunakan' 'windows' 'sepuluh' 'sedangkan' 'yang' 'dikirim' 'adalah' 'produk' 'untuk' 'windows' 'di bawah' 'dan' 'kamipun' 'sudah' 'mencoba' 'untuk' 'masuk' 'ke' 'windows' 'tujuh' 'namun' 'tetap' 'tidak' 'bisa' 'digunakan' 'kami' 'minta' 'pengembalian' 'dana' 'saja' 'karena' 'ternyata' 'produk' 'ini' 'tidak' 'sesuai' 'harapan' 'kami',0
'layaratau' 'scren' 'pecah' 'dan' 'barang' 'sudah' 'di' 'kembalikan' 'ke' 'semart' 'komp' 'saya' 'tungu' 'laptop' 'dikirim' 'kembali' 'yang' 'sesuai' 'dengan' 'permintan' 'saya',0
'produk' 'keren' 'dengan' 'harga' 'empat' 'jt' 'ini' 'rekomen' 'sekali' 'dan' 'bagus' 'sekali' 'buat' 'yang' 'suka' 'main' 'game' 'ini' 'bagus' 'sekali' 'dengan' 'prosesor' 'dan' 'fitur' 'yang' 'memadai' 'terima kasih' 'sekali' 'lazada',1
'hardisk' 'rusak' 'tidak' 'bisa' 'instal' 'windows' 'laptop' 'saya' 'kembalikan',0
'so' 'far' 'okeh' 'sesuai' 'deskripsi' 'tepat' 'waktu' 'pengiriman',1
'laptop' 'sudah' 'saya' 'terima' 'dan' 'pengemasan' 'bagus' 'tanpa' 'sedikit' 'cacat' 'thankslazada',0
'barang' 'cepat' 'sampai' 'berfungsi' 'baik' 'harga' 'bagus' 'puas' 'sekali' 'terima kasih',1
'pelayanan' 'mantap' 'pesanan' 'datang' 'tepat' 'waktu' 'walau' 'saya' 'di' 'timika' 'papua' 'thks' 'lazada',1
'yang' 'ditrima' 'kok' 'toshiba' 'tidak' 'sesuai' 'dengan' 'yang' 'diminta' 'merek' 'telepon genggam',1
'produk' 'bagus' 'pengiriman' 'cukup' 'cepat' 'beli' 'tangal' 'sembilan' 'maret' 'diterima' 'tanggal' 'satu' 'april' 'namun' 'untuk' 'aktivasi' 'antivirus' 'tidak' 'bisa' 'saran' 'sebaik' 'untuk' 'pengiriman' 'dikasih' 'buble' 'bungkus' 'untuk' 'menjaga' 'kualitas' 'produk' 'sat' 'pengiriman',1
'barang' 'bagus',1
'mantap' 'tapi' 'mouse' 'dan' 'mouse' 'pad' 'legion' 'tidak' 'ada' 'di' 'paket',1
'otg' 'kok' 'tidak' 'bisa' 'konek' 'ya',0
'barang' 'bagus' 'dan' 'kiriman' 'cepat' 'respon' 'cepat',1
'barang' 'sudah' 'saya' 'terima' 'seler' 'respon' 'cepat' 'saya' 'dikasih' 'bonus' 'sarung' 'tangan' 'he' 'pembelian' 'ke' 'lima' 'barang' 'sesuai' 'deskripsi' 'clas' 'sepuluh' 'memang' 'direkomendasikan' 'nanti' 'beli' 'di sini' 'lagi',1
'saya' 'sudah' 'mengetes' 'tv' 'ini' 'baik' 'siaran' 'analog' 'ataupun' 'digital' 'juga' 'internet' 'seperti' 'youtube' 'atau' 'pun' 'situs' 'berita' 'dengan' 'browser' 'bawan' 'berjalan' 'lancar' 'yang' 'belun' 'berhasil' 'dites' 'adalah' 'fitur' 'mhl' 'dan' 'scren' 'miroring' 'karena' 'membutuhkan' 'perangkat' 'mobile' 'yang' 'mendukung' 'fitur' 'tersebut',1
'mantap' 'barang' 'bagus' 'kemasan' 'pakai' 'plastik' 'buble' 'rapi' 'dan' 'pasti' 'sesuai' 'harapan' 'rekomendasi' 'seler' 'thanks' 'layananya',1
'pb' 'slim' 'merk' 'apa' 'kalau' 'boleh' 'tahu' 'dan' 'berapa' 'mah' 'juragan',0
'jujur' 'tidak' 'iya' 'jangan' 'ngarep' 'harga' 'murah' 'kualitas' 'oke',0
'ukuran' 'tiga' 'tiga' 'gb' 'tapi' 'mengisi' 'data' 'yang' 'delapan' 'gb' 'ajh' 'tidak' 'muat' 'karena' 'sudah' 'banyak' 'virus' 'padahal' 'di' 'pakai' 'juga' 'belum' 'mhl' 'doank' 'pas' 'saya' 'nyimpen' 'fto' 'bukan' 'kesimpen' 'mlh' 'hilang' 'semua' 'menyesal' 'bli',0
'pengemasan' 'rapi',1
'difoto' 'ada' 'penutup' 'fd' 'asli' 'tidak' 'ada',1
'satisfied' 'dengan' 'yang' 'produk' 'yang' 'barang' 'was' 'bagus' 'dan' 'so' 'cepat' 'pengiriman',1
'sampai' 'sekarang' 'masih' 'oke' 'ini' 'laptop',1
'mantap' 'sesuai' 'harapan',1
'puas' 'sekali' 'dengan' 'pelayanan' 'lazada' 'tertawa' 'saja' 'dalam' 'informasi' 'produk' 'pihak' 'lazada' 'kurang' 'menguasai' 'l' 'dan' 'mau' 'saya' 'sampaikan' 'ryzen' 'tujuh' 'mengunakan' 'vega' 'sepuluh' 'serta' 'sudah' 'mendukung' 'fingerprint',1
'sangat' 'kecewa' 'pesan' 'halo' 'kity' 'yang' 'datang' 'bahkan' 'hulk' 'padahal' 'sebelum' 'sudah' 'chat' 'dan' 'bilang' 'kalau' 'halo' 'kity' 'siap' 'eh' 'pas' 'datang' 'bahkan' 'beda',0
'ada' 'yang' 'penyok' 'pada' 'case' 'di' 'bagian' 'antena' 'mungkin' 'pengiriman' 'kurang' 'aman' 'dan' 'hati' 'hati' 'tapi' 'untung' 'masih' 'fungsi' 'baik' 'deskripsi' 'ada' 'yang' 'tidak' 'sesuai' 'tidak' 'ada' 'batreatau' ' tenaga bank' 'itu' 'buku' 'manual' 'bahasa' 'cina' 'tidak' 'mengerti' 'coba' 'coba' 'sendiri' 'akhir' 'bisa' 'di' 'bantu' 'gogle',0
'produk' 'ini' 'bagus' 'di' 'awal' 'tapi' 'pemakaian' 'mingu' 'sudah' 'mengalami' 'masalah' 'satu' 'file' 'yang' 'dicopy' 'sering' 'korupsi' 'banyak' 'file' 'yang' 'masuk' 'dan' 'sekitar' 'delapan' 'puluh' 'persen' 'tidak' 'terbaca' 'tiga' 'tidak' 'bisa' 'digunakan' 'untuk' 'copy' 'langsung' 'ukuran' 'besar' 'pasti' 'ngadat' 'empat' 'sekarang' 'tidak' 'bisa' 'digunakan' 'karena' 'semua' 'yang' 'dimasukan' 'tidak' 'dapat' 'dibuka' 'lima' 'beberapa' 'file' 'hilang' 'sendiri' 'semoga' 'tidak' 'ada' 'yang' 'terkena' 'masalah' 'seperti' 'ini' 'lagi',0
'barang' 'sudah' 'nympe' 'pas' 'di' 'buka' 'sangat' 'kecewa' 'tidak' 'sesuai' 'dengan' 'pesan' 'banyak' 'kurang' 'kabel' 'usb' 'sonk' 'driver' 'ide' 'sonk' 'pasti' 'kecewa' 'bget',0
'barang' 'diterima' 'dalam' 'keadan' 'baik' 'berfungsi' 'dengan' 'bagus',1
'barang' 'sampai' 'dengan' 'cepat' 'dan' 'sesuai' 'deskripsi',1
'sudah' 'dipakai' 'selama' 'berbulan' 'berbulan' 'tidak' 'ada' 'masalah' 'dan' 'lancar' 'lancar' 'saja' 'sengaja' 'kasih' 'rivew' 'lama' 'biar' 'jadi' 'bukti' 'kalau' 'barang' 'di sini' 'memang' 'bagus',1
'barang' 'sesuai',1
'barang' 'kualitas' 'bagus' 'saya' 'senang' 'dan' 'puas' 'tksh',1
'bagus' 'mantap',1
'barang' 'mendarat' 'dengan' 'mulus' 'hadiah' 'juga' 'lengkap' 'keren' 'semoga' 'awet',1
'terima kasih' 'barang' 'sudah' 'sampai' 'barang' 'bagus' 'sesuai' 'pesanan',1
'sesuai' 'dengan' 'pesanan' 'dan' 'cepat',1
'pengiriman' 'cukup' 'cepat' 'sesuai' 'gambar' 'dan' 'kapasitas' 'tb' 'kualitas' 'sedang' 'dicoba',1
'oke',1
'al' 'bagus' 'dan' 'nomor' 'masalah' 'at' 'al',1
'untung' 'dulu' 'aku' 'beli' 'sisa' 'satu' 'unit' 'hanya' 'sembilan' 'puluh' 'enam' 'ribu',1
'murah' 'tapi' 'kuningan' 'sering' 'lepas' 'lem' 'kurang' 'kuat',0
'everthing' 'adalah' 'oke' 'terima kasih' 'lazada',0
'barang' 'sudah' 'saya' 'terima' 'dengan' 'kemasan' 'baik',1
'walaupun' 'datang' 'lama' 'sekali' 'tapi' 'ngak' 'apa' 'apa' 'maklum' 'jdan' 'e' 'mungkin' 'overload' 'terobati' 'juga' 'dengan' 'barang' 'yang' 'mantap' 'dan' 'semoga' 'saja' 'awet' 'soal' 'saya' 'sudah' 'pu' 'tiga' 'untuk' 'anak' 'anak' 'hardisk' 'model' 'ini' 'dan' 'semua' 'keren' 'terima kasih',1
'esel' 'seler' 'paling' 'teratas' 'barang' 'yang' 'dikirim' 'masih' 'tersegel' 'pabrik' 'dan' 'sesuai' 'spesifikasimya' 'lima' 'stars',1
'lumayan' 'sesuai' 'cuma' 'tidak' 'bisa' 'nymbung' 'otg' 'ke' 'telepon seluler',1
'belum' 'terima' 'barang' 'kok' 'di' 'keteranganx' 'sudah' 'terima' 'siapa' 'yang' 'nerima',0
'pengiriman' 'sangat' 'cepat' 'dan' 'produk' 'sesuai' 'terima kasih' 'juragan',1
'pemesanan' 'tanggal' 'tujuh' 'atau' 'empat' 'atau' 'lima' 'belas' 'sampai' 'barang' 'tanggal' 'sembilan' 'atau' 'empat' 'atau' 'lima' 'belas' 'cepat' 'sekali' 'yah' 'barang' 'sesuai' 'dengan' 'gambar' 'yang' 'ada' 'di' 'web' 'coba' 'telepon' 'ke' 'suplier' 'untuk' 'ta' 'cara' 'pakai' 'ternyata' 'telelpon' 'yang' 'tercantum' 'nyambung' 'dan' 'disambut' 'baik' 'oleh' 'pelayan' 'puas' 'dengan' 'pelayanan' 'terima kasih' 'lazada',1
'sesuai' 'harapan',1
'pengiriman' 'cepat' 'barang' 'sesuai' 'gambar' 'dan' 'pengemasan' 'baik' 'dan' 'rapi',1
'bisa' 'di' 'ganti' 'mi' 'sama' 'flash' 'yang' 'lain' 'Cuma' 'flash' 'dist' 'saja' 'admin',0
'lebih' 'baik' 'cari' 'yang' 'lain',0
'produk' 'asli' 'kualitas' 'okey' 'pengemasan' 'teratas' 'sekali' 'sampai' 'dengan' 'aman' 'tanpa' 'lecet' 'sedikitpun' 'kurir' 'dari' 'june' 'chasles' 'ramah',1
'barang' 'cepat' 'sampai' 'hari' 'langsung' 'sampai' 'rumah' 'bagus' 'juga' 'barang' 'hanya' 'buka' 'penutup' 'flashdisk' 'agak' 'susahdan' 'agak' 'susah' 'untuk' 'dicabut' 'dari' 'laptop',1
'tapi' 'barang' 'lama' 'sampai',1
'mungkin' 'karena' 'produk' 'negeri' 'luar' 'iya' 'saya' 'nrima' 'agak' 'lama',0
'yang' 'dikirim' 'bahkan' 'newblack' 'touch' 'scren' 'untuk' 'samsung',0
'datang' 'cepat' 'paket' 'hemat' 'rekomeded',1
'produ' 'oke' 'pengiriman' 'oke',1
'barang' 'tidak' 'berfungsi',0
'fd' 'kurang' 'baik' 'cash' 'karena' 'ada' 'yang' 'retak' 'retak',0
'barang' 'sampai' 'dengan' 'slamat' 'dan' 'lengkap' 'sesuai' 'pesanan' 'tanpa' 'kekurangan',1
'barang' 'sampai' 'dengan' 'selamat' 'pengemasan' 'lumayan' 'dan' 'barang' 'berfungsi' 'sesuai' 'yang' 'diharapkan' 'mantap',1
'flashdisk' 'error' 'dijual' 'tidak' 'brfungsi' 'cuma' 'jadi' 'rongsok',0
'bagus',1
'kecewa' 'berat' 'kata' 'enam' 'puluh' 'empat' 'gb' 'ternyata' 'tertawa' 'gb' 'pokok' 'kecewa' 'baru' 'awal' 'beli' 'barang' 'di' 'lazada' 'sudah' 'kena' 'tipu',0
'rekomen',1
'barang' 'datang' 'dengan' 'selamat' 'he' 'he' 'ada' 'gratis' 'juga' 'mantap' 'pokoknya',1
'pesanan' 'saya' 'tiga' 'miliar' 'delapan' 'puluh' 'delapan' 'juta' 'seratus' 'lima' 'puluh' 'satu' 'ribu' 'empat' 'ratus' 'enam' 'puluh' 'enam' 'tidak' 'dikirim' 'kirim' 'padahal' 'status' 'diproses' 'sudah' 'lama' 'barang' 'lain' 'dari' 'toko' 'lain' 'dengan' 'nomor' 'pesanan' 'sama' 'sudah' 'smpe' 'tiga' 'hari' 'bagaimana' 'cara' 'batalin' 'pemesanan' 'saya',0
'kecewa',0
'produk' 'sesuai' 'yang' 'di' 'gambar' 'bagus',1
'produk' 'sudah' 'digunakan' 'dan' 'berfungsi' 'sangat' 'baik',1
'ini' 'asli' 'apa' 'seken',0
'sangat' 'puas' 'sesuai' 'dengan' 'pesanan' 'terima kasih' 'seler' 'dan' 'lazada',1
'wow' 'kualitas' 'barang' 'oke' 'sekali' 'pelayanan' 'juga' 'oke' 'terima kasih',1
'bagus' 'sekali' 'puas' 'lah' 'tapi' 'kecil' 'sekali',1
'barang' 'sampai' 'lebih' 'cepat' 'dan' 'dalam' 'kondisi' 'sangat' 'baik' 'sudah' 'di' 'test' 'dan' 'sejauh' 'ini' 'puas' 'dengan' 'performa',1
'delapan' 'hari' 'baru' 'sampai' 'sistem' 'kosong' 'rot' 'saja' 'tampil' 'jadi' 'harus' 'instal' 'ulang' 'packingan' 'rapi' 'dan' 'tersegel',0
'bagaimana' 'ini' 'barang' 'sudah' 'sebulan' 'lebih' 'tidak' 'datang' 'datang' 'status' 'di' 'lazada' 'pun' 'belum' 'di' 'proses' 'di' 'kirim' 'mohon' 'folow' 'up' 'lazada' 'team',0
'lumayan',0
'buku' 'panduan' 'ofice' 'tidak' 'dapat' 'respon' 'lambat' 'juga',0
'produk' 'bagus' 'dan' 'asli' 'namun' 'pengiriman' 'lama' 'benget' 'kurang' 'lebih' 'satu' 'bulan' 'baru' 'sampai',0
'luar biasa',1
'mudah' 'dipakai' 'gambar' 'tajam' 'banyak' 'fungsi' 'tambahan' 'seperti' 'digital' 'tv' 'digital' 'cable' 'tv' 'digital' 'satelite' 'tv' 'receiver' 'yang' 'sudah' 'inbuilt' 'didukung' 'speaker' 'yang' 'hebat' 'harga' 'terjangkau' 'luar' 'biasa' 'sayang' 'banyak' 'yangbelum' 'tahu',1
'barang' 'tidak' 'sampai' 'ke' 'saya' 'tidak tahu' 'sampai' 'kmana',0
'saya' 'belum' 'menerima' 'paket' 'saya' 'tapi' 'diulasan' 'sudah' 'terkirim' 'dibukti' 'pengiriman' 'tertulis' 'tertawa' 'satuan pengamanan' 'biasa' 'bila' 'yang' 'menerima' 'satuan pengamanan' 'dia' 'menulis' 'nama' 'satuan pengamanan' 'diperumahan' 'kami' 'amanah' 'ini' 'siapa' 'yang' 'tidak' 'jujur' 'kurir' 'atau' 'seler' 'saya' 'sangat' 'kecewa' 'dan' 'marah' 'baru' 'kali' 'ini' 'saya' 'tertipu' 'belanja' 'dilazada',0
'kamu' 'won' 't' 'regret' 'if' 'kamu' 'buy' 'it' 'it' 's' 'durable' 'dan' 'sangat' 'easy' 'to' 'use' 'satisfied' 'dan' 'terima kasih' 'lazada',1
'lumayan' 'bagus' 'tv' 'nya',1
'i' 'suka' 'this' 'desain' 'so' 'convenien',1
'barang' 'tidak' 'sesuai' 'dengan' 'di' 'deskripsi' 'dan' 'yang' 'ada' 'di' 'gambar',0
'barang' 'sudah' 'diterima' 'dan' 'bekerja' 'dengan' 'baik' 'pengemasan' 'rapi' 'sesuai' 'dengan' 'harapan' 'pengiriman' 'juga' 'cepat' 'tapi' 'bonus' 'kurang' 'menarik' 'tapi' 'ngak' 'apalah' 'puas' 'deh' 'di',1
'mudah' 'mudahan' 'tanpa' 'kendala',0
'tv' 'bagus',1
'bagus',1
'barang' 'sudah' 'sampai' 'dan' 'bekerja' 'dengan' 'baik' 'terima kasih' 'lazada',1
'puas' 'sekali' 'dengan' 'barang' 'pengiriman' 'juga' 'cepat' 'sekali',1
'wah' 'super' 'cepat' 'Cuma' 'tiga' 'hari' 'sudah' 'di' 'gengaman' 'terima kasih' 'banyak' 'profesional',1
'penjual' 'ini' 'parah' 'pesanan' 'saya' 'dibatalkan' 'sepihak' 'pengembalian' 'dana' 'lama' 'sekali' 'saya' 'pesan' 'lima' 'buah' 'bayar di tempat' 'tidak' 'ada' 'masalah' 'ini' 'sudah' 'tidak' 'bisa' 'bayar di tempat' 'dibatalkan' 'lama' 'lagi' 'pengembalian' 'uang' 'saya',0
'tidak' 'memuaskan' 'suli' 'dicolokan' 'ke' 'laptop' 'ukuran' 'kecil' 'makasi',1
'terima' 'kasih' 'pengiriman' 'sangat' 'cepat' 'dan' 'barang' 'memuaskan' 'bagus' 'bngt' 'terima kasih' 'semoga' 'makin' 'jaya' 'lazada',1
'mudah' 'mudahan',1
'produk' 'sesuai' 'dengan' 'yang' 'saya' 'mau',1
'kabel' 'otg' 'tidak' 'dikirim' 'saya' 'kecewa',0
'sangat' 'cepat' 'pengiriman' 'pesan' 'terakhir' 'datang' 'paling' 'dahulu',1
'yang' 'produk' 'adalah' 'bagus' 'dan' 'terjangkau' 'nevertheles' 'terima kasih' 'lazada',1
'cara' 'cicil' 'gmna' 'iya' 'kak',0
'barang' 'tidak' 'bagus' 'kapasitas' 'tidak' 'sesuai',0
'barang' 'rusak' 'tidak' 'bisa' 'di' 'pakai',0
'kecil' 'dan' 'sangat' 'unik' 'dan' 'mini' 'sesuai' 'dengan' 'harapan',1
'tv' 'dmna' 'pak' 'saya' 'tertawa' 'menerima' 'surat' 'invoice' 'saja' 'tapi' 'barang' 'tidak' 'ada' 'mohon' 'untuk' 'ditindak' 'lanjuti',0
'pengemasan' 'rapi' 'dan' 'produk' 'memuaskan',1
'mantap' 'juragan',1
'belum' 'dicoba',1
'barang' 'bagus' 'sekali' 'pengiriman' 'cepat',1
'tidak' 'perlu' 'beli',0
'mantap',1
'ini' 'flasdisk' 'opo' 'flasdisk' 'kok' 'ora' 'iso' 'di' 'buka' 'isi' 'file' 'buang' 'buang' 'uang' 'ae',0
'bagus' 'dus' 'masih' 'segel' 'void',1
'barang' 'mantap' 'sesuai' 'harapan' 'dan' 'tidak' 'diragukan' 'lagi',1
'pelayanan' 'bagus' 'sih' 'Cuma' 'produk' 'yang' 'tidak' 'bagus',0
'mas' 'ini' 'flasdisk' 'sudah' 'sampai' 'tapi' 'dikirim' 'film' 'kok' 'filmya' 'tidak' 'bisa' 'diputar' 'video' 'yang' 'disimpan' 'di' 'folder' 'tiba' 'tiba' 'hilang' 'kenapa' 'iya' 'mas' 'bisa' 'beri' 'pe',1
'barang' 'untuk' 'sekelas' 'dari' 'harga' 'dan' 'merek' 'sudah' 'sangat' 'bagus',1
'cepat' 'respon' 'pengiriman' 'cepat' 'pengemasan' 'rapi' 'exceclent',1
'alhamdulilah' 'sesuai' 'gbrnya',1
'ofice' 'tertawa' 'fre' 'trail' 'reboting' 'sangat' 'lambat' 'dan' 'buka' 'aplikasi' 'bawan' 'lama' 'padahal' 'laptop' 'baru' 'saran' 'saja' 'biar' 'tidak' 'lambat' 'jangan' 'aktifin' 'cloud' 'box' 'atau' 'one' 'drive' 'atau' 'segala' 'tentang' 'back' 'up' 'aktivitas' 'windows' 'dan' 'program' 'auto' 'start' 'up' 'baik' 'dikurangin' 'lewat' 'msconfig' 'tidak' 'ketampil' 'semua' 'pakai' 'apa' 'cleaner' 'baru' 'bisa' 'klihatan' 'start' 'up' 'trnyata' 'banyak' 'biar' 'boting' 'tidak' 'lama' 'hasil' 'jadi' 'kerasa' 'beneran' 'laptop' 'baru' 'bonus' 'juga' 'dapat' 'tas' 'dan' 'stylus' 'backlight' 'keyboard' 'oke',1
'biarkan' 'bintang' 'yang' 'bicara',0
'semua' 'berjalan' 'terima kasih' 'lazada',1
'pengemasan' 'rapi' 'tapi' 'barang' 'agak' 'cacat' 'bagian' 'ujung' 'flashdisk' 'kebuka' 'semoga' 'saja' 'ini' 'awet',0
'produk' 'hgst' 'drive' 'inside' 'model' 'wdelapan' 'puluh' 'ezx' 'lima' 'ribu' 'empat' 'ratus' 'rpm' 'tiga' 'lima' 'drive' 'western' 'digital' 'bought' 'hgst' 'hitachi' 'global' 'storage' 'technologies' 'back' 'in' 'dua' 'ratus' 'satu' 'dua' 'ratus' 'satu' 'combining' 'yang' 'two' 'companies' 'technologies' 'together' 'kamu' 'get' 'everything' 'kamu' 'ned' 'inside' 'yang' 'box' 'yang' 'drive' 'tenaga' 'cable' 'dan' 'usb' 'yang' 'drive' 'comes' 'dengan' 'acronis' 'true' 'image' 'wd' 'edition' 'software' 'which' 'gives' 'kamu' 'ned' 'untuk' 'making' 'system' 'dan' 'file' 'backups' 'dengan' 'including' 'scheduled' 'maintenance' 'it' 'has' 'usbtiga' 'conection' 'which' 'adalah' 'compatible' 'dengan' 'usb' 'usb' 'seler' 'sangat' 'prompt' 'respon' 'shiped' 'lanjut' 'day' 'dengan' 'lazada' 'expres',1
'cocok' 'sekali',1
'suka' 'amat' 'model' 'halo' 'kity' 'bling' 'bling' 'bisa' 'dipakai' 'terima kasih',1
'barang' 'bagus' 'asli' 'pengemasan' 'aman' 'dan' 'rapi' 'walaupun' 'pengiriman' 'agak' 'lama' 'tapi' 'barang' 'sampai' 'dengan' 'selamat',1
'bagus' 'condition' 'cepat' 'pengiriman',1
'bekas' 'iya',0
'kamu' 'won' 't' 'regret' 'if' 'kamu' 'buy' 'it' 'it' 's' 'durable' 'terima kasih' 'lazada',1
'boleh' 'kredit' 'bang',1
'barang' 'sudah' 'di' 'rakit' 'tingal' 'cek' 'saja' 'sebelum' 'kali' 'saya' 'ucap' 'trimkasih',1
'so' 'far' 'so' 'bagus' 'enough' 'capacity' 'dan' 'working' 'bagus',1
'barang' 'telah' 'sampai' 'satu' 'tahun' 'yang' 'lalu' 'maf' 'baru' 'sempat' 'tulis' 'ulasan',1
'pengemasan' 'rapi' 'dan' 'aman' 'barang' 'seratus' 'persen' 'baru' 'apalagi' 'harga' 'benar' 'benar' 'murah' 'dibanding' 'dengan' 'yang' 'lain' 'apalagi' 'yang' 'ini' 'delapan' 'gb' 'ram' 'di' 'terima kasih' 'kotakom' 'dan' 'lazada',1
'saya' 'pesan' 'barang' 'ini' 'dengan' 'nomor' 'pesanan' 'tiga' 'ratus' 'empat' 'puluh' 'sembilan' 'juta' 'tiga' 'ratus' 'dua' 'puluh' 'dua' 'ribu' 'seratus' 'tujuh' 'puluh' 'empat' 'tiga' 'ratus' 'empat' 'puluh' 'sembilan' 'juta' 'tiga' 'ratus' 'dua' 'puluh' 'dua' 'ribu' 'seratus' 'tujuh' 'puluh' 'empat' 'yang' 'sampai' 'bahkan' 'ukuran' 'enam' 'belas' 'gb' 'mohon' 'dapat' 'diproses' 'lagi' 'untuk' 'pengantian',0
'hd' 'saya' 'jadi' 'rusak' 'karena' 'baru' 'sadar' 'pcb' 'hd' 'nempel' 'pada' 'logam' 'ini',0
'produk' 'mantap',1
'mantap' 'sesuai' 'ekspentasi',1
'terima kasih' 'barang' 'sudah' 'sampai' 'sehari' 'langsung' 'sampai' 'untuk' 'sesama' 'jakarta' 'kemasan' 'rapi' 'thankyou' 'buat' 'lazada' 'dan' 'kenkez',1
'produk' 'dikirim' 'sesuai' 'gambar' 'tapi' 'spesifikasi' 'agak' 'berbeda' 'awal' 'saya' 'kira' 'bisa' 'menangkap' 'sinyal' 'digital' 'ternyata' 'setelah' 'dipasang' 'antena' 'digital' 'tertawa' 'analog' 'chanel' 'yang' 'tertangkap' 'secara keseluruhan' 'four' 'stars' 'adalah' 'proper',1
'barang' 'sangat' 'bagus' 'dan' 'sangat' 'sederhana' 'saya' 'suka' 'sekali' 'recoment' 'tidak' 'usa' 'mikir' 'lagi' 'untuk' 'beli' 'ini' 'saja' 'ma' 'niatan' 'beli' 'lagi' 'but' 'cadangan',1
'karena' 'saya' 'tertawa' 'bantu' 'untuk' 'membelikan' 'bukan' 'dipakai' 'sendiri' 'saya' 'tidak' 'pu' 'pengalaman' 'terhadap' 'produk' 'tersebut' 'namun' 'saya' 'sedikit' 'melihat' 'secara' 'fisik' 'seharus' 'clima' 'puluh' 'lima' 'lumayan' 'lah' 'untuk' 'suplier' 'kliknklik' 'saya' 'sangat' 'puas' 'dalam' 'memberikan' 'informasi' 'sangat' 'jelas' 'dan' 'menangapi' 'dengan' 'cepat' 'terima' 'kasih' 'iya',1
'barang' 'datang' 'cepat' 'sesuai' 'permintan' 'pengemasan' 'rapi' 'pokok' 'recomendet' 'dan' 'puas',1
'barang' 'oke' 'tapi' 'proses' 'pengiriman' 'agak' 'lambat',0
'lucu' 'dan' 'bisa' 'berfungsi' 'dengan' 'baik' 'walaupun' 'agak' 'lama' 'sampai' 'saya' 'suka',1
'barang' 'oke' 'bagus',1
'bisa' 'tidak' 'saya' 'ambil' 'televisi' 'ini' 'di' 'ngan' 'di' 'kredit',1
'barang' 'sesuai',1
'barang' 'lumayan' 'berat' 'dan' 'bagus' 'sih' 'hanya' 'permata' 'hilang' 'satu',1
