review,aspect_category,polarity
admin suntik vaksin dosis tanggal tanggal teman sms suntik vaksin dosis kok belum admin mohon pencerahanya,anekdot/serbaneka,positif
bisa konsultasi kecil antisipasi rumah sangat bantu terima kasih sedia aplikasi,pelayanan,positif
bantu sekali aplikasi kemarin cari resep dokter putar putar apotek tidak ketemu aplikasi bantu sekali tidak perlu capai capai putar putar,pelayanan,positif
umur tidak uang konsultasi dokter konsultasi bayar solosi it tolong,anekdot/serbaneka,positif
aplikasi cukup bagus chat psikiatris lebih mudah daring dokter ramah tidak hakim sangat erti terima kasih,pelayanan,positif
terima kasih manfaat sekali aplikasi konsultasi dokter lebih mudah,anekdot/serbaneka,positif
bagus vaksin tidak masalah kendala efek samping hanya timbul ngantuk vaksin,anekdot/serbaneka,positif
cepat kirim kilat sekali harga obat obat sedikit beda apotek langsung bangga,pelayanan,positif
aplikasi jelek sekali pesan apotek obatny tidak suruh batal cancelnya masalah telepon layan bisa batalin hampir jam hanya batal batal saldo tidak kerja,pelayanan,negatif
bagus konsultasi dokter tidak perlu rumah sakit khawatir kena covid murah harga konsultasi,harga,positif
layan cepat aneh bayar tidak bisa pakai kartu kredit padahal kartu sedia available,sistem,negatif
tidak tahu aplikasi sering sekali lambat padahal coba uninstal banyak aplikasi telepon genggam tetap bahkan aplikasi berat telepon genggam jalan tidak bagus,sistem,negatif
dokter hebat hebat jelas fokus keluh derita terima kasih,pelayanan,positif
sangat efektif murah bagus bagus bagus bantu bantu bantu,harga,positif
bagus aplikasi sangat bantu tidak banyak dokter dokter bagus layan sehat sangat agam,pelayanan,positif
belum respon keluh tim layan respon ulas respon tim layan cepat,pelayanan,positif
sangat bantu sekali bisa konsultasi dokter langsung tanpa perlu repot rumah sakit faskes terima kasih,pelayanan,positif
betul telepon agen nomor rekening,anekdot/serbaneka,positif
bintang kode voucher vaksinasi kasih bintang lama,pelayanan,negatif
bagus dokter responsif lumayan bagus ajak diskusi logis analisis gugup gugup dokter ketemu senang sekali,pelayanan,positif
lebih bagus tidak perlu antre sakit chat langsung balas obat terima kasih bantu,pelayanan,positif
puas sekali konsultasi pandemi seperti dokter ramah,pelayanan,positif
muas balas cepat banyak pilih dokter resep obat tidak mahal semoga cocok,harga,positif
selamat sore admin aplikasi tidak kerjasama medicilin mohon admin terima kasih,anekdot/serbaneka,positif
sangat bantu darurat langsung tahu tindak dokter ramah terima kasih,anekdot/serbaneka,positif
konsultasi putri farisa konsultasi selesai resep obat terima kasih,pelayanan,positif
suka sekali menu konsultasi dokter mudah bisa cari informasi sehat tubuh,pelayanan,positif
aplikasi sangat bantu bantu dokter ramah ramah profesional sukses selalu,pelayanan,positif
sangat bantu posisi kota kondisi badan kurang fit susah cari dokter butuh obat sesuai dosis bantu sekali aplikasi sangat terima kasih bagus,anekdot/serbaneka,positif
sangat bantu bantu tidak bisa dokter bisa konsultasi,pelayanan,positif
coba gomed cukup cepat respon kirim biasa tingkat,pelayanan,positif
bagus konsultasi psikologi sedikit lebih baik,anekdot/serbaneka,positif
dokter bagus jasa detail saran sara obat resep bagus,pelayanan,positif
pelayananya baik konsultasi bagus puas sekali terima kasih dokter iman terima kasih,pelayanan,positif
bantu sekali aplikasi lelah keluar rumah bisa bantu hanya aplikasi bagus,anekdot/serbaneka,positif
tangap lambat etik keluh sokternya chat tidak masuk pakai pangilan suara tidak suara baik pakai bayar bukan gratis,pelayanan,negatif
cangih bisa obat keren sekali cobain gratis bayar,anekdot/serbaneka,positif
kendala boking tes swab antigen klinik tutup operasial boking tes swab antigen tim cukup cepat responya telepon konfirmasi kembali dana masukanya kordinasi klinik rumah sakit rekan lebih tingkat sisa bagus terima kasih,pelayanan,positif
pakai langsung puas semoga layananya bisa konsisten prima selalu percaya terimakasih,anekdot/serbaneka,positif
layan bagus hanya masalah bayar mengunanakan debit kartu kendala opsi bayar,pelayanan,positif
dengar aplikasi bagus instal masuk apknya bahkan tidak ngerespon,sistem,negatif
lumayan lengkap layan cepat aplikasi sangat mudah sangat bantu sekali,sistem,positif
terima kasih kasih silfia mandasari respon cepat arah resep bantu bagus,pelayanan,positif
bagus sangat baik respon cepat akurat sukses,pelayanan,positif
sangat mudah hanya rumah sakit bisa obat,pelayanan,positif
layan dokter ramah baik cepat balas sangat kes,pelayanan,positif
sangat bantu situasi kondisi seperti sukses bagus,anekdot/serbaneka,positif
pesan obat bayar batal bayar obat ratus ribu,pelayanan,negatif
cara kembali dana uang telepon customer servicenya tidak bisa,pelayanan,negatif
konsultasi baik bagus konsultasi servicenya parah respon chat luama sekali wktu menit habis hanya saran klinik langsung bahkan curah hati kucing konsultasi cari solusi kucing bukan aneh aneh bahasa tidak sopan tidak mangil saudara tolong seleksi rekrut dokter jelek layan jelek,pelayanan,negatif
layan alami kendala tidak telepon chat tim tolong,anekdot/serbaneka,positif
selesai bayar sukses potong saldo dokter bahkan sibuk kembali dana butuh hitung kok belum masuk konfirmasi bank kait aduh otomatis dana kembali masuk rekening konfirmasi bank sulit tolong mudah kembali dana tidak orang rumah bank bantu,sistem,negatif
sederhana aplikasi butuh medis pesa mudah cepat,anekdot/serbaneka,positif
kecewa daftar vaksin usia tolak alas mesti pakai ktp padahal suket domisili besar vaksinasi bisa suket domisili nama vaksin gratis bisa asal warga negara indonesia semoga ulas tidak hapus admin,pelayanan,negatif
terima kasih kerja gojek vaksinasi prambanan sangat bagus sekali pelayananya suntik,pelayanan,positif
profesional sekali tidak sangat sangat bantu,anekdot/serbaneka,positif
bagus seperti konsultasi dokter tatap muka,pelayanan,positif
konsultasi puas dokter sangat bantu bantu,pelayanan,positif
sangat manfaat utama cepat respon bagus,anekdot/serbaneka,positif
sangat sangat bantu konsultasi informasi kait sehat,pelayanan,positif
dokter anak cepat respon aplikasi sangat bantu kondisi seperti,pelayanan,positif
aplikasi sangat bantu darurat terima kasih menunggu promo tarik,pelayanan,positif
bagus sangat mudah konsultasi dokter spesialis,pelayanan,positif
aplikasi dokter seperti keluarga sahabat bisa jangkau tidak jarak sekali aplikasi sakit seperti curi jangan panik pasti saldo gopay cukup sederhana hub dokter informasi benar keluhanya bisa bantu obat tunggu obat segera kirim instant beli gojek sunguh terobos sangat manfaat utama era pandemi sangat jarak dokter sukses bagus suka,anekdot/serbaneka,positif
dokter ngelewatin chat tidak terima sekali aju saldo ambil uang ambil konsultasi tidak sekali tolong customer servicenya tidak keluh amat rugi tahu tidak jelas kecewa sekali,pelayanan,negatif
kemarin tepat kamis tanggal maret jam wita telepon mengatasnamakan customer servis dokter informasi beberapa fitur suruh aktivasi biaya paket rp auto debit bank informasi email aktif daftar percaya tuju tidak informasi email email dana potong,anekdot/serbaneka,negatif
sangat bantu konsultasi rumah kondisi covid,pelayanan,positif
parah vaksin usia dosis parah sekali menunggu jam hanya antre hanya vaksin lancar habis tidak jelas buruk sekali kasi orgtua vaksin lebih baik aplikasi belah,pelayanan,positif
dokter luamayan sangat alam fitur fiturnya bantu sekali,pelayanan,positif
terima kasih sekali bagus bantu sekali selalu panik keluh senang bantu,anekdot/serbaneka,positif
instal bisa daftarin vaksin usia tangalnya tulis slot sedia isi data upload ktp gilir submit penuh tulis auto recheck sedia slotnya resubmit bahkan penuh tidak jelas sekali segera baik,sistem,negatif
sangat bantu utama beli obat kota,pelayanan,positif
sangat bantu mudah pasien keluarga layan sehat,pelayanan,positif
konsultasi muas sangat rekomendasi seperti tidak keluar rumah kurang mobilitas semoga dokter dokter bisa tetap sehat bisa tetap bantu layan banyak keluh pasien butuh sangat rekomendasi,pelayanan,positif
kasih bintang semoga aplikasi bisa layan lebih baik,pelayanan,positif
sangat bantu sekali dokter bagus cepat responya,pelayanan,positif
puas layan lapang kait vaksin terima lancar cepat tugas ramah sabar penuh perhati terima kasih salam sehat bantu bantu bantu bantu,pelayanan,positif
tolong kasih tahu cara bisa chat dokter ny ny bayar ny tidak bisa bisa,pelayanan,negatif
kerja konsultasi dokter sangat hemat terimakasih,pelayanan,positif
baik situasi jam bisa selalu konsultasi,pelayanan,positif
senang bisa langsung konsultasi dokter tanpa keluar rumah,pelayanan,positif
janji sesuai jadwal sedia lab prodia mega galaxy sby maret jam pagi prodia tutup hanya jadwal sedia aplikasi orang kecele chat bantu lambat respon jam belum solusi sms membatalkanatau mereschedul coba aplikasi tidak bisa aplikasi batal hanya laku jam jadwal konsultasi reshedule jam jadwal konsultasi ampun ampun,pelayanan,negatif
semoga bisa bantu pasien konsultasi rumah terima kasih,pelayanan,positif
pesan obat layan cepat respon langsung kirim sekali darurat,pelayanan,positif
suka sekali aplikasi sangat bantu pelayananya bagus case kurang kirim barang kekuranganya langsung kirim sok sukses makin tingkat pelayananya,pelayanan,positif
tolong sekali tolong kucing sangat bantu bagus bagus bagus,pelayanan,positif
dokter ramah baik layan bijaksna terima kasih,pelayanan,positif
terima kasih vaksin covid tidak efek signifikan,anekdot/serbaneka,positif
bagus bantu urus sehat jam,pelayanan,positif
bagus pakai aplikasi cari obat harga jangkau bisa,harga,positif
keren sekali cepat respon konsultasi dokter kandung,pelayanan,positif
bisa kasih lebih bintang pasti kasih aplikasi baik beli butuh medis darurat tidak keluar rumah sangat bagus sekali masukanya hanya semoga banyak apotek kerja aplikasi jarak ambil obat tidak selalu jauh bagus,pelayanan,positif
puas konsultasi dokter hanya papua seperti susah nebus obat hanya nunjukin chat bahkan hampir tidak obat untung tanda tangan,pelayanan,negatif
niat instal aplikasi pgnya mudah beli obat kondisi sakit kos beli estimasi nyampenya aplikasi tidak cocok kondisi darurat beli obat orang sakit parah lanjur wasalam obat edit ulas aplikasi baik sistem,sistem,negatif
selamat siang salam telepon nama biaya klaim aktif biaya nomor rek sistem potong ribu mohon konfirmasi benar takut saldo tepotong bulanya terima kasih,anekdot/serbaneka,positif
sangat bantu pandemi seperti terima kasih,anekdot/serbaneka,positif
sekali konsultasi betul dokter nyaman keluh foto langsung area sakit dokter sangat detail semoga resep cocok keluh terima kasih dokter,pelayanan,positif
praktis bagus dokter keluh terima kasih,pelayanan,positif
terima kasih aplikasi percaya chat langsung dokter bagus,pelayanan,positif
coba kaji vaksin mitra ojol sejati banyak mitra pakai aplikasi ojol cari rezeki gojek grab indriver maxim aplikasi wajib vaksin mitra repot perlu batalin kerja vaksin biar mitra vaksin aparatur perintah,anekdot/serbaneka,negatif
dokter anak bayi usia anak rawat rumah sakit hasil rongsen idap sakit radang paru tolong dokter anak sembuh total sakit terima kasih bantu bantu bantu,anekdot/serbaneka,positif
respon sangat baik dokter terima kasih banyak,pelayanan,positif
aplikasi sangat sekali terima kasih giat vaksin serentak prambanan sleman terima kasih perintah diy yogyakarta sponsor giat semoga giat pahala limpah tuhan maha esa terima kasih sekali baik regard beny,pelayanan,positif
posisi ambil obat selalu jauh rumah tunggu lama,pelayanan,negatif
janji buka tepat jam dokter tidak balas balas apsnya batal padahal tulisanya aplikasi daring sangat kecewa unduh memang butuh seperti bahkan tidak donasi menu donasi bahkan tidak pilih bayar saldo kecil pelayananya tidak banding aplikasi belah,pelayanan,negatif
klg periksa pacar hasil periksa tanggal maret jam drive thru mayor tanggal maret jam belum hslnya waduh butuh hslnya cepat kok lama layan pemeriksan covid turun periksa bukan gratis,pelayanan,negatif
alam bagus sekali bisa konsultasi dokter pilih,pelayanan,positif
mohon maaf kasih bintang jelek sekali pelayananya pesan vitamin tangal estimasi tangal belum proses tolong layan telepon tidak bisa chat cek cek entah cek batal pesan beli pasar saldo tidak bisa tarik rekening tolong tingkat pelayananya tolong segera kirim pesan,pelayanan,negatif
selalu sangat bantu terima kasih dokter ny aplikasi ny bantu bantu,pelayanan,positif
mudah konsultasi dokter tanpa temu langsung,pelayanan,positif
konsultasi keluh mudah tidak perlu sulit antre rumah sakit,pelayanan,positif
tidak dokter gratis padahal penting sekali,pelayanan,negatif
tolong sekali aplikasi zaman covid agak takut rumah sakit bahkan bisa konsultasi hewan peliharan konsultasi gigi tolong sekali terima kasih,pelayanan,positif
jelas dokter lengkap ramah terima kasih,pelayanan,positif
selalu baik selalu bisa andal suka,anekdot/serbaneka,positif
malam malam sakit binggung siap keluh obat langsung hanya kendala kirim kadang driver tidak bisa kontak langsung tepo,pelayanan,negatif
jelas daring pilih tepat aman,pelayanan,positif
cukup bantu transaksi biaya lebih mudah,harga,negatif
cakap dokter sangat jelas arahanya bagus,pelayanan,positif
vaksin tanggal maret daftar vaksin tidak bisa kode kupon belum kirim urus terima kasih,anekdot/serbaneka,positif
sangat bantu bisa konsultasi langsung tanpa dokter,pelayanan,positif
bagus dokter tidak susah tidak mahal bagus bagus bagus bagus,harga,positif
bayar dokter sibuk chat ulang tidak gubris belum nyapa bilang dokter sibuk padahal gopay potong kembali dana terlalu lama mohon dibanding dokter tidak gubris lebih baik lapor sibuk coba berani daftar risiko nerima permintan konsultasi pasien jangan diemin binggung kembali dana lebih fleksibel jam respon sesi bayar hak pasien jangan makan gaji buta chat diam diam baik,pelayanan,negatif
tepat tangal maret saldo anjung tunai mandiri ambil program adakan kemarin telepon mengatasnamakan layan rugi henti cara henti langgan,pelayanan,negatif
transaksi gagal saldo tetap potong lihat riwayat transaksi tidak,sistem,negatif
layan proses cepat catat pasien status gejala covid dokter kasih himbauan asih pil tidur sesuai dosis perlu orsng sakit butuh istirahat cukup,pelayanan,positif
beli obat layan dokter bagus ganguan cukup besar tidak bisa ganti nomor nomor ganti tidak bisa pakai email lama riwayat transaksi hilang hanya masalah aplikasi,pelayanan,negatif
selalu senang aplikasi cepat respon obat bisa langsung resep layan jam sering dokter baik informatif terima kasih,pelayanan,positif
pembayaranya tidak luas hanya gopay bca mandiri debit tidak tahu maksud ragu cobain apknya dokter langsung jauh pandemi bisa pembayaranya indomaret alfamart kota akses memang mudah desa susah inti tingkat mohon,sistem,negatif
sangat bantu utama usia biaya kesehatanya batas,anekdot/serbaneka,positif
seperti konsultasi dokter hanya tepat line sangat mudah sekali banyak pilih dokter kisar biaya bisa sesuai terima kasih,pelayanan,positif
aplikasi cukup bantu bisa kalang luas batas milenial konsultasi tipis tipis saran muculkan saldo profile milik akun mudah cara isi saldo bank aplikasi bayar bayar lai,sistem,positif
sangat bantu sekali pandemi seperti,anekdot/serbaneka,positif
sangat manfaat orang butuh bantu cepat,anekdot/serbaneka,positif
sangat cangih bisa langsung konsultasi dokter ahli tanpa rumah sakit respon cepat dokter sangat bantu memang butuh layan sehat,pelayanan,positif
janji rapid tutup,anekdot/serbaneka,negatif
aplikasi ambil antre daring tidak bisa aplikasi terintegras hasil cek upaya hanya lapor lapor lapor lapor sehat tanpa sulit expetasi tuju utama hanya boh fair slogan customer tetap klinik bolak hasil test keluar belum pakai daring,pelayanan,negatif
semenjak bantu sekali bisa konsultasi beli obat rumah tanpa antre rumah sakit apotek lebih bagus diskon sesi konsultasi dokter makas mudah hidup semoga makin banyak promo sukses selalu bagus,pelayanan,positif
alami kesal apsnya daftar vaksinasi usia hubung usia janji tangal vaksinasi lama batal,pelayanan,negatif
aplikasi jelek sekali aktivasi bahkan lambat tidak bisa klik,sistem,negatif
puas bagus ulasanya cocok ramah cocok obat,pelayanan,positif
terima kasih konsultasi sangat bantu,pelayanan,positif
layan sangat mudah obat keliling apotek tidak terlalu lengkap solusi baik lengkap obat terima kasih,pelayanan,positif
sangat bantu pesan obat lama sekali padahal darurat segera butuh belum sedih tidak histori jalan paket obat kaya tunggu tidak pasti sampenya terima kasih tim cepat respon jelas senang bantu,pelayanan,negatif
sangat manfaat anak sakit malam tidak perlu rumah sakit hanya chat dokter aplikasi smuanya beres pandemi terima kasih bantuanya dokter terima kasih aplikasi,anekdot/serbaneka,positif
bagus cepat konsultasi terima kasih,pelayanan,positif
dokter kamar pisah pakai isolasi mandiri angota keluarga kena covid sembuh kamar steril pakai masuk kamar,anekdot/serbaneka,positif
aplikasi tidak bisa buka,sistem,negatif
aplikasi manfaat utama beli obat,pelayanan,positif
dokter bagus informasi jelas sangat tolong,pelayanan,positif
senang obat konsultasi doktet shanti tandayu internist ramah sangat jelas tidak tele obat arah bagus isk baik terima kasih sangat manfaat bagus bagus bagus bagus bagus,pelayanan,positif
driver gojek kemarin pesan vaksin covid bawa orang usia bisa vaksin tanpa bawa orang usia,anekdot/serbaneka,positif
aplikasi sangat bantu pandemi covid tidak perlu keluar rumah tingal aplikasi terima kasih tingkat kualitas,anekdot/serbaneka,positif
janji dokter vaksin manula drive thru lebih mudah terima kasih,pelayanan,positif
selalu partisipasi penangulangan covid,anekdot/serbaneka,positif
sangat bantu muas informasi layan,pelayanan,positif
kasih bintang kendala bayar gopay selesai masalah tim sangat cepat sangat bantu terima kasih tim bagus,sistem,positif
sangat untung aplikasi tidak perlu antre antre rumah sakit klinik obat obat rekomendasi benar benar manjur,pelayanan,positif
vaksin belum keluar sertifikat vaksinya admin,anekdot/serbaneka,positif
aplikasi bagus layan konsultasi cepat respon apotek cepat,pelayanan,positif
pesan obat fitur chatnya tolong jangan alih fitur sms butuh pulsa bisa alih fitur gojek fitur chat aplikasi bisa konfirmasi driver tanpa pakai pulsa,sistem,negatif
dokter ramah diskusi bagus lancar salut tidak sangka bagus sekali tidak jam obat,pelayanan,positif
asli parah aplikasi niat cepat urus rapid antigen bahkan kendala aplikasi sia sia harap harap berangkat kerja bahkan tidak parah dana belum kembali,pelayanan,negatif
aplikasi utama konsultasi dokter sangat manfaat sekali kondisi seperti benar benar jelas keluhanya tidak salah diagnosis,pelayanan,positif
cepat tepat hemat efisien janji vaksinasi covid usia aplikasi sangat bantu tingal janji vaksinasi sukses selalu amanah bagus bantu bantu,pelayanan,positif
terima kasih pandemi paling aman kesini selalu konsultasi dokter senior langgan terima kasih banyak,pelayanan,positif
bagus hanya kadang obat tidak sedia apotek pesan daring semoga lebih baik,pelayanan,negatif
sumpah chat dokter pakai bayar enga aplikasi tidak bantu orang susah konsultasi bayar kecuali beli obat periksa bagus hanya chat bayar tidak bantu,pelayanan,negatif
sangat manfaat sekali aplikasi,anekdot/serbaneka,positif
aplikasi tidak jalan tidak respon sebal,sistem,negatif
konsultasi muas tanpa pergi apotek terima kasi aplikasi semoga bisa banyak manfat,pelayanan,positif
bagus sekali aplikasi respon dokter baik,pelayanan,positif
terima kasih benar benar bantu darurat seperti panjang libur terima kasih dokter stand beli libur chat asik ramah informasi akurat sekali,pelayanan,positif
informasi mudah,pelayanan,positif
aplikasi bayar tidak tahu aplikasi bagus tidak tidak terlalu cobain lihat download bagus download bayar langsung kecewa tolong kembang biar aplikasi tidak bayar bisa gratis seperti aplikasi belah kasih bintang fitur dokter gratis kasih bintang,anekdot/serbaneka,negatif
bantu apan lama tidak jelas sulit bayar sulit aplikasi tidak sumpah tidak hack aplikasi sumpah janji rapid sulit,pelayanan,negatif
aplikasi sangat efisien bisa pesan obat tanpa keluar cari apotek sedia obat suka suka aplikasi kembang,pelayanan,positif
sangat bantu layan ramah bagus dokter,pelayanan,positif
puas dokter dokter baik ramah ramah diaknosa obat bagus cocok semoga dokter sehat selalu amin,pelayanan,positif
kirim ramah sesuai pasti benar mesa salut drivernya,pelayanan,positif
sangat bantu sekali pandemi seperti bisa konsultasi bahkan obat tanpa perlu keluar rumah serasa dokter pribadi,pelayanan,positif
asalamualaikum maaf habis unduh aplikasi playstore buka aplikasi masuk aplikasi klik chat dokter lihat situ pilih dokter chat konsultasi sehat sekali konsultasi sehat dokter aplikasi bayar chat konsultasi dokter chat,anekdot/serbaneka,positif
solusi praktis biaya murah dokter responsif,harga,positif
daring sesi tidak konsultasi beli teks telepon buang buang uang bayar tidak konsultasi,harga,negatif
wah uang terima status tes antigenya tidak konfirmasi konfirmasi nerima uang tidak layan customer responya sangat lama padahal lancar lancar kecewa berat,pelayanan,negatif
aplikasi sangat bantu sekali keluarga beli obat obat vitamin tes pacar pandemi bagus,pelayanan,positif
aplikasi memang bagus scheduling dokter tanpa antre rumah sakit hanya layan kecewa hasil tes informasi sms selesai tidak hasil tes hardcopy tidak softcopy ambil tes media chat layan responya lambat tidak respon menit putus jalur komunikasi ulang sementara respon sangat lambat layan tidak bisa konfirmasi konfirmasi kait tidak sla sisi responsif,pelayanan,negatif
dokter responsif sekali sangat nyaman konsultasi terima kasih,pelayanan,positif
sangat bantu sulit keluar rumah,anekdot/serbaneka,positif
keren sekali aplikasi bisa bantu darurat terima kasih feny sangat ramah konsultasi resep sangat cocok,pelayanan,positif
iwan setiawan ag salah driver gojek bandar lampung konfirmasi pemesanan apotek jesaya farma pemesanan ambil obat harap tunggu barang siap obat pesan tidak sedia sementara aplikasi gojek jalan pesan gojek barang siap driver tingal bawa barang tidak tetap jalan pemesanan dasar konfirmasi pelang apotek,anekdot/serbaneka,negatif
niat make aplikasi cepat rumah apotek jauh sekali padahal apotek bumn swasta diskitar mungkin bisa fitur ngebuat pembeliatau driver milih apotek pakai manual nahan sakit lebih lama padahal posisi kota,pelayanan,negatif
chat bayar lebih baik pakai bagus google gratis,pelayanan,negatif
sementara aplikasi sangat bantu hanya metode pembayaranya perlu tambahin besar harga bahkan lebih baik tingkat sukses terima kasih,pelayanan,negatif
sangat bagus puas tugas ramah paham bidang milik kustomer layan ramah kustomer puas upgrade bidang dokter medicine informasi virus corona virus lai vaksin umur servis drivethru mudah aju sertifikat hasil harga jangkau,anekdot/serbaneka,positif
terima kasih sangat membntu sekali era pandemi tidak sulit rumah sakit konsultasi diam rumah tingal chat dokter ramah responsif suka,pelayanan,positif
sangat bantu pademi seperti,anekdot/serbaneka,positif
sangat bantu konsultasi masalah sehat,pelayanan,positif
selamat malam mohon maaf bayar konsultasi salah dokter belum aplikasi terima kasih,pelayanan,positif
cari obat lebih mudah pelayananya cepat,pelayanan,positif
dokter sabar jelas akurat baik terima kasih dokter jangan bosen dokter sehat bantu bantu,pelayanan,positif
aplikasi sangat bantu anak anak keluarga sehat tanpa berangkat klinik langsung terima kasih bagus,anekdot/serbaneka,positif
uang kembali dana juta batal pacar kok belum kirim tangal februari februari status proses,pelayanan,negatif
bantu sekali musim pandemi,anekdot/serbaneka,negatif
bagus dokter ramah puas keluh kesah biaya murah bisa rumah sangat mudah diksi resep kasi jelas detail bayar konsultasi diskon wah wah terima kasih sangat lebih,pelayanan,positif
aplikasi sangat bantu pandemi seperti dokter dokter bagus obat obat tepat efektif apalagisuka diskon besar konsultasi,anekdot/serbaneka,positif
sangat bantu pandemi seperti,anekdot/serbaneka,positif
bagus sangat bantu keluarga bagus hasiat obat obat kasih bagus bagus,pelayanan,positif
aplikasi sangat bantu harga konsultasi sahabat dokter ramah,pelayanan,positif
dokter ramah responya cepat rekomendasi sekali bagus syukur bisa tidak perlu repot repot rumah sakit obat bisa langsung kirim bagus bagus bagus,pelayanan,positif
sangat bagus bantu sekali respon dokter cepat tidak perlu rumah sakit bisa hanya konsultasi obat kirim rumah terima kasih,pelayanan,positif
benar benar sangat bantu pandemi seperti tidak rumah beli obat anak sakit tidak bisa suruh bagus terima kasih aplikasi benar benar sangat bantu bagus bagus bantu,anekdot/serbaneka,positif
sangat bantu konsultasi sehat,pelayanan,positif
mungkin pakai aplikasi agak agak binggung konsultasi cukup baik ramah jelas terima kasih,pelayanan,positif
senang aplikasi seperti bisa mudah tetap sehat bisa konsultasi daring kondisi pandemi,pelayanan,positif
cukup baik sehat konsultasi dokter dokter ramah ramah cukup baik,pelayanan,positif
anjur kasih obat saran sangat,pelayanan,positif
terima kasih mas amirul cepat respon surat bagus kerja man bagus bagus sulit aktif lokasi tidak bisa login tolong bantu senoari,sistem,negatif
