review,sentiment
"konsultasi,putri,farisa,konsultasi,selesai,resep,obat,terima,kasih",1
"suka,menu,konsultasi,dokternya,memudahkan,mencari,informasi,kesehatan,tubuh",1
"aplikasi,membantubantudokternya,ramah,ramah,profesional,sukses",1
"membantu,posisi,di,luar,kota,kondisi,badan,fit,susah,cari,dokter,butuh,obat,sesuai,dosis,terbantu,aplikasi,terimakasih,bagus",1
"membantu,terbantu,dokter,konsultasi",1
"coba,gomed,cepat,respon,pengiriman,tingkatkan",1
"bagus,konsultasi,psikologi,baik",1
"dokternya,bagus,penjelasanya,detail,saran,saranya,obat,resep,bagus",1
"pelayananya,baik,konsultasi,bagus,puas,terima,kasih,dokter,iman,terima,kasih",1
"membantu,aplikasi,lelah,rumah,dibantu,aplikasi,bagus",1
"tangapan,lambat,mengetik,keluhan,sokternya,chat,masuk,pakai,pangilan,suara,suaranya,perbaiki,pemakaian,berbayar,gratis",0
"cangih,berobat,di,mana,keren,cobain,gratis,bayar",1
"kendala,boking,tes,swab,antigen,kliniknya,tutup,operasial,di,mana,boking,tes,swab,antigen,tim,cepat,responya,menelpon,konfirmasi,pengembalian,dana,masukanya,kordinasi,klinik,rumah,sakit,rekanan,ditingkatkan,sisanya,bagus,terima,kasih",1
"pakai,langsung,merasakan,puasnya,semoga,layananya,konsisten,prima,menambah,kepercayanya,thanks",1
"pelayanan,pembayaran,mengunanakan,debit,kartu,kendala,opsi,pembayaran",1
"dengar,aplikasi,bagus,instal,masuk,apknya,ngerespon",0
"lumayan,lengkap,pelayanan,cepat,aplikasinya,mudah,membantu",1
"terima,kasih,kasih,silfia,mandasari,respon,cepat,arahan,resep,bantubagus",1
"bagus,baik,respon,cepat,akurat,sukses",1
"kemudahan,rumah,sakit,obati",1
"pelayanan,dokternya,ramah,baik,cepat,balasnya,terkesan",1
"terbantu,situasi,dan,kondisi,sukses,bagus",1
"pesan,obat,dibayar,dibatalkan,bayar,obatnya,ratusan,ribu",0
"pengembalian,dana,uangnya,telepon,customer,servicenya",0
"konsultasi,baik,bagus,konsultasi,servicenya,parah,respon,chat,luama,wktu,menit,habis,menyarankan,klinik,langsung,curahan,hati,kucing,konsultasi,mencari,solusi,kucing,aneh,aneh,bahasanya,sopan,mangil,saudara,tolong,seleksi,rekrut,dokter,jelek,pelayanan,jelek",0
"pelayanan,mengalami,kendala,menelpon,chat,tim,tolong",1
"selesai,pembayaran,sukses,terpotong,saldo,dokternya,sibuk,pengembalian,dana,butuh,terhitung,masuk,konfirmasi,bank,terkait,aduh,otomatis,dana,dikembalikan,masuk,rekening,konfirmasi,bank,sulit,tolong,permudah,pengembalian,dana,orang,rumahnya,bankbantu",0
"sederhana,aplikasi,kebutuhan,medis,pesanya,mudah,sampainya,cepat",1
"kecewa,daftar,vaksin,lanjut,usia,ditolak,alasan,mesti,pakai,ktp,suket,domisili,vaksinasi,suket,domisili,namanya,vaksin,gratis,warga,negara,indonesia,semoga,ulasan,dihapus,admin",0
"terima,kasih,gojek,vaksinasi,prambanan,bagus,pelayananya,menyuntik",1
"profesional,terbantu",1
"bagus,konsultasi,dokter,tatap,muka",1
"konsultasi,puas,dokter,membantu,bantu",1
"bermanfaat,cepat,respon,jempolan",1
"membantu,konsultasi,informasi,terkait,kesehatan",1
"dokter,anaknya,cepat,respon,aplikasinya,membantu,kondisi",1
"aplikasi,membantu,darurat,terimakasih,ditungu,promo,menarik",1
"bagus,memudahkan,konsultasi,dokter,spesialis",1
"aplikasi,dokter,keluarga,sahabat,dijangkau,berjarak,aplikasi,sakit,pencuri,panik,pastikan,saldo,gopay,sederhana,hub,dokter,infokan,keluhanya,dibantu,obati,menunggu,obat,dikirim,instant,beli,gojek,sunguh,terobosan,bermanfaat,era,pandemi,berjarak,mendekat,dokter,sukses,bagus",1
"dokter,ngelewatin,chat,gitu,terima,ajuan,saldo,diambil,uang,diambil,konsultasi,tolong,customer,servicenya,keluhan,rugi,jelas,mengecewakan",0
"kemarin,tepatnya,kamis,tanggal,maret,jam,wita,telepon,mengatasnamakan,call,servis,dokter,menginfokan,fitur,menyuruh,aktivasi,biaya,paket,bulanan,rp,auto,debit,bank,infokan,email,aktif,terdaftar,percaya,menyetujuinya,informasi,email,email,dana,terpotong",0
"membantu,konsultasi,rumah,kondisi,covid",1
"parah,vaksin,lanjut,usia,dosis,parah,nunggu,jam,antre,heranya,vaksin,lancar,habis,jelas,buruk,kasian,orgtua,vaksin,lebih,baik,aplikasi,sebelah",0
"dokternya,luamayan,berpengalaman,fitur,fiturnya,membantu",1
"terimakasih,bagus,panik,keluhan,bantu",1
"instal,daftarin,vaksin,lanjut,usia,tangalnya,bertuliskan,slot,tersedia,isi,data,upload,ktp,giliran,submit,penuh,tulisnya,auto,recheck,tersedia,slotnya,resubmit,penuh,jelas,perbaiki",0
"membantu,pembelian,obat,kota",1
"membantu,memudahkan,pasien,keluarga,pelayanan,kesehatan",1
"konsultasi,memuaskan,direkomendasikan,rumah,mengurangi,mobilitas,semoga,dokter,dokter,sehat,membantu,melayani,keluhan,pasien,membutuhkan,direkomendasikan",1
"kasih,bintang,semoga,aplikasi,pelayanan,baik",1
"membantu,dokternya,bagus,cepat,responya",1
"puas,pelayanan,dilapangan,terkait,vaksin,terima,lancar,cepat,petugasnya,ramah,sabar,penuh,perhatian,terima,kasih,salam,sehat,bantu",1
"tolong,kasih,chat,dokter,ny,ny,pembayaran,ny",1
"konsultasi,dokter,menghemat,thanks",1
"terbaik,situasi,apapun,jam,konsultasi",1
"menyenangkan,langsung,konsultasi,dokter,rumah",1
"janji,sesuai,jadwal,tersedia,lab,prodia,mega,galaxy,sby,maret,jam,pagi,prodia,tutup,heranya,jadwal,tersedia,aplikasi,orang,kecele,chat,bantuan,lambat,respon,jam,solusi,sms,membatalkanatau,mereschedul,coba,aplikasi,aplikasi,pembatalan,berlaku,jam,jadwal,konsultasi,reshedule,jam,jadwal,konsultasi,ampun,ampun",0
"semoga,membantu,pasien,konsultasi,rumah,terima,kasih",1
"pesan,obat,pelayanan,cepat,respon,langsung,dikirim,darurat",1
"suka,aplikasi,membantu,pelayananya,bagus,case,kirim,barang,kekuranganya,langsung,kirim,kesokan,harinya,sukses,ditingkatkan,pelayananya",1
"menolong,pertolongan,kucing,membantu,bagus",1
"dokter,ramah,baik,melayani,bijaksna,terima,kasih",1
"terima,kasih,vaksin,covid,efek,signifikan",1
"bagus,membantu,urusan,kesehatan,jam",1
"bagus,dipakai,aplikasinya,cari,obat,harga,terjangkau",1
"keren,cepat,respon,konsultasi,dokter,kandungan",1
"kasih,bintang,kasih,aplikasi,terbaik,pembelian,kebutuhan,medis,darurat,rumah,bagus,masukanya,semoga,apotek,aplikasi,jarak,ambil,obatnya,bagus",1
"puas,konsultasi,dokter,papua,susah,nebus,obat,nunjukin,chat,obatnya,untung,tanda,tangan",1
"niat,instal,aplikasi,pgnya,mempermudah,beli,obat,kondisi,sakit,kos,beli,estimasi,nyampenya,aplikasi,cocok,kondisi,darurat,beli,obat,orang,sakit,parah,terlanjur,wasalam,obatnya,mengedit,ulasan,aplikasi,diperbaiki,sistemnya",0
"selamat,siang,salam,telepon,mengatas,namakan,biaya,klaim,pengaktifan,biaya,bulanan,menyebut,nomor,rek,sistem,pemotongan,ribu,mohon,konfirmasi,takutnya,saldo,tepotong,bulanya,terima,kasih",0
"membantu,pandemi,terimakasih",1
"konsultasi,dokternya,nyaman,keluhan,foto,langsung,area,sakitnya,dokter,detail,semoga,resepnya,cocok,mengatasi,keluhan,terima,kasih,dokter",1
"praktis,bagus,dokternya,keluhan,terima,kasih",1
"terima,kasih,aplikasi,terpercaya,chat,langsung,bagus",1
"coba,kaji,vaksin,mitra,ojol,sejatinya,mitra,pakai,aplikasi,ojol,mencari,rezeki,gojek,grab,indriver,maxim,aplikasi,wajib,vaksin,mitranya,repot,batalin,kerja,vaksin,biar,mitra,vaksin,aparatur,pemerintah",0
"dokter,anak,bayi,berusia,anak,rawat,rumah,sakit,hasil,rongsen,mengidap,penyakit,radang,paru,tolong,dokter,anak,sembuh,total,penyakit,terimakasih,bantu",1
"respon,baik,dokternya,terima,kasih",1
"aplikasi,berguna,terima,kasih,mengadakan,kegiatan,vaksin,serentak,prambanan,sleman,terima,kasih,pemerintahan,diy,yogyakarta,sponsor,kegiatan,semoga,pembuatan,kegiatan,pahala,berlimpah,tuhan,maha,esa,terima,kasih,terbaik,regard,beny",1
"posisi,pengambilan,obat,rumah,menunggu",0
"janji,buka,jam,dokternya,balas,balas,apsnya,dibatalkan,tulisanya,aplikasi,daring,mengecewakan,unduh,butuh,berguna,donasikan,menu,donasi,pilihan,pembayaran,saldo,menunjukan,pelayananya,sebanding,aplikasi,sebelah",0
"klg,periksa,pacar,hasilnya,periksa,tanggal,maret,jam,drive,thru,kemayoran,tanggal,maret,jam,hslnya,butuh,hslnya,cepat,pelayanan,pemeriksan,covid,dihalo,menurun,periksa,gratis",0
"pengalaman,bagus,konsultasi,dokter,pilihan",1
"mohon,maaf,kasih,bintang,jelek,pelayananya,pesan,vitamin,tangal,estimasi,tangal,proses,tolong,pelayanan,telepon,chat,cek,cek,cek,pembatalan,pesanan,beli,pasar,saldo,tarik,rekening,tolong,tingkatkan,pelayananya,tolong,kirim,pesanan",0
"membantu,terima,kasih,dokter,ny,aplikasi,ny,bantu",1
"memudahkan,konsultasi,dokter,bertemu,langsung",1
"konsultasi,keluhan,mudah,sulit,antre,rumah,sakit",1
"dokter,gratis",0
"tertolong,aplikasi,zaman,covid,takut,rumah,sakit,konsultasi,hewan,peliharan,konsultasi,gigi,pokoknya,tertolong,terima,kasih",1
"penjelasan,dokter,lengkap,ramah,terima,kasih",1
"terbaik,diandalkan,suka",1
"malam,malam,sakit,binggung,ke,mana,keluhan,obat,langsung,diantar,kendala,pengiriman,kadang,driver,kontak,langsung,teleponya",1
"jelas,daring,pilihan,aman",1
"membantu,transaksi,biaya,permudah",1
"percakapan,dokter,jelas,arahanya,bagus",1
"vaksin,tanggal,maret,daftar,vaksin,kode,kupon,dikirim,urusnya,terima,kasih",1
"membantu,konsultasi,langsung,dokter",1
"bagus,dokter,susah,mahal,bagus",1
"bayar,dokternya,sibuk,chat,ulang,digubris,nyapa,bilang,dokternya,sibuk,gopay,kepotong,pengembalian,dana,mohon,pertimbangkan,dokter,gubris,baik,dilaporkan,sibuk,sedang,apa,coba,berani,daftar,risiko,nerima,permintan,konsultasi,pasien,manapun,diemin,membingungkan,pengembalian,dana,fleksibel,jam,respon,sesi,berbayar,hak,pasien,makan,gaji,buta,chat,diam,diam,baik",0
"tangal,maret,saldo,anjungan,tunai,mandiri,ambil,program,adakan,kemarin,telepon,mengatasnamakan,pelayanan,rugikan,berhenti,berhenti,langgan",0
"transaksi,gagal,saldo,kepotong,diliat,riwayat,transaksinya",0
"layanan,proses,cepat,catatan,pasien,status,gejala,covid,dokter,kasih,himbauan,mengasih,pil,tidur,sesuai,dosis,perlukan,orsng,sakit,butuh,istirahat",0
"beli,obat,layanan,dokter,bagus,ganguan,ganti,nomor,nomor,ganti,pakai,email,riwayat,transaksi,hilang,aplikasi",1
"senang,aplikasi,cepat,respon,obat,langsung,diantar,resep,pelayanan,jam,dokter,baik,informatif,terima,kasih",1
"pembayaranya,diperluas,gopay,bca,mandiri,debit,maksudnya,ragu,cobain,apknya,dokter,langsung,pandemi,pembayaranya,di,mana,indomaret,alfamart,dan,sebagainya,kota,akses,mudah,desa,susah,intinya,ditingkatkan,mohon",0
"membantu,lanjut,usia,biaya,kesehatanya,terbatas",1
"konsultasi,dokter,line,memudahkan,pilihan,dokter,kisaran,biaya,disesuaikan,terima,kasih",1
"aplikasi,membantu,kalangan,luas,terbatas,milenial,konsultasi,tipis,tipis,saran,muculkan,saldo,profile,pemilik,akun,permudah,mengisi,saldo,berbagi,bank,aplikasi,bayar,bayar,lainya",1
"membantu,pandemi",1
"bermanfaat,orang,membutuhkan,bantuan,cepat",1
"cangih,langsung,konsultasi,dokter,ahlinya,rumah,sakit,respon,cepat,dokter,membantu,membutuhkan,pelayanan,kesehatan",1
"janji,rapid,tutup",0
"aplikasi,ambil,antrian,daring,aplikasi,terintegras,hasil,cek,upayakan,laporan,laporan,laporan,laporan,sehat,sulit,expetasi,tujuan,utama,boh,fair,slogan,customer,klinik,bolak,hasil,test,sedang,apa,pakai,daring",0
"semenjak,terbantu,konsultasi,beli,obat,rumah,antre,rumah,sakit,apotek,bagus,diskon,sesi,konsultasi,dokter,makasi,memudahkan,hidup,semoga,promo,sukses,bagus",1
"mengalami,kekesalan,apsnya,mendaftar,vaksinasi,lanjut,usia,berhubung,lanjut,usia,janji,tangal,vaksinasi,dibatalkan",0
"aplikasinya,jelek,aktivasi,lambat,terusan,diklik",0
"puas,bagus,ulasanya,cocok,ramah,cocok,obatnya",1
"terima,kasih,konsultasi,membantu",1
"pelayanan,memudahkan,obat,keliling,apotek,lengkap,solusi,terbaik,kelengkapan,obatnya,terima,kasih",1
"membantu,pesan,obat,sampainya,darurat,butuh,sedih,histori,perjalanan,paket,obatnya,kaya,menunggu,sampenya,memperbarui,terima,kasih,tim,cepat,respon,kejelasan,bantu",1
"bermanfaat,anak,sakit,dimalam,rumah,sakit,chat,dokter,aplikasi,smuanya,beres,pandemi,terima,kasih,bantuanya,dokter,terima,kasih,aplikasi",1
"bagus,cepat,konsultasi,terima,kasih",1
"dokter,kamar,terpisahkan,dipakai,isolasi,mandiri,angota,keluarga,kena,covid,sembuh,kamar,disterilkan,dipakai,masuk,kamar",1
"diperbarui,aplikasi,dibuka",0
"aplikasi,bermanfaat,pembelian,obat",1
"dokter,bagus,informasi,jelas,menolong",1
"senang,berobat,konsultasi,doktet,shanti,tandayu,internist,ramah,jelas,bertele,obat,arahan,bagus,isk,membaik,terima,kasih,bermanfaat,bagus",1
"driver,gojek,kemarin,pesan,vaksin,covid,bawa,orang,lanjut,usia,vaksin,membawa,orang,lanjut,usia",0
"aplikasi,membantu,di,tengah,pandemi,covid,rumah,tingal,aplikasi,terimakasih,tingkatkan,kualitasnya",1
"janji,dokter,vaksin,manula,drive,thru,mudah,terima,kasih",1
"berpartisipasi,penangulangan,covid",1
"membantu,memuaskan,informasi,pelayanan",1
"kasih,bintang,kendala,pembayaran,gopay,penyelesaian,tim,cepat,membantu,terima,kasih,tim,bagus",1
"beruntung,aplikasi,antre,antre,rumah,sakit,klinik,obat,obat,rekomendasikan,manjur",1
"vaksin,sertifikat,vaksinya,admin",0
"aplikasinya,bagus,pelayanan,konsultasinya,cepat,respon,apotiknya,cepat",1
"pemesanan,obat,fitur,chatnya,tolong,dialihkan,fitur,sms,butuh,pulsa,dialihkan,fitur,gojeknya,fitur,chat,aplikasi,konfirmasi,driver,pakai,pulsa",1
"dokter,ramah,diskusi,bagus,lancar,salut,sangka,bagus,jam,obat,ditangan",1
"asli,parah,aplikasi,niat,mempercepat,urusan,rapid,antigen,terkendala,aplikasi,sia,sia,berharap,berharap,berangkat,kerja,parahnya,dana,dikembalikan",0
"aplikasi,konsultasi,dokter,bermanfaat,kondisi,keluhanya,salah,diagnosis",1
"cepat,hemat,efisien,janji,vaksinasi,covid,lanjut,usia,aplikasi,membantu,tingal,janji,vaksinasi,sukses,amanah,bagus",1
"terima,kasih,pandemi,aman,kesini,konsultasi,dokter,senior,langgan,terima,kasih",1
"bagus,kadang,obat,tersedia,apotek,terdekat,pesan,daring,semoga,ke,depan,baik",1
"sumpah,chat,dokter,pakai,bayar,enga,aplikasi,membantu,orang,susah,konsultasi,bayar,kecuali,beli,obat,periksa,bagus,chat,bayar,membantu",0
"bermanfaat,aplikasi",1
"aplikasinya,jalan,respon,menyebalkan",0
"konsultasi,memuaskan,pergi,apotek,ucapkan,terima,kasi,aplikasi,semoga,manfat",1
"bagus,aplikasi,respon,dokternya,baik",1
"terimakasih,membantu,darurat,libur,terimakasih,dokter,stand,beli,libur,chat,asik,ramah,informasi,akurat",1
"informasi,mudah,terjawab",1
"aplikasi,berbayar,aplikasi,bagus,cobain,diliat,download,bagus,download,berbayar,langsung,kecewa,tolong,kembangkan,biar,aplikasi,berbayar,gratis,aplikasi,sebelah,kasih,bintang,fitur,dokter,gratis,kasih,bintang",0
"membantu,apan,jelas,sulit,bayar,sulit,aplikasi,berguna,sumpah,hack,aplikasi,sumpah,janji,rapid,persulit",0
"aplikasi,berguna,efisien,memesan,obat,dimanapun,cari,apotek,menyediakan,obatnya,suka,cinta,aplikasi,kembangkan",1
"membantu,pelayanan,ramah,bagus,dokter",1
"puas,dokter,dokternya,baik,ramah,ramah,diaknosa,obatnya,bagus,cocok,semoga,dokternya,sehat,amin",1
"pengirim,ramah,sesuai,pemesanya,salut,drivernya",1
"membantu,dimasa,pandemi,konsultasi,obat,rumah,serasa,dokter,pribadi",1
"asalamualaikum,maaf,habis,unduh,aplikasi,playstore,buka,aplikasinya,masuk,aplikasi,klik,chat,dokter,lihat,di,situ,pilihan,dokter,chat,konsultasi,kesehatan,konsultasi,kesehatan,dokter,aplikasi,membayar,chat,konsultasi,dokter,chat",0
"solusi,praktis,biaya,murah,dokter,responsif",1
"daring,sesi,petunjuk,konsultasi,beli,teks,telepon,buang,buang,uang,bayar,konsultasi",0
"uang,diterima,status,tes,antigenya,dikonfirmasi,dikonfirmasi,maunya,nerima,uang,layan,customer,responya,lancar,lancar,kecewa,berat",0
"aplikasi,membantu,keluarga,membeli,obat,obatan,vitamin,tes,pacar,pandemi,bagus,pokoknya",1
"aplikasi,bagus,scheduling,dokter,antre,rumah,sakit,Cuma,pelayanan,mengecewakan,hasil,tes,infokan,sms,selesai,hasil,tes,hardcopy,softcopy,ambil,tes,media,chat,pelayanan,responya,lambat,respon,menit,memutuskan,jalur,komunikasi,ulang,respon,lambat,pelayanan,konfirmasi,konfirmasi,terkait,sla,sisi,responsif",0
"dokter,responsif,nyaman,konsultasi,terima,kasih",1
"membantu,sulit,rumah",1
"keren,aplikasi,membantu,darurat,terima,kasih,feny,ramah,konsultasi,resepnya,cocok",1
"iwan,setiawan,ag,salah,driver,gojek,bandar,lampung,konfirmasi,orderan,apotek,jesaya,farma,orderan,pengambilan,obat,harap,menunggu,barang,persiapkan,obat,pemesanan,tersedia,aplikasi,gojek,jalankan,pemesanan,gojek,barang,driver,tingal,bawa,barang,menjalankan,orderan,berdasarkan,konfirmasi,pelangan,apotek",0
"niat,make,aplikasi,cepat,rumah,apoteknya,apotek,bumn,swasta,diskitar,fitur,ngebuat,pembeliatau,driver,milih,apotek,terdekat,pakai,manual,nahan,sakit,posisi,kota",0
"chat,berbayar,lebih,baik,pakai,bagus,google,gratis",0
"aplikasi,membantu,metode,pembayaranya,tambahin,pembesaran,harga,baik,tingkatkan,sukses,terima,kasih",1
"bagus,puas,petugas,ramah,memahami,dibidangnya,kepemilikan,kustomer,layani,ramah,kustomer,merasakan,puas,upgrade,bidang,kedokteran,memperbarui,terbaru,medicine,informasi,virus,corona,virus,lainya,vaksin,umur,servis,drivethru,dimudahkan,pengajuan,sertifikat,hasilnya,harga,terjangkau",1
"terima,kasih,membntu,era,pandemi,sulit,rumah,sakit,konsultasi,diam,rumah,tingal,chat,dokternya,ramah,responsif",1
"membantu,pademi",1
"membantu,konsultasi,kesehatan",0
"selamat,malam,mohon,maaf,berbayar,konsultasi,salah,dokter,aplikasi,terima,kasih",0
"mencari,obat,mudah,pelayananya,cepat",1
"dokternya,sabar,jelas,akurat,baik,terima,kasih,dokter,bosen,ya,dokter,kesehatan,bantu",1
"aplikasi,membantu,anak,anak,keluarga,sehat,berangkat,klinik,langsung,terima,kasih,bagus",1
"uang,pengembalian,dana,juta,pembatalan,pacar,dikirim,tangal,februari,februari,statusnya,proses",0
"membantu,musim,pandemi",1
"bagus,dokternya,ramah,puas,berkeluh,kesah,biaya,murah,di,rumah,memudahkan,diksi,resep,dikasi,penjelasan,detail,bayar,konsulnya,diskon,terima,kasih",1
"aplikasi,membantu,pandemi,dokter,dokternya,bagus,obat,obatan,efektif,diskon,konsultasi",1
"membantu,pandemi",1
"bagus,membantu,keluarga,setahun,bagus,hasiat,obat,obatan,kasih,bagus,bagus",1
"aplikasi,membantu,harga,konsultasi,bersahabat,dokter,ramah",1
"dokternya,ramah,responya,cepat,direkomendasikan,bagus,repot,repot,kerumah,sakit,obatnya,langsung,dikirim,bagus",1
"bagus,membantu,respon,dokter,cepat,rumah,sakit,konsultasi,obat,dikirim,rumah,terima,kasih",1
"membantu,pandemi,rumah,beli,obat,anak,sakit,suruh,bagustrimakasih,aplikasi,membantu,bagus",1
"membantu,konsultasi,kesehatan",1
"pakai,aplikasi,binggung,konsultasi,baik,ramah,jelas,terimakasih",1
"senang,aplikasi,mempermudah,sehat,konsultasi,daring,kondisi,pandemi",1
"baik,kesehatan,konsultasi,dokter,dokternya,ramah,ramah,baik",1
"anjuran,kasih,obat,saran,berguna",1
"terimakasih,mas,amirul,cepat,respon,surat,bagus,pekerjaan,man,bagus,kesulitan,aktifkan,lokasi,login,tolong,dibantu,senoari",1
"bagus,secepat,kilat,penjelasan,detail",1
"ramah,ramah,bagus,responsif,penjelasan,butuhkan",1
"membantu,kondisi,covid",1
"maaf,rapid,antigen,kemayoran,metode,pembayaran,pakai,anjungan,tunai,mandiri,bri,terima,kasih",1
"dokter,ramah,penjelasan,akurat",1
