rating,review,aspect_category,word_count,avg_word
1,"'memgecewakan','kali','daftar','vaksin','csembilan','belas','lanjut,usia','ditolak','alasan','mesti','pakai','ktp','suket','domisili','sebenar','vaksinasi','csembilan','belas','mengunakan','suket','domisili','nama','vaksin','gratis','iya','warga','negara','indonesia','semoga','ulasan','dihapus','admin','halodoc'",Pelayanan,34,8.235294117647058
5,"'terima','kasih','gojek','vaksinasi','prambanan','bagus','pelayanan','le','nyuntik','blas','ra','loro'",Pelayanan,12,7.583333333333333
5,"'halodoc','profesional','halodoc','terbantu'",Anekdot/Serbaneka,4,10.25
5,"'alhamdulilah','konsultasi','dokter','tatap','muka'",Pelayanan,5,9.4
5,"'kali','konsultasi','puas','dokter','membantu'",Pelayanan,5,8.4
5,"'halodoc','bermanfat','cepat','respon','jempolan','halodoc'",Anekdot/Serbaneka,6,9.0
4,"'temanhidupsehat','membantu','konsultasi','informasi','terkait','kesehatan'",Pelayanan,6,11.666666666666666
5,"'dokter','anak','cepat','respon','aplikasi','membantu','sat','kondisi'",Pelayanan,8,7.875
5,"'apliaksi','membantu','sat','darurat','tengkyu','halodoc','ditungu','promo','menarik'",Pelayanan,9,8.555555555555555
5,"'alhamdulilah','memudahkan','konsultasi','dokter','spesialis'",Pelayanan,5,11.4
5,"'aplikasi','dokter','keluarga','sahabat','dijangkau','berjarak','pu','aplikasi','sakit','pencuri','panik','pastikan','saldo','gopay','sederhana','hub','dokter','infokan','keluhan','dibantu','obati','tungu','obat','dikirim','instant','beli','gojek','sunguh','terobosan','bermanfat','era','pandemi','mjd','berjarak','halodoc','mendekatkn','dokter','sukses','halodoc'",Anekdot/Serbaneka,39,8.35897435897436
1,"'sih','dokter','ngelewatin','chat','gtu','terima','ajuan','saldo','diambil','uang','diambil','konsultasi','tolong','customer','pelayanan','sih','keluhan','rugi','mengecewakan','halodoc'",Pelayanan,20,8.3
2,"'kemarin','kamis','tanggal','maret','puluh','puluh','jam','puluh','wita','telepon','mengatasnamakan','cal','center','halo','dokter','halodoc','menginfokan','fitur','halodoc','menyuruh','aktivasi','biaya','paket','bulanan','rp','puluh','sembilan','nol','auto','debit','bank','infokan','email','aktif','terdaftar','percaya','halodoc','menyetujui','informasi','gmailatau','email','dana','terpotong'",Anekdot/Serbaneka,43,8.209302325581396
5,"'membant','konsultasi','rumah','kondisi','covid'",Pelayanan,5,8.8
1,"'parah','vaksin','lanjut,usia','dosis','di,sini','parah','nungu','jam','tertawa','antre','heran','vaksin','lancar','habis','buruk','kasian','orgtua','vaksin','di,sini','lebih,baik','aplikasi','sebelah'",Pelayanan,26,6.769230769230769
4,"'dokter','di,sini','luamayan','berpengalaman','fitur','fitur','membantu'",Pelayanan,8,8.125
5,"'thankyou','halodoc','membantu','panik','keluhan'",Anekdot/Serbaneka,5,9.0
2,"'kali','instal','daftarin','vaksin','lanjut,usia','tangal','bertuliskan','slot','tersedia','isi','data','upload','ktp','giliran','submit','penuh','tulis','auto','recheck','eh','tep','tersedia','slot','resubmit','penuh','banget','perbaiki'",Sistem,28,7.535714285714286
5,"'membantu','pembelian','obat','kota'",Pelayanan,4,8.25
5,"'membantu','memudahkan','pasien','keluarga','pelayanan','kesehatan'",Pelayanan,6,10.333333333333334
5,"'konsultasi','memuaskan','direkomendasikan','sat','rumah','mengurangi','mobilitas','semoga','dokter','dokter','halodoc','sehat','membantu','melayani','keluhan','pasien','membutuhkan','direkomendasikan'",Pelayanan,18,10.222222222222221
5,"'kasih','bintang','semoga','aplikasi','pelayanan'",Pelayanan,5,9.0
5,"'membantu','dokter','enak','cepat','respon'",Pelayanan,5,7.8
5,"'puas','pelayanan','dilapangan','terkait','vaksin','terima','lancar','cepat','petugas','ramah','sabar','penuh','perhatian','terima,kasih','halodoc','salam','sehat'",Pelayanan,18,8.11111111111111
4,"'tolong','kasih','chat','docter','pembayaran'",Pelayanan,5,8.2
5,"'konsultasi','dokter','menghemat','thanks','halodoc'",Pelayanan,5,9.6
5,"'terbaik','situasi','apapun','jam','konsultasi'",Pelayanan,5,8.6
5,"'menyenangkan','langsung','konsultasi','dokter','rumah'",Pelayanan,5,10.2
1,"'janji','sesuai','jadwal','tersedia','lab','prodia','mega','galaxy','sby','sebelas','maret','jam','sembilan','pagi','h','prodia','tutup','heran','jadwal','tersedia','aplikasi','halodoc','orang','kecele','chat','bantuan','halodoc','slow','respon','tujuh','jam','solusi','sms','halodoc','membatalkanatau','mereschedul','coba','aplikasi','aplikasi','pembatalan','h','berlaku','hinga','jam','jdwl','konsultasi','reshedule','jam','jdwl','konsultasi','ampun','ampun','deh'",Pelayanan,53,7.811320754716981
5,"'semoga','halodoc','membantu','pasien','konsultasi','rumah','terima','kasih'",Pelayanan,8,8.625
5,"'pesan','obat','halodoc','pelayanan','cepat','respon','langsung','dikirim','pas','urgent'",Pelayanan,10,8.0
5,"'suka','aplikasi','membantu','pelayanan','bagus','kali','case','kirim','barang','kekurangan','langsung','kirim','kesokan','sukses','halodoc','ditingkatkan','pelayanan'",Pelayanan,17,8.882352941176471
5,"'menolong','pertolongan','kucing','drh','membantu'",Pelayanan,5,9.2
5,"'dokter','ramah','melayani','bijaksna','terima','kasih','halodoc'",Pelayanan,7,8.428571428571429
5,"'terima','kasih','vaksin','covid','efek','segnifikan'",Anekdot/Serbaneka,6,8.0
5,"'alhamdulilah','membantu','urusan','kesehatan','jam'",Pelayanan,5,9.6
5,"'enak','dipakai','aplikasi','cari','obat','harga','terjangkau'",Harga,7,8.0
5,"'keren','cepat','respon','konsultasi','dokter','kandungan'",Pelayanan,6,8.833333333333334
5,"'kasih','bintang','kasih','sepuluh','aplikasi','terbaik','pembelian','kebutuhan','medis','disat','darurat','rumah','bagus','masukan','tertawa','semoga','apotek','aplikasi','jarak','pickup','obat'",Pelayanan,21,8.333333333333334
5,"'puas','konsultasi','dokter','halodoc','pas','papua','susah','nebus','obat','tertawa','nunjukin','chat','obat','untung','tanda','tangan'",Pelayanan,16,7.5625
2,"'niat','instal','aplikasi','mempermudah','beli','obat','kondisi','sakit','kos','beli','estimasi','aplikasi','cocok','kondisi','urgent','beli','obat','orang','sakit','parah','terlanjur','wasalam','obat','mengedit','ulasan','aplikasi','halodoc','diperbaiki','sistemnya'",Sistem,29,8.241379310344827
3,"'selamat','siang','salam','telepon','mengatas','namakan','halodoc','biaya','claim','pengaktifan','biaya','bulanan','menyebut','nomor','rek','sistem','pemotongan','puluh','sembilan','ribu','mohon','konfirmasi','halodoc','takut','saldo','tepotong','terima','kasih'",Anekdot/Serbaneka,28,8.392857142857142
5,"'membantu','sat','pandemi','terima,kasih','halodoc'",Anekdot/Serbaneka,6,7.666666666666667
4,"'konsultasi','dokter','nyaman','sat','keluhan','foto','langsung','area','sakit','pertanyan','dokter','detail','semoga','resep','cocok','mengatasi','keluhan','terima,kasih','dok'",Pelayanan,20,7.9
5,"'praktis','oke','dokter','keluhan','terima,kasih','halodoc'",Pelayanan,7,7.571428571428571
5,"'terima,kasih','halodoc','aplikasi','terpercaya','chat','langsung','dokter'",Pelayanan,8,8.5
3,"'coba','kaji','vaksin','mitra','ojol','sejati','mitra','pakai','ojol','mencari','rezeki','gojek','grab','indriver','maxim','ntr','wajib','vaksin','mitran','repot','batalin','krj','vaksin','biar','mitra','vaksin','aparatur','pemerintah'",Anekdot/Serbaneka,28,7.428571428571429
5,"'halo','dokter','anak','bayi','berusia','anak','rawat','rumah','sakit','hasil','rongsen','mengidap','penyakit','radang','paru','tolong','dokter','anak','sembuh','total','penyakit','trimaksih'",Anekdot/Serbaneka,22,7.7272727272727275
5,"'respon','dokter','terima','kasih','halodoc'",Pelayanan,5,8.0
5,"'aplikasi','berguna','terima','kasih','mengadakan','kegiatan','vaksin','serentak','prambanan','sleman','terima','kasih','pemerintahan','diy','yogyakarta','sponsor','kegiatan','semoga','pembuatan','kegiatan','pahala','berlimpah','tuhan','maha','esa','terima','kasih','terbaik','regard','beny'",Pelayanan,30,8.733333333333333
2,"'posisi','pengambilan','obat','rumah','menungu'",Pelayanan,5,8.6
1,"'janji','buka','pas','jam','dokter','ngak','balas','balas','tbtb','dibatalkan','tulisan','aplikasi','daring','mengecewakan','mendownload','butuh','mah','ngak','berguna','donasikan','menu','donasi','pilihan','pembayaran','saldo','halodoc','menunjukan','pelayanan','sebanding','aplikasi','sebelah'",Pelayanan,31,8.548387096774194
1,"'halo','doc','klg','periksa','pacar','hasil','h','periksa','tanggal','maret','jam','puluh','drive','thru','kemayoran','tanggal','maret','jam','delapan','hsl','sih','butuh','hsl','cepat','pelayanan','pemeriksan','covid','dihalo','doc','menurun','iya','periksa','gratis','lho'",Pelayanan,34,7.088235294117647
5,"'pengalaman','asyik','konsultasi','dokter','pilihan'",Pelayanan,5,9.6
1,"'mohon','maf','kasih','bintang','jelek','pelayanan','pesan','vitamin','tangal','estimasi','tangal','skrng','proses','tolong','customer,service','telepon','chat','cek','cek','cek','pembatalan','pesanan','beli','e','comerce','saldo','tarik','rekening','tolong','tingkatkan','pelayanan','tolong','kirim','pesanan'",Pelayanan,35,7.885714285714286
5,"'membantu','terima','ksh','dokter','aplikasi'",Pelayanan,5,8.2
5,"'memudahkan','konsultasi','dokter','bertemu','langsung'",Pelayanan,5,10.2
5,"'konsultasi','keluhan','mudah','ribet','antre','rumah','sakit'",Pelayanan,7,8.0
1,"'dokter','gratis','iya'",Pelayanan,3,7.0
5,"'tertolong','zaman','covid','takut','rumah','sakit','lho','konsultasi','hewan','peliharan','konsultasi','gigi','pokok','tertolong','terima','kasih','halo','doc'",Pelayanan,18,7.944444444444445
5,"'penjelasan','dokter','lengkap','ramah','terima,kasih'",Pelayanan,6,8.166666666666666
5,"'halodoc','terbaik','diandalkan'",Anekdot/Serbaneka,3,10.0
5,"'malam','malam','sat','sakit','bingung','na','ke,mana','halodoc','keluhan','obat','langsung','diantar','tertawa','kendala','pengiriman','kadang','driver','kontak','langsung','teleponya'",Pelayanan,21,7.857142857142857
5,"'daring','sat','pilihan','aman'",Pelayanan,4,7.0
5,"'membantu','transaksi','biaya','permudah','iya'",Harga,5,8.6
5,"'percakapan','dokter','arahan','bagus'",Pelayanan,4,8.75
5,"'ta','vaksin','csembilan','belas','tanggal','sembilan','maret','nol','daftar','vaksin','kode','kupon','dikirim','urus','terima','kasih'",Anekdot/Serbaneka,16,7.5
5,"'membantu','berkonsultasi','langsung','dokter'",Pelayanan,4,10.75
5,"'manteb','sih','dokter','susah','mahal'",Harga,5,7.0
2,"'bayar','dokter','sibuk','chat','ulang','digubris','nyapa','bilang','dokter','sibuk','gopay','kpotong','pengembalian','dana','mohon','diprtimbngkan','dokter','gubris','dilaporkan','sibuk','sedang,apa','coba','berani','daftar','halodoc','risiko','nerima','permintan','konsultasi','pasien','manapun','donk','diemin','gajls','pengembalian,dana','flexible','kali','xempat','jam','respon','sesi','berbayar','hak','pasien','jangn','makan','gaji','buta','chat','puluh','diam','diam'",Pelayanan,54,7.814814814814815
1,"'tangal','delapan','maret','puluh','puluh','saldo','anjungan,tunai,mandiri','ambil','puluh','sembilan','nol','program','adakan','halodocter','kemarin','telepon','mengatasnamakan','customer,service','halodocter','rugikan','berhenti','berhenti','langanan'",Pelayanan,26,8.76923076923077
1,"'transaksi','gagal','saldo','kepotong','pas','diliat','riwayat','transaksi'",Sistem,8,8.5
2,"'layanan','proses','cepat','catatan','pasien','status','gejala','covid','dokter','kasih','himbauan','mengasih','pil','tidur','sesuai','dosis','perlukan','orsng','sakit','butuh','istirahat'",Pelayanan,21,8.0
4,"'beli','obat','layanan','dokter','bagus','ganguan','iya','ganti','nomor','nomor','ganti','pakai','email','riwayat','transaksi','hilang','tertawa','aplikasi'",Pelayanan,18,7.722222222222222
5,"'senang','mengunakan','aplikasi','cepat','respon','obat','langsung','diantar','resep','pelayanan','jam','dokter','informatif','terima','kasih','halodoc'",Pelayanan,16,8.5625
1,"'halodoc','pembayaran','diperluas','iya','gopay','bca','mandiri','debit','maksud','ragu','cobain','aplikasi','dokter','langsung','pandemi','pembayaran','di,mana','indomaret','alfamart','dan,sebagainya','kota','akses','gampang','desa','susah','inti','ditingkatkan','mohon'",Sistem,30,8.066666666666666
5,"'membantu','lanjut,usia','biaya','kesehatan','terbatas'",Anekdot/Serbaneka,6,8.333333333333334
5,"'sat','konsultasi','dokter','tertawa','line','memudahkan','pilihan','dokter','range','biaya','disesuaikan','terima','kasih','halo','doc'",Pelayanan,15,8.133333333333333
4,"'aplikasi','membantu','kalangan','luas','terbatas','khusus','milenial','konsultasi','tipis','tipis','saran','muculkan','saldo','profile','pemilik','akun','permudah','mengisi','saldo','berbagi','bank','aplikasi','bayar','bayar'",Sistem,24,8.458333333333334
5,"'membantu','sat','pandemi'",Anekdot/Serbaneka,3,8.0
5,"'bermanfat','orang','membutuhkan','bantuan','cepat'",Anekdot/Serbaneka,5,9.4
5,"'cangih','langsung','konsultasi','dokter','ahli','rumah','sakit','respon','cepat','dokter','membantu','membutuhkan','pelayanan','kesehatan'",Pelayanan,14,9.0
1,"'kali','janji','ravid','tutup'",Anekdot/Serbaneka,4,6.75
1,"'aplikasi','ambil','antrian','daring','iya','aplikasi','terintegras','dita','hasil','cek','upayakan','laporan','laporan','laporan','laporan','sehat','ribet','halodoc','expetasi','sebenar','tujuan','utama','halodoc','boh','iya','fair','slogan','customer','klinik','bolak','na','hasil','test','sedang,apa','pakai','daring'",Pelayanan,37,7.675675675675675
5,"'semenjak','halodoc','terbantu','konsultasi','beli','obat','rumah','antre','rumah','sakit','apotek','enak','diskon','sesi','konsultasi','dokter','makasi','iya','halodoc','memudahkan','hidup','semoga','promo','sukses','halodoc'",Pelayanan,25,8.08
1,"'mengalami','kekesalan','mendaftar','vaksinasi','lanjut,usia','berhubung','lanjut,usia','janji','tangal','vaksinasi','semingu','dibatalkan'",Pelayanan,14,9.0
1,"'aplikasi','jelek','aktivasi','loading','terusan','diklik'",Sistem,6,8.833333333333334
5,"'puas','bagus','ulasan','cocok','ramah','cocok','obat'",Pelayanan,7,6.857142857142857
5,"'terima','kasih','konsultasi','halodoc','membantu'",Pelayanan,5,9.2
5,"'pelayanan','halo','doc','memudahkan','obat','keliling','apotek','lengkap','halodoc','solusi','terbaik','kelengkapan','obat','terima','kasih','halodoc'",Pelayanan,16,8.5
