,postag
10,"[('kali', 'NND'), ('telepon', 'NN'), ('mengatas', 'NN'), ('nama', 'NN'), ('halodoc', 'FW'), ('aneh', 'FW'), ('penelpon', 'FW'), ('email', 'NN'), ('bilang', 'NN'), ('uang', 'NN'), ('juta', 'CD'), ('rupiah', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'NN'), ('memprivasi', 'NN'), ('email', 'NN'), ('sehinga', 'NN'), ('mengambil', 'VB'), ('keuntungan', 'NN'), ('menipu', 'JJ'), ('tolong', 'VB'), ('privasi', 'NN'), ('perketat', 'VB')]"
11,"[('keren', 'NN'), ('cepat', 'JJ'), ('bagus', 'JJ'), ('membantu', 'VB'), ('tertawa', 'VB'), ('rumah', 'NN'), ('cek', 'NN'), ('kesehatan', 'NN'), ('aman', 'JJ'), ('dimasa', 'NN'), ('pandemik', 'NN'), ('covid', 'NN'), ('sembilan', 'NN'), ('belas', 'JJ')]"
12,"[('membantu', 'VB'), ('jam', 'NN'), ('anak', 'NN'), ('sakit', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'NN'), ('adi', 'NN'), ('suryadinata', 'NN'), ('sp', 'FW'), ('a', 'FW'), ('membantu', 'VB')]"
13,"[('membantu', 'VB'), ('mempermudah', 'MD'), ('mencari', 'VB'), ('obat', 'NN'), ('obatan', 'NN'), ('respon', 'NN'), ('cepat', 'JJ'), ('pesan', 'NN'), ('puluh', 'CD'), ('terima', 'CD'), ('kasih', 'MD')]"
14,"[('pulang', 'VB'), ('hapus', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'NN'), ('kecewa', 'NN'), ('profesional', 'JJ'), ('di', 'IN'), ('bagian', 'NN'), ('chat', 'VB'), ('customer', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
15,"[('konsultasi', 'NN'), ('pembayaran', 'NN'), ('pakai', 'VB'), ('c', 'NN'), ('kali', 'NN'), ('gagal', 'JJ'), ('walopun', 'SC'), ('keterangan', 'NN'), ('dana', 'NN'), ('dikembalikan', 'VB'), ('konsultasi', 'NN'), ('coba', 'NN'), ('malas', 'JJ'), ('tolong', 'VB'), ('sistem', 'NN'), ('pembayaran', 'NN'), ('diperbaiki', 'VB')]"
16,"[('ngebantu', 'VB'), ('disat', 'NN'), ('pergi', 'VB'), ('rumah', 'NN'), ('sakit', 'NN'), ('antrian', 'NN'), ('dekat', 'JJ'), ('sekali', 'RB'), ('aplikasi', 'VB'), ('ngebantu', 'RB'), ('praktis', 'JJ'), ('takut', 'JJ'), ('langsung', 'RB'), ('konsultasi', 'VB'), ('dokter', 'NN'), ('dikasi', 'NN'), ('resep', 'NN'), ('makasi', 'NN')]"
17,"[('ralat', 'NN'), ('kembalikan', 'VB'), ('bayar', 'VB'), ('aplikasi', 'NN'), ('membantu', 'VB')]"
18,"[('jujur', 'NN'), ('puas', 'JJ'), ('nasihat', 'VB'), ('nasihat', 'VB'), ('penjelasan', 'NN'), ('dokter', 'NN'), ('disayangkan', 'VB'), ('konsultasi', 'NN'), ('aplikasi', 'NN'), ('puluh', 'CD'), ('menit', 'NN'), ('otomatis', 'JJ'), ('berhenti', 'VB'), ('berta', 'CC')]"
19,"[('membantu', 'VB'), ('obat', 'NN'), ('dicari', 'VB'), ('dibeberapa', 'CD'), ('apotek', 'NN'), ('kosong', 'JJ'), ('lengkap', 'VB'), ('pemakaian', 'NN'), ('gampang', 'NN'), ('thanks', 'NN')]"
20,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('kesehatan', 'NN'), ('produk', 'NN'), ('kesehatan', 'NN'), ('mengunakan', 'VB'), ('aplikasi', 'NN'), ('konsultasi', 'NN'), ('penyakit', 'NN'), ('beli', 'VB'), ('obat', 'NN'), ('obatan', 'NN'), ('produk', 'NN'), ('kesehatan', 'NN'), ('aplikasi', 'NN'), ('memilih', 'VB'), ('halodoc', 'NN'), ('langsung', 'RB'), ('konek', 'NN'), ('akun', 'NN'), ('gojek', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('pelayanan', 'NN'), ('sukses', 'FW'), ('halodoc', 'FW')]"
21,"[('tolong', 'VB'), ('iya', 'NN'), ('ditindaklanjuti', 'VB'), ('respon', 'NN'), ('email', 'NN'), ('chat', 'VB'), ('transaksi', 'NN'), ('kali', 'NN'), ('beli', 'VB'), ('gopay', 'FW'), ('kurir', 'NN'), ('mengantar', 'IN'), ('kecewa', 'NN'), ('pengembalian', 'NN'), ('dana', 'NN')]"
22,"[('aplikasi', 'NN'), ('bagus', 'JJ'), ('Cuma', 'NNP'), ('saran', 'NN'), ('adakan', 'VB'), ('opsi', 'NN'), ('pembayaran', 'NN'), ('gerai', 'VB'), ('kaya', 'JJ'), ('alfamartatau', 'CC'), ('indomart', 'NN'), ('ngebantu', 'NN'), ('remaja', 'NN'), ('orang', 'NN'), ('orang', 'NN'), ('gapu', 'JJ'), ('gopayatau', 'CC'), ('catau', 'CC'), ('debitatau', 'CC'), ('et', 'NN'), ('cetera', 'JJ')]"
23,"[('oke', 'NN'), ('aplikasi', 'NN'), ('ketemu', 'VB'), ('di', 'IN'), ('mana', 'NN'), ('respon', 'NN'), ('dokter', 'NN'), ('cepat', 'JJ'), ('bagus', 'JJ'), ('pertahankan', 'VB'), ('membantu', 'VB')]"
24,"[('aplikasi', 'NN'), ('nomor', 'NN'), ('ribet', 'NN'), ('membantu', 'VB'), ('keliling', 'NN'), ('apotek', 'NN'), ('obat', 'NN'), ('obat', 'NN'), ('jarang', 'RB'), ('tersedia', 'VB'), ('diapotik', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('mudah', 'JJ'), ('pelayanan', 'NN'), ('ramah', 'JJ')]"
25,"[('membantu', 'VB'), ('aplikas', 'NN'), ('khawatir', 'JJ'), ('mendadak', 'VB'), ('malam', 'NN'), ('butuh', 'VB'), ('obat', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB')]"
26,"[('sangan', 'NN'), ('membantu', 'VB'), ('sat', 'NN'), ('isoman', 'NN'), ('membeli', 'VB'), ('obat', 'NN'), ('sehinga', 'NN'), ('mencegah', 'VB'), ('penularan', 'NN'), ('virus', 'NN'), ('orang', 'NN')]"
27,"[('halo', 'NN'), ('kakak', 'VB'), ('kakak', 'VB'), ('daftar', 'NN'), ('iya', 'NN'), ('masukan', 'VB'), ('email', 'NN'), ('nomor', 'NN'), ('telepon', 'NN'), ('masuk', 'VB'), ('nungu', 'NN'), ('iya', 'PRP')]"
28,"[('membantu', 'VB'), ('orang', 'NN'), ('malas', 'NN'), ('rumah', 'NN'), ('aplgi', 'NN'), ('nungu', 'NN'), ('antre', 'NN'), ('dokter', 'NN'), ('pelayanan', 'NN'), ('cepat', 'JJ'), ('resep', 'NN'), ('akurat', 'JJ')]"
29,"[('kali', 'NND'), ('coba', 'NN'), ('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('covid', 'NN'), ('rumah', 'NN'), ('diagnosis', 'NN'), ('beli', 'VB'), ('obat', 'NN')]"
30,"[('halodoc', 'MD'), ('memudahkan', 'VB'), ('antre', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('konsultasi', 'NN'), ('aplikasi', 'NN'), ('obat', 'NN'), ('diantar', 'IN'), ('rumah', 'NN'), ('so', 'NN'), ('helpful', 'VB')]"
31,"[('alhamdulilah', 'NN'), ('halodoc', 'FW'), ('membantu', 'FW'), ('sat', 'FW'), ('pandemic', 'FW'), ('dokter', 'FW'), ('spesialis', 'NN'), ('juara', 'NN'), ('juara', 'NN'), ('semoga', 'SC'), ('pertahankan', 'VB'), ('bagus', 'FW'), ('halodoc', 'FW')]"
32,"[('admin', 'VB'), ('suntik', 'NN'), ('vaksin', 'NN'), ('dosis', 'NN'), ('tanggal', 'NN'), ('sembilan', 'CD'), ('tanggal', 'NN'), ('sebelas', 'NN'), ('teman', 'NN'), ('sms', 'NN'), ('suntik', 'NN'), ('vaksin', 'NN'), ('dosis', 'NN'), ('admin', 'NN'), ('mohon', 'NN'), ('pencerahanya', 'RB')]"
33,"[('konsultasi', 'NN'), ('pertanyan', 'NN'), ('pertanyan', 'NN'), ('antisipasi', 'NN'), ('rumah', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'MD'), ('sudh', 'VB'), ('menyediakam', 'NN'), ('apliksi', 'NN')]"
34,"[('terbantu', 'VB'), ('aplikasi', 'NN'), ('kemarin', 'NN'), ('cari', 'VB'), ('resep', 'NN'), ('dokter', 'NN'), ('muter', 'NN'), ('muter', 'NN'), ('apotek', 'NN'), ('terdekat', 'JJ'), ('ketemu', 'VB'), ('aplikasi', 'NN'), ('terbantu', 'VB'), ('capek', 'NN'), ('capek', 'NN'), ('muter', 'FW'), ('muter', 'FW')]"
35,"[('umur', 'NN'), ('enam', 'CD'), ('belas', 'NN'), ('pu', 'NN'), ('uang', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('konsultasi', 'NN'), ('bayar', 'VB'), ('solosi', 'NN'), ('pertanyan', 'NN'), ('it', 'NN'), ('tolong', 'VB')]"
36,"[('aplikasi', 'NN'), ('bagus', 'JJ'), ('chat', 'VB'), ('psikiatris', 'NN'), ('mudah', 'JJ'), ('daring', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('menghakimi', 'NN'), ('mengerti', 'VB'), ('keadan', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
37,"[('terima', 'CD'), ('kasih', 'MD'), ('bermanfat', 'VB'), ('aplikasi', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('mudah', 'JJ')]"
38,"[('alhamdulilah', 'NN'), ('vaksin', 'NN'), ('i', 'NN'), ('kendala', 'NN'), ('efek', 'NN'), ('samping', 'NN'), ('tertawa', 'VB'), ('timbul', 'VB'), ('ngantuk', 'VB'), ('divaksin', 'NN')]"
39,"[('kecepatan', 'NN'), ('pengiriman', 'NN'), ('kilat', 'NN'), ('harga', 'NN'), ('obat', 'NN'), ('obatan', 'NN'), ('berbeda', 'VB'), ('apotek', 'NN'), ('langsung', 'RB'), ('over', 'FW'), ('al', 'FW'), ('i', 'FW'), ('proud', 'FW'), ('halodoc', 'FW')]"
40,"[('aplikasi', 'NN'), ('jelek', 'NN'), ('kali', 'NN'), ('pesan', 'NN'), ('apotek', 'NN'), ('obat', 'NN'), ('suruh', 'NN'), ('dibatalkan', 'VB'), ('dibatalkan', 'VB'), ('bermslh', 'FW'), ('telepon', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('batalin', 'FW'), ('tempered', 'FW'), ('glass', 'FW'), ('jam', 'FW'), ('batalin', 'FW'), ('pas', 'FW'), ('btl', 'FW'), ('saldo', 'FW'), ('halo', 'FW'), ('doc', 'FW'), ('tempered', 'FW'), ('glass', 'FW'), ('kerja', 'NN')]"
41,"[('bagus', 'JJ'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('khawatir', 'JJ'), ('kena', 'SC'), ('covid', 'NN'), ('murah', 'JJ'), ('harga', 'NN'), ('berkonsultasi', 'NN')]"
42,"[('pelayanan', 'NN'), ('cepat', 'JJ'), ('aneh', 'JJ'), ('pembayaran', 'NN'), ('memakai', 'VB'), ('kartu', 'NN'), ('kredit', 'NN'), ('kartu', 'NN'), ('tersedia', 'VB'), ('available', 'FW')]"
43,"[('aplikasi', 'NN'), ('ngelag', 'NN'), ('coba', 'VB'), ('uninstal', 'NN'), ('telepon', 'NN'), ('genggam', 'NN'), ('aplikasi', 'NN'), ('berat', 'NN'), ('telepon', 'NN'), ('genggam', 'NN'), ('jalan', 'NN'), ('halodoc', 'FW')]"
44,"[('dokter', 'NN'), ('hebat', 'NN'), ('hebat', 'NN'), ('fokus', 'NN'), ('keluhan', 'NN'), ('derita', 'PRP'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
45,"[('kali', 'NN'), ('mengunakan', 'VB'), ('halodoc', 'NN'), ('efektif', 'JJ'), ('murah', 'JJ')]"
46,"[('bagus', 'JJ'), ('membantu', 'VB'), ('pu', 'NN'), ('luang', 'NN'), ('dokter', 'NN'), ('dokter', 'NN'), ('bagus', 'JJ'), ('layanan', 'NN'), ('kesehatan', 'NN'), ('beragam', 'NN')]"
47,"[('respon', 'NN'), ('keluhan', 'NN'), ('team', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('sat', 'FW'), ('respon', 'FW'), ('update', 'FW'), ('respon', 'FW'), ('team', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('cepat', 'JJ')]"
48,"[('membantu', 'VB'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('langsung', 'RB'), ('repot', 'VB'), ('rumah', 'NN'), ('sakit', 'NN'), ('faskes', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
49,"[('menelpon', 'NN'), ('agen', 'NN'), ('helodoc', 'FW'), ('kerna', 'FW'), ('nomor', 'FW'), ('rekening', 'FW')]"
50,"[('bintang', 'NN'), ('kode', 'NN'), ('voucher', 'NN'), ('vaksinasi', 'NN'), ('kasih', 'NN'), ('bintang', 'NN'), ('semingu', 'NN')]"
51,"[('bagus', 'JJ'), ('dokter', 'NN'), ('responsif', 'JJ'), ('lumayan', 'NN'), ('enak', 'NN'), ('diajak', 'NN'), ('diskusi', 'NN'), ('logis', 'JJ'), ('analisis', 'NN'), ('sat', 'NN'), ('deg', 'NN'), ('degan', 'NN'), ('dokter', 'NN'), ('dirs', 'NN'), ('ketemu', 'VB'), ('senang', 'NN')]"
52,"[('enak', 'NN'), ('antre', 'NN'), ('disat', 'NN'), ('sakit', 'JJ'), ('chat', 'VB'), ('langsung', 'RB'), ('dibales', 'VB'), ('obat', 'NN'), ('diantar', 'IN'), ('terima', 'CD'), ('kasih', 'NN'), ('holodoc', 'FW')]"
53,"[('puas', 'JJ'), ('konsultasi', 'NN'), ('di', 'IN'), ('sini', 'PR'), ('sat', 'VB'), ('pandemi', 'NN'), ('dokter', 'NN'), ('ramah', 'JJ')]"
54,"[('memuaskan', 'VB'), ('balas', 'NN'), ('cepat', 'JJ'), ('pilihan', 'NN'), ('dokter', 'NN'), ('meresepkan', 'VB'), ('obat', 'NN'), ('mahal', 'JJ'), ('semoga', 'SC'), ('cocok', 'VB')]"
55,"[('selamat', 'NN'), ('sore', 'NN'), ('admin', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('bekerjasama', 'FW'), ('medicilin', 'FW'), ('mohon', 'FW'), ('admin', 'FW'), ('terima', 'VB'), ('kasih', 'MD')]"
56,"[('membantu', 'VB'), ('sat', 'NN'), ('urgent', 'FW'), ('langsung', 'RB'), ('tindakan', 'VB'), ('selanjut', 'VB'), ('dokter', 'NN'), ('ramah', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
57,"[('konsultasi', 'NN'), ('putri', 'NN'), ('farisa', 'NN'), ('sp', 'NN'), ('konsultasi', 'NN'), ('selesai', 'VB'), ('resep', 'NN'), ('obat', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
58,"[('suka', 'VB'), ('menu', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('memudahkan', 'VB'), ('mencari', 'VB'), ('informasi', 'NN'), ('tempered', 'FW'), ('glass', 'FW'), ('kesehatan', 'NN'), ('tubuh', 'NN')]"
59,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('dokter', 'NN'), ('ramah', 'NN'), ('ramah', 'NN'), ('profesional', 'JJ'), ('sukses', 'FW'), ('halodoc', 'FW')]"
60,"[('membantu', 'VB'), ('posisi', 'NN'), ('di', 'IN'), ('luar', 'NN'), ('kota', 'NN'), ('kondisi', 'NN'), ('badan', 'NN'), ('fit', 'NN'), ('susah', 'JJ'), ('cari', 'VB'), ('dokter', 'NN'), ('butuh', 'VB'), ('obat', 'NN'), ('sesuai', 'JJ'), ('dosis', 'NN'), ('terbantu', 'VB'), ('aplikasi', 'NN'), ('super', 'FW'), ('terima', 'FW'), ('kasih', 'FW'), ('to', 'FW'), ('halodoc', 'FW')]"
61,"[('membatu', 'CD'), ('terbantu', 'NN'), ('sat', 'NN'), ('dokter', 'NN'), ('konsultasi', 'NN'), ('di', 'IN'), ('sini', 'PR')]"
62,"[('kali', 'NND'), ('coba', 'NN'), ('gomed', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('pengiriman', 'NN'), ('tingkatkan', 'VB')]"
63,"[('alhamdulilah', 'NN'), ('konsultasi', 'NN'), ('psikologi', 'NN'), ('halodoc', 'FW')]"
64,"[('dokter', 'NN'), ('bagus', 'JJ'), ('penjelasan', 'NN'), ('detail', 'NN'), ('saran', 'NN'), ('saran', 'NN'), ('pas', 'NN'), ('obat', 'NN'), ('diresepkan', 'VB'), ('oke', 'FW')]"
65,"[('pelayanan', 'NN'), ('konsultasi', 'NN'), ('iya', 'NN'), ('enak', 'NN'), ('puas', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('dokter', 'NN'), ('iman', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
66,"[('membantu', 'VB'), ('aplikasi', 'NN'), ('disat', 'NN'), ('lelah', 'NN'), ('rumah', 'NN'), ('dibantu', 'RB'), ('tertawa', 'VB'), ('aplikasi', 'NN'), ('wow', 'FW')]"
67,"[('tangapan', 'NN'), ('lambat', 'JJ'), ('mengetik', 'NN'), ('keluhan', 'NN'), ('sokter', 'NN'), ('chat', 'VB'), ('masuk', 'VB'), ('pakai', 'VB'), ('pangilan', 'NN'), ('suara', 'NN'), ('suara', 'NN'), ('perbaiki', 'VB'), ('pemakaian', 'NN'), ('berbayar', 'NN'), ('gratis', 'JJ')]"
68,"[('cangih', 'VB'), ('berobat', 'NN'), ('di', 'IN'), ('mana', 'NN'), ('keren', 'NN'), ('pas', 'NN'), ('cobain', 'FW'), ('fre', 'FW'), ('skrng', 'FW'), ('bayar', 'FW'), ('ehehe', 'FW')]"
69,"[('kendala', 'NN'), ('boking', 'FW'), ('tes', 'FW'), ('swab', 'VB'), ('antigen', 'NN'), ('klinik', 'JJ'), ('tutup', 'VB'), ('operasial', 'JJ'), ('di', 'IN'), ('mana', 'WH'), ('boking', 'FW'), ('tes', 'FW'), ('swab', 'FW'), ('antigen', 'FW'), ('tim', 'FW'), ('halodoc', 'FW'), ('cepat', 'JJ'), ('respon', 'NN'), ('menelpon', 'NN'), ('konfirmasi', 'NN'), ('pengembalian', 'NN'), ('dana', 'NN'), ('masukan', 'VB'), ('kordinasi', 'NN'), ('klinik', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('rekanan', 'NN'), ('ditingkatkan', 'VB'), ('sisa', 'NN'), ('bagus', 'JJ'), ('terima', 'VB'), ('kasih', 'MD')]"
70,"[('kali', 'NN'), ('pakai', 'VB'), ('langsung', 'RB'), ('merasakan', 'VB'), ('puas', 'JJ'), ('semoga', 'NN'), ('layanan', 'NN'), ('konsisten', 'JJ'), ('prima', 'VB'), ('sehinga', 'NN'), ('menambah', 'VB'), ('kepercayan', 'NN'), ('thanks', 'NN'), ('iya', 'NN'), ('halodoc', 'FW')]"
71,"[('pelayanan', 'NN'), ('oke', 'NN'), ('tertawa', 'VB'), ('pembayaran', 'NN'), ('mengunanakan', 'VB'), ('debit', 'NN'), ('kartu', 'NN'), ('kendala', 'NN'), ('walopun', 'SC'), ('opsi', 'NN'), ('pembayaran', 'NN')]"
72,"[('dengar', 'SC'), ('sih', 'VB'), ('aplikasi', 'NN'), ('bagus', 'JJ'), ('instal', 'NN'), ('eh', 'NN'), ('sat', 'NN'), ('masuk', 'VB'), ('aplikasi', 'NN'), ('ngak', 'NN'), ('ngerespon', 'NN'), ('sih', 'JJ')]"
73,"[('lumayan', 'NN'), ('lengkap', 'VB'), ('pelayanan', 'NN'), ('cepat', 'JJ'), ('aplikasi', 'NN'), ('mudah', 'JJ'), ('membantu', 'VB')]"
74,"[('terima', 'CD'), ('kasih', 'NN'), ('kasih', 'NN'), ('silfia', 'NN'), ('mandasari', 'NN'), ('sp', 'FW'), ('dv', 'FW'), ('respon', 'FW'), ('cepat', 'JJ'), ('arahan', 'NN'), ('resep', 'NN')]"
75,"[('bagus', 'JJ'), ('respon', 'NN'), ('cepat', 'JJ'), ('akurat', 'NN'), ('sukses', 'FW'), ('halodoc', 'FW')]"
76,"[('kemudahan', 'NN'), ('tertawa', 'VB'), ('rumah', 'NN'), ('sakit', 'NN'), ('ter', 'NN'), ('obati', 'VB')]"
77,"[('pelayanan', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('cepat', 'JJ'), ('balas', 'VB'), ('kali', 'NN'), ('terkesan', 'NN')]"
78,"[('terbantu', 'VB'), ('situasi', 'NN'), ('dan', 'CC'), ('kondisi', 'NN'), ('sukses', 'FW'), ('halodoc', 'FW')]"
79,"[('pesan', 'NN'), ('obat', 'NN'), ('dibayar', 'VB'), ('dibatalkan', 'VB'), ('bayar', 'VB'), ('obat', 'NN'), ('ratusan', 'CD'), ('ribu', 'CD')]"
80,"[('pengembalian', 'NN'), ('dana', 'NN'), ('uang', 'NN'), ('telepon', 'NN'), ('customer', 'NN'), ('pelayanan', 'NN')]"
