rating,review,aspect_category,polarity
1,"[""'kali'"", "" 'telepon'"", "" 'mengatas'"", "" 'nama'"", "" 'halodoc'"", "" 'aneh'"", "" 'penelpon'"", "" 'email'"", "" 'bilang'"", "" 'uang'"", "" 'juta'"", "" 'rupiah'"", "" 'aplikasi'"", "" 'halodoc'"", "" 'memprivasi'"", "" 'email'"", "" 'sehinga'"", "" 'mengambil'"", "" 'keuntungan'"", "" 'menipu'"", "" 'tolong'"", "" 'privasi'"", "" 'perketat'""]",Sistem,negatif
5,"[""'keren'"", "" 'cepat'"", "" 'bagus'"", "" 'membantu'"", "" 'tertawa'"", "" 'rumah'"", "" 'cek'"", "" 'kesehatan'"", "" 'aman'"", "" 'dimasa'"", "" 'pandemik'"", "" 'covid'"", "" 'sembilan'"", "" 'belas'""]",Anekdot/Serbaneka,positif
5,"[""'membantu'"", "" 'jam'"", "" 'anak'"", "" 'sakit'"", "" 'konsultasi'"", "" 'dokter'"", "" 'terima'"", "" 'kasih'"", "" 'halodoc'"", "" 'adi'"", "" 'suryadinata'"", "" 'sp'"", "" 'a'"", "" 'membantu'""]",Pelayanan,positif
5,"[""'membantu'"", "" 'mempermudah'"", "" 'mencari'"", "" 'obat'"", "" 'obatan'"", "" 'respon'"", "" 'cepat'"", "" 'pesan'"", "" 'puluh'"", "" 'terima kasih'""]",Pelayanan,positif
1,"[""'pulang'"", "" 'hapus'"", "" 'aplikasi'"", "" 'halodoc'"", "" 'kecewa'"", "" 'profesional'"", "" 'di bagian'"", "" 'chat'"", "" 'customer'"", "" 'terima'"", "" 'kasih'""]",Pelayanan,negatif
2,"[""'konsultasi'"", "" 'pembayaran'"", "" 'pakai'"", "" 'c'"", "" 'kali'"", "" 'gagal'"", "" 'walopun'"", "" 'keterangan'"", "" 'dana'"", "" 'dikembalikan'"", "" 'konsultasi'"", "" 'coba'"", "" 'malas'"", "" 'tolong'"", "" 'sistem'"", "" 'pembayaran'"", "" 'diperbaiki'""]",Sistem,negatif
5,"[""'ngebantu'"", "" 'disat'"", "" 'pergi'"", "" 'rumah'"", "" 'sakit'"", "" 'antrian'"", "" 'dekat sekali'"", "" 'aplikasi'"", "" 'ngebantu'"", "" 'praktis'"", "" 'takut'"", "" 'langsung'"", "" 'konsultasi'"", "" 'dokter'"", "" 'dikasi'"", "" 'resep'"", "" 'makasi'""]",Anekdot/Serbaneka,positif
1,"[""'ralat'"", "" 'kembalikan'"", "" 'bayar'"", "" 'aplikasi'"", "" 'membantu'""]",Sistem,negatif
1,"[""'jujur'"", "" 'puas'"", "" 'nasihat'"", "" 'nasihat'"", "" 'penjelasan'"", "" 'dokter'"", "" 'disayangkan'"", "" 'konsultasi'"", "" 'aplikasi'"", "" 'puluh'"", "" 'menit'"", "" 'otomatis'"", "" 'berhenti'"", "" 'berta'""]",Pelayanan,negatif
5,"[""'membantu'"", "" 'obat'"", "" 'dicari'"", "" 'dibeberapa'"", "" 'apotek'"", "" 'kosong'"", "" 'lengkap'"", "" 'pemakaian'"", "" 'gampang'"", "" 'thanks'""]",Pelayanan,positif
5,"[""'aplikasi'"", "" 'membantu'"", "" 'kesehatan'"", "" 'produk'"", "" 'kesehatan'"", "" 'mengunakan'"", "" 'aplikasi'"", "" 'konsultasi'"", "" 'penyakit'"", "" 'beli'"", "" 'obat'"", "" 'obatan'"", "" 'produk'"", "" 'kesehatan'"", "" 'aplikasi'"", "" 'memilih'"", "" 'halodoc'"", "" 'langsung'"", "" 'konek'"", "" 'akun'"", "" 'gojek'"", "" 'terima kasih'"", "" 'pelayanan'"", "" 'sukses'"", "" 'halodoc'""]",Anekdot/Serbaneka,positif
1,"[""'tolong'"", "" 'iya'"", "" 'ditindaklanjuti'"", "" 'respon'"", "" 'email'"", "" 'chat'"", "" 'transaksi'"", "" 'kali'"", "" 'beli'"", "" 'gopay'"", "" 'kurir'"", "" 'mengantar'"", "" 'kecewa'"", "" 'pengembalian dana'""]",Pelayanan,negatif
5,"[""'aplikasi'"", "" 'bagus'"", "" 'Cuma'"", "" 'saran'"", "" 'adakan'"", "" 'opsi'"", "" 'pembayaran'"", "" 'gerai'"", "" 'kaya'"", "" 'alfamartatau'"", "" 'indomart'"", "" 'ngebantu'"", "" 'remaja'"", "" 'orang'"", "" 'orang'"", "" 'gapu'"", "" 'gopayatau'"", "" 'catau'"", "" 'debitatau'"", "" 'et cetera'""]",Anekdot/Serbaneka,netral
5,"[""'oke'"", "" 'aplikasi'"", "" 'ketemu'"", "" 'di mana'"", "" 'respon'"", "" 'dokter'"", "" 'cepat'"", "" 'bagus'"", "" 'pertahankan'"", "" 'membantu'""]",Anekdot/Serbaneka,positif
5,"[""'aplikasi'"", "" 'nomor'"", "" 'ribet'"", "" 'membantu'"", "" 'keliling'"", "" 'apotek'"", "" 'obat'"", "" 'obat'"", "" 'jarang'"", "" 'tersedia'"", "" 'diapotik'"", "" 'konsultasi'"", "" 'dokter'"", "" 'mudah'"", "" 'pelayanan'"", "" 'ramah'""]",Pelayanan,positif
5,"[""'membantu'"", "" 'aplikas'"", "" 'khawatir'"", "" 'mendadak'"", "" 'malam'"", "" 'butuh'"", "" 'obat'"", "" 'halodoc'"", "" 'membantu'""]",Pelayanan,positif
5,"[""'sangan'"", "" 'membantu'"", "" 'sat'"", "" 'isoman'"", "" 'membeli'"", "" 'obat'"", "" 'sehinga'"", "" 'mencegah'"", "" 'penularan'"", "" 'virus'"", "" 'orang'""]",Pelayanan,positif
5,"[""'halo'"", "" 'kakak'"", "" 'kakak'"", "" 'daftar'"", "" 'iya'"", "" 'masukan'"", "" 'email'"", "" 'nomor'"", "" 'telepon'"", "" 'masuk'"", "" 'nungu'"", "" 'iya'""]",Sistem,negatif
5,"[""'membantu'"", "" 'orang'"", "" 'malas'"", "" 'rumah'"", "" 'aplgi'"", "" 'nungu'"", "" 'antre'"", "" 'dokter'"", "" 'pelayanan'"", "" 'cepat'"", "" 'resep'"", "" 'akurat'""]",Pelayanan,positif
5,"[""'kali'"", "" 'coba'"", "" 'membantu'"", "" 'sat'"", "" 'pandemi'"", "" 'covid'"", "" 'rumah'"", "" 'diagnosis'"", "" 'beli'"", "" 'obat'""]",Pelayanan,positif
5,"[""'halodoc'"", "" 'memudahkan'"", "" 'antre'"", "" 'rumah'"", "" 'sakit'"", "" 'konsultasi'"", "" 'aplikasi'"", "" 'obat'"", "" 'diantar'"", "" 'rumah'"", "" 'so'"", "" 'helpful'""]",Pelayanan,positif
5,"[""'alhamdulilah'"", "" 'halodoc'"", "" 'membantu'"", "" 'sat'"", "" 'pandemic'"", "" 'dokter'"", "" 'spesialis'"", "" 'juara'"", "" 'juara'"", "" 'semoga'"", "" 'pertahankan'"", "" 'bagus'"", "" 'halodoc'""]",Pelayanan,positif
5,"[""'admin'"", "" 'suntik'"", "" 'vaksin'"", "" 'dosis'"", "" 'tanggal'"", "" 'sembilan'"", "" 'tanggal'"", "" 'sebelas'"", "" 'teman'"", "" 'sms'"", "" 'suntik'"", "" 'vaksin'"", "" 'dosis'"", "" 'admin'"", "" 'mohon'"", "" 'pencerahanya'""]",Anekdot/Serbaneka,netral
5,"[""'konsultasi'"", "" 'pertanyan'"", "" 'pertanyan'"", "" 'antisipasi'"", "" 'rumah'"", "" 'membantu'"", "" 'terima'"", "" 'kasih'"", "" 'sudh'"", "" 'menyediakam'"", "" 'apliksi'""]",Pelayanan,positif
5,"[""'terbantu'"", "" 'aplikasi'"", "" 'kemarin'"", "" 'cari'"", "" 'resep'"", "" 'dokter'"", "" 'muter'"", "" 'muter'"", "" 'apotek'"", "" 'terdekat'"", "" 'ketemu'"", "" 'aplikasi'"", "" 'terbantu'"", "" 'capek'"", "" 'capek'"", "" 'muter'"", "" 'muter'""]",Pelayanan,positif
3,"[""'umur'"", "" 'enam'"", "" 'belas'"", "" 'pu'"", "" 'uang'"", "" 'konsultasi'"", "" 'dokter'"", "" 'konsultasi'"", "" 'bayar'"", "" 'solosi'"", "" 'pertanyan'"", "" 'it'"", "" 'tolong'""]",Anekdot/Serbaneka,netral
5,"[""'aplikasi'"", "" 'bagus'"", "" 'chat'"", "" 'psikiatris'"", "" 'mudah'"", "" 'daring'"", "" 'dokter'"", "" 'ramah'"", "" 'menghakimi'"", "" 'mengerti'"", "" 'keadan'"", "" 'terima'"", "" 'kasih'"", "" 'halodoc'""]",Pelayanan,positif
5,"[""'terima kasih'"", "" 'bermanfat'"", "" 'aplikasi'"", "" 'konsultasi'"", "" 'dokter'"", "" 'mudah'""]",Anekdot/Serbaneka,positif
5,"[""'alhamdulilah'"", "" 'vaksin'"", "" 'i'"", "" 'kendala'"", "" 'efek'"", "" 'samping'"", "" 'tertawa'"", "" 'timbul'"", "" 'ngantuk'"", "" 'divaksin'""]",Anekdot/Serbaneka,positif
5,"[""'kecepatan'"", "" 'pengiriman'"", "" 'kilat'"", "" 'harga'"", "" 'obat'"", "" 'obatan'"", "" 'berbeda'"", "" 'apotek'"", "" 'langsung'"", "" 'over'"", "" 'al'"", "" 'i'"", "" 'proud'"", "" 'halodoc'""]",Pelayanan,positif
1,"[""'aplikasi'"", "" 'jelek'"", "" 'kali'"", "" 'pesan'"", "" 'apotek'"", "" 'obat'"", "" 'suruh'"", "" 'dibatalkan'"", "" 'dibatalkan'"", "" 'bermslh'"", "" 'telepon'"", "" 'customer service'"", "" 'batalin'"", "" 'tempered glass'"", "" 'jam'"", "" 'batalin'"", "" 'pas'"", "" 'btl'"", "" 'saldo'"", "" 'halo'"", "" 'doc'"", "" 'tempered glass'"", "" 'kerja'""]",Pelayanan,negatif
5,"[""'bagus'"", "" 'konsultasi'"", "" 'dokter'"", "" 'rumah'"", "" 'sakit'"", "" 'khawatir'"", "" 'kena'"", "" 'covid'"", "" 'murah'"", "" 'harga'"", "" 'berkonsultasi'""]",Harga,positif
3,"[""'pelayanan'"", "" 'cepat'"", "" 'aneh'"", "" 'pembayaran'"", "" 'memakai'"", "" 'kartu'"", "" 'kredit'"", "" 'kartu'"", "" 'tersedia'"", "" 'available'""]",Sistem,negatif
2,"[""'aplikasi'"", "" 'ngelag'"", "" 'coba'"", "" 'uninstal'"", "" 'telepon genggam'"", "" 'aplikasi'"", "" 'berat'"", "" 'telepon genggam'"", "" 'jalan'"", "" 'halodoc'""]",Sistem,negatif
5,"[""'dokter'"", "" 'hebat'"", "" 'hebat'"", "" 'fokus'"", "" 'keluhan'"", "" 'derita'"", "" 'terima'"", "" 'kasih'"", "" 'halodoc'""]",Pelayanan,positif
5,"[""'kali'"", "" 'mengunakan'"", "" 'halodoc'"", "" 'efektif'"", "" 'murah'""]",Harga,positif
5,"[""'bagus'"", "" 'membantu'"", "" 'pu'"", "" 'luang'"", "" 'dokter'"", "" 'dokter'"", "" 'bagus'"", "" 'layanan'"", "" 'kesehatan'"", "" 'beragam'""]",Pelayanan,positif
5,"[""'respon'"", "" 'keluhan'"", "" 'team'"", "" 'customer service'"", "" 'sat'"", "" 'respon'"", "" 'update'"", "" 'respon'"", "" 'team'"", "" 'customer service'"", "" 'cepat'""]",Pelayanan,positif
5,"[""'membantu'"", "" 'konsultasi'"", "" 'dokter'"", "" 'langsung'"", "" 'repot'"", "" 'rumah'"", "" 'sakit'"", "" 'faskes'"", "" 'terima'"", "" 'kasih'"", "" 'halodoc'""]",Pelayanan,positif
1,"[""'menelpon'"", "" 'agen'"", "" 'helodoc'"", "" 'kerna'"", "" 'nomor'"", "" 'rekening'""]",Anekdot/Serbaneka,netral
1,"[""'bintang'"", "" 'kode'"", "" 'voucher'"", "" 'vaksinasi'"", "" 'kasih'"", "" 'bintang'"", "" 'semingu'""]",Pelayanan,negatif
5,"[""'bagus'"", "" 'dokter'"", "" 'responsif'"", "" 'lumayan'"", "" 'enak'"", "" 'diajak'"", "" 'diskusi'"", "" 'logis'"", "" 'analisis'"", "" 'sat'"", "" 'deg'"", "" 'degan'"", "" 'dokter'"", "" 'dirs'"", "" 'ketemu'"", "" 'senang'""]",Pelayanan,positif
5,"[""'enak'"", "" 'antre'"", "" 'disat'"", "" 'sakit'"", "" 'chat'"", "" 'langsung'"", "" 'dibales'"", "" 'obat'"", "" 'diantar'"", "" 'terima'"", "" 'kasih'"", "" 'holodoc'""]",Pelayanan,positif
5,"[""'puas'"", "" 'konsultasi'"", "" 'di sini'"", "" 'sat'"", "" 'pandemi'"", "" 'dokter'"", "" 'ramah'""]",Pelayanan,positif
4,"[""'memuaskan'"", "" 'balas'"", "" 'cepat'"", "" 'pilihan'"", "" 'dokter'"", "" 'meresepkan'"", "" 'obat'"", "" 'mahal'"", "" 'semoga'"", "" 'cocok'""]",Harga,positif
3,"[""'selamat'"", "" 'sore'"", "" 'admin'"", "" 'aplikasi'"", "" 'halodoc'"", "" 'bekerjasama'"", "" 'medicilin'"", "" 'mohon'"", "" 'admin'"", "" 'terima'"", "" 'kasih'""]",Anekdot/Serbaneka,netral
5,"[""'membantu'"", "" 'sat'"", "" 'urgent'"", "" 'langsung'"", "" 'tindakan'"", "" 'selanjut'"", "" 'dokter'"", "" 'ramah'"", "" 'terima kasih'"", "" 'halodoc'""]",Anekdot/Serbaneka,positif
4,"[""'konsultasi'"", "" 'putri'"", "" 'farisa'"", "" 'sp'"", "" 'konsultasi'"", "" 'selesai'"", "" 'resep'"", "" 'obat'"", "" 'terima'"", "" 'kasih'""]",Pelayanan,positif
5,"[""'suka'"", "" 'menu'"", "" 'konsultasi'"", "" 'dokter'"", "" 'memudahkan'"", "" 'mencari'"", "" 'informasi'"", "" 'tempered glass'"", "" 'kesehatan'"", "" 'tubuh'""]",Pelayanan,positif
4,"[""'aplikasi'"", "" 'membantu'"", "" 'dokter'"", "" 'ramah'"", "" 'ramah'"", "" 'profesional'"", "" 'sukses'"", "" 'halodoc'""]",Pelayanan,positif
5,"[""'membantu'"", "" 'posisi'"", "" 'di luar'"", "" 'kota'"", "" 'kondisi'"", "" 'badan'"", "" 'fit'"", "" 'susah'"", "" 'cari'"", "" 'dokter'"", "" 'butuh'"", "" 'obat'"", "" 'sesuai'"", "" 'dosis'"", "" 'terbantu'"", "" 'aplikasi'"", "" 'super'"", "" 'terima kasih'"", "" 'to'"", "" 'halodoc'""]",Anekdot/Serbaneka,positif
5,"[""'membatu'"", "" 'terbantu'"", "" 'sat'"", "" 'dokter'"", "" 'konsultasi'"", "" 'di sini'""]",Pelayanan,positif
5,"[""'kali'"", "" 'coba'"", "" 'gomed'"", "" 'cepat'"", "" 'respon'"", "" 'pengiriman'"", "" 'tingkatkan'""]",Pelayanan,positif
5,"[""'alhamdulilah'"", "" 'konsultasi'"", "" 'psikologi'"", "" 'halodoc'""]",Anekdot/Serbaneka,positif
5,"[""'dokter'"", "" 'bagus'"", "" 'penjelasan'"", "" 'detail'"", "" 'saran'"", "" 'saran'"", "" 'pas'"", "" 'obat'"", "" 'diresepkan'"", "" 'oke'""]",Pelayanan,positif
5,"[""'pelayanan'"", "" 'konsultasi'"", "" 'iya'"", "" 'enak'"", "" 'puas'"", "" 'terima kasih'"", "" 'dokter'"", "" 'iman'"", "" 'terima kasih'"", "" 'halodoc'""]",Pelayanan,positif
5,"[""'membantu'"", "" 'aplikasi'"", "" 'disat'"", "" 'lelah'"", "" 'rumah'"", "" 'dibantu'"", "" 'tertawa'"", "" 'aplikasi'"", "" 'wow'""]",Anekdot/Serbaneka,positif
1,"[""'tangapan'"", "" 'lambat'"", "" 'mengetik'"", "" 'keluhan'"", "" 'sokter'"", "" 'chat'"", "" 'masuk'"", "" 'pakai'"", "" 'pangilan'"", "" 'suara'"", "" 'suara'"", "" 'perbaiki'"", "" 'pemakaian'"", "" 'berbayar'"", "" 'gratis'""]",Pelayanan,negatif
5,"[""'cangih'"", "" 'berobat'"", "" 'di mana'"", "" 'keren'"", "" 'pas'"", "" 'cobain'"", "" 'fre'"", "" 'skrng'"", "" 'bayar'"", "" 'ehehe'""]",Anekdot/Serbaneka,netral
5,"[""'kendala'"", "" 'boking'"", "" 'tes'"", "" 'swab'"", "" 'antigen'"", "" 'klinik'"", "" 'tutup'"", "" 'operasial'"", "" 'di mana'"", "" 'boking'"", "" 'tes'"", "" 'swab'"", "" 'antigen'"", "" 'tim'"", "" 'halodoc'"", "" 'cepat'"", "" 'respon'"", "" 'menelpon'"", "" 'konfirmasi'"", "" 'pengembalian dana'"", "" 'masukan'"", "" 'kordinasi'"", "" 'klinik'"", "" 'rumah sakit'"", "" 'rekanan'"", "" 'ditingkatkan'"", "" 'sisa'"", "" 'bagus'"", "" 'terima'"", "" 'kasih'""]",Pelayanan,positif
5,"[""'kali'"", "" 'pakai'"", "" 'langsung'"", "" 'merasakan'"", "" 'puas'"", "" 'semoga'"", "" 'layanan'"", "" 'konsisten'"", "" 'prima'"", "" 'sehinga'"", "" 'menambah'"", "" 'kepercayan'"", "" 'thanks'"", "" 'iya'"", "" 'halodoc'""]",Anekdot/Serbaneka,positif
4,"[""'pelayanan'"", "" 'oke'"", "" 'tertawa'"", "" 'pembayaran'"", "" 'mengunanakan'"", "" 'debit'"", "" 'kartu'"", "" 'kendala'"", "" 'walopun'"", "" 'opsi'"", "" 'pembayaran'""]",Pelayanan,netral
1,"[""'dengar'"", "" 'sih'"", "" 'aplikasi'"", "" 'bagus'"", "" 'instal'"", "" 'eh'"", "" 'sat'"", "" 'masuk'"", "" 'aplikasi'"", "" 'ngak'"", "" 'ngerespon'"", "" 'sih'""]",Sistem,negatif
5,"[""'lumayan'"", "" 'lengkap'"", "" 'pelayanan'"", "" 'cepat'"", "" 'aplikasi'"", "" 'mudah'"", "" 'membantu'""]",Sistem,positif
5,"[""'terima kasih'"", "" 'kasih'"", "" 'silfia'"", "" 'mandasari'"", "" 'sp'"", "" 'dv'"", "" 'respon'"", "" 'cepat'"", "" 'arahan'"", "" 'resep'""]",Pelayanan,positif
5,"[""'bagus'"", "" 'respon'"", "" 'cepat'"", "" 'akurat'"", "" 'sukses'"", "" 'halodoc'""]",Pelayanan,positif
5,"[""'kemudahan'"", "" 'tertawa'"", "" 'rumah'"", "" 'sakit'"", "" 'ter'"", "" 'obati'""]",Pelayanan,positif
5,"[""'pelayanan'"", "" 'dokter'"", "" 'ramah'"", "" 'cepat'"", "" 'balas'"", "" 'kali'"", "" 'terkesan'""]",Pelayanan,positif
5,"[""'terbantu'"", "" 'situasi dan kondisi'"", "" 'sukses'"", "" 'halodoc'""]",anekdot/serbaneka,positif
1,"[""'pesan'"", "" 'obat'"", "" 'dibayar'"", "" 'dibatalkan'"", "" 'bayar'"", "" 'obat'"", "" 'ratusan'"", "" 'ribu'""]",Pelayanan,negatif
1,"[""'pengembalian dana'"", "" 'uang'"", "" 'telepon'"", "" 'customer'"", "" 'pelayanan'""]",Pelayanan,negatif
1,"[""'kali'"", "" 'konsultasi'"", "" 'bagus'"", "" 'kali'"", "" 'konsultasi'"", "" 'drh'"", "" 'pelayanan'"", "" 'parah'"", "" 'blsin'"", "" 'chat'"", "" 'luama'"", "" 'wktu'"", "" 'puluh'"", "" 'menit'"", "" 'habis'"", "" 'menyarankan'"", "" 'klinik'"", "" 'drh'"", "" 'langsung'"", "" 'curahan hati'"", "" 'kucing'"", "" 'bla'"", "" 'bla'"", "" 'bla'"", "" 'konsultasi'"", "" 'drh'"", "" 'mencari'"", "" 'solusi'"", "" 'kucing'"", "" 'jwbn'"", "" 'mencla'"", "" 'mencle'"", "" 'bahasa'"", "" 'sopan'"", "" 'mangil'"", "" 'bpkatau'"", "" 'saudara'"", "" 'tlg'"", "" 'seleksi'"", "" 'rekrut'"", "" 'dokter'"", "" 'jelek'"", "" 'pelayanan'"", "" 'kuapok'"", "" 'deh'""]",Pelayanan,negatif
4,"[""'customer service'"", "" 'halodoc'"", "" 'mengalami'"", "" 'kendala'"", "" 'sehinga'"", "" 'be'"", "" 'menelponatau'"", "" 'chat'"", "" 'tim'"", "" 'help'"", "" 'halodoc'""]",Anekdot/Serbaneka,netral
2,"[""'sat'"", "" 'selesai'"", "" 'pembayaran'"", "" 'sukses'"", "" 'terpotong'"", "" 'saldo'"", "" 'eh'"", "" 'dokter'"", "" 'sibuk'"", "" 'pengembalian'"", "" 'dana'"", "" 'butuh'"", "" 'hinga'"", "" 'belas'"", "" 'terhitung'"", "" 'belas'"", "" 'masuk'"", "" 'konfirmasi'"", "" 'bank'"", "" 'terkait'"", "" 'aduh'"", "" 'otomatis'"", "" 'dana'"", "" 'dikembalikan'"", "" 'masuk'"", "" 'rekening'"", "" 'konfirmasi'"", "" 'bank'"", "" 'ribet'"", "" 'tolong'"", "" 'permudah'"", "" 'pengembalian dana'"", "" 'orang'"", "" 'rumah'"", "" 'bank'""]",Sistem,negatif
5,"[""'sederhana'"", "" 'aplikasi'"", "" 'kebutuhan'"", "" 'medis'"", "" 'pesan'"", "" 'mudah'"", "" 'cepat'""]",Anekdot/Serbaneka,positif
1,"[""'memgecewakan'"", "" 'kali'"", "" 'daftar'"", "" 'vaksin'"", "" 'csembilan'"", "" 'belas'"", "" 'lanjut usia'"", "" 'ditolak'"", "" 'alasan'"", "" 'mesti'"", "" 'pakai'"", "" 'ktp'"", "" 'suket'"", "" 'domisili'"", "" 'sebenar'"", "" 'vaksinasi'"", "" 'csembilan'"", "" 'belas'"", "" 'mengunakan'"", "" 'suket'"", "" 'domisili'"", "" 'nama'"", "" 'vaksin'"", "" 'gratis'"", "" 'iya'"", "" 'warga'"", "" 'negara'"", "" 'indonesia'"", "" 'semoga'"", "" 'ulasan'"", "" 'dihapus'"", "" 'admin'"", "" 'halodoc'""]",Pelayanan,negatif
5,"[""'terima'"", "" 'kasih'"", "" 'gojek'"", "" 'vaksinasi'"", "" 'prambanan'"", "" 'bagus'"", "" 'pelayanan'"", "" 'le'"", "" 'nyuntik'"", "" 'blas'"", "" 'ra'"", "" 'loro'""]",Pelayanan,positif
5,"[""'halodoc'"", "" 'profesional'"", "" 'halodoc'"", "" 'terbantu'""]",Anekdot/Serbaneka,positif
5,"[""'alhamdulilah'"", "" 'konsultasi'"", "" 'dokter'"", "" 'tatap'"", "" 'muka'""]",Pelayanan,positif
5,"[""'kali'"", "" 'konsultasi'"", "" 'puas'"", "" 'dokter'"", "" 'membantu'""]",Pelayanan,positif
5,"[""'halodoc'"", "" 'bermanfat'"", "" 'cepat'"", "" 'respon'"", "" 'jempolan'"", "" 'halodoc'""]",Anekdot/Serbaneka,positif
4,"[""'temanhidupsehat'"", "" 'membantu'"", "" 'konsultasi'"", "" 'informasi'"", "" 'terkait'"", "" 'kesehatan'""]",Pelayanan,positif
5,"[""'dokter'"", "" 'anak'"", "" 'cepat'"", "" 'respon'"", "" 'aplikasi'"", "" 'membantu'"", "" 'sat'"", "" 'kondisi'""]",Pelayanan,positif
